views,likes,media,comments,url,caption,post_datetime
4785,760,video,12,https://www.instagram.com/p/BfkXKCslQTx/?taken-by=acer,"From the office to the great outdoors, @missholldoll uses the versatile #Acer #SwitchSeries detachable laptop to manage her dual lifestyle. Learn more by visiting the link in our profile. #MakeYourMark #ExploreEverything #wanderlust",2018-02-24T05:44:53.000Z
3793,546,video,7,https://www.instagram.com/p/Bfrq60llucl/?taken-by=acer,Is it possible to have style and processing power in one laptop? @chinomakes knows the answer is yes as he bounces from brainstorms to code reviews to pitch presentations with the #AspireSeries. Click the link in our profile to learn more. #MakeYourMark #AppDev,2018-02-27T01:52:03.000Z
na,964,image,2,https://www.instagram.com/p/BfvnunYFOYL/?taken-by=acer,"When it comes to keeping kids entertained, all you need is a good DIY video and the #Spin5. Share your #Acer photos to be featured. 📷: @billyjackbrawner3",2018-02-28T14:40:55.000Z
2778,475,video,6,https://www.instagram.com/p/Bf1eAQAFkwZ/?taken-by=acer,"📷 Edit photos
📝 Take notes
🎒Check off packing lists

The touchscreen and stylus available on the #Acer #SwitchSeries help @missholldoll get everything done as she jumps between work and the wilderness.",2018-03-02T23:56:18.000Z
1816,317,video,3,https://www.instagram.com/p/BgAFKvYFpay/?taken-by=acer,"@laquanaragon, an #Acer #SpinSeries user, is making his mark and transforming his lifelong love for music into a career. Click the link in our profile to find out how. #MakeYourMark #MusicProducer",2018-03-07T00:06:41.000Z
na,1765,image,16,https://www.instagram.com/p/BgAOiJmADS4/?taken-by=acer,"The new, impossibly thin #Swift7: inspired by those out there making the impossible happen.",2018-03-07T01:27:51.000Z
2386,386,video,5,https://www.instagram.com/p/BgEPT_glAlw/?taken-by=acer,"When we unite to lift up women, we lift up everyone. #IWD2018 #pressforprogress",2018-03-08T14:51:54.000Z
2837,431,video,4,https://www.instagram.com/p/BgIRdNQlgc2/?taken-by=acer,Sometimes he’s trying out new lyrics in the sound booth; other times he’s mixing a song on the go. The different modes of the #Acer #SpinSeries help @laquanaragon create music in any moment. Click the link in our profile to find out more. #MakeYourMark #MusicProducer,2018-03-10T04:27:39.000Z
1610,373,video,6,https://www.instagram.com/p/BgOVQxXlTXV/?taken-by=acer,"To maintain her successful outdoors blog, @missholldoll uses the #Acer #SwitchSeries. With its powerful performance, she can update her blog while downloading hundreds of photos from her latest backpacking trip. Go to the link in our profile to learn more. #MakeYourMark",2018-03-12T12:56:18.000Z
na,2515,image,29,https://www.instagram.com/p/BgTRt-UFBtd/?taken-by=acer,It’s hunt or be hunted. Secure your place on the leaderboard with tear-free graphics on the #Nitro5.,2018-03-14T11:01:15.000Z
2073,466,video,4,https://www.instagram.com/p/BgT0HlFliHZ/?taken-by=acer,"When you’re an artist, it helps to get hands-on with your work. With the touchscreen on the #Acer #SpinSeries, @laquanaragon can easily scrub audio and scroll through lyrics in the studio. Visit the link in our profile to learn more. #MakeYourMark #MusicProducer",2018-03-14T16:02:12.000Z
na,1336,image,8,https://www.instagram.com/p/BgY-tTvlrJK/?taken-by=acer,"Select, scribble, draw, or drag: let your creativity run free with the Acer Stylus on the #Switch7BlackEdition.",2018-03-16T16:10:35.000Z
1595,366,video,2,https://www.instagram.com/p/BeTUKUilLsj/?taken-by=acer,"See  how Samantha, creator of @dreambyday_bookreviews and a #SwiftSeries user, is making  her mark by introducing her followers to new books and authors. To learn more, click the link in our profile. #MakeYourMark #BookBlogger #BookBlogging",2018-01-23T18:20:35.000Z
na,1523,image,15,https://www.instagram.com/p/BebkbpMlJ_w/?taken-by=acer,"An ultrathin desktop with borderless display, champagne-gold accents, and a wireless charging pad? Go ahead, treat yourself to the tech of your dreams. #AspireS24 #Luxe #InstaTech #Luxury",2018-01-26T23:15:55.000Z
1954,432,video,7,https://www.instagram.com/p/Beb6dvQlH0S/?taken-by=acer,"When your routine is jumping from day job to passion project, like @dreambyday_bookreviews, a long battery life becomes a must-have. Enter: the #SwiftSeries. Link in profile. #MakeYourMark #BookBlogger #BookBlogging",2018-01-27T02:28:38.000Z
2168,429,video,5,https://www.instagram.com/p/BeqmzGIl725/?taken-by=acer,"Don’t forget your laptop on the go—just forget it’s in your bag. At only 970 grams, the #SwiftSeries is our lightest laptop yet. See how it fits into popular book blogger @dreambyday_bookreviews’ life (link in profile). #MakeYourMark #BookBlogger #BookBlogging",2018-02-01T19:25:26.000Z
1783,393,video,3,https://www.instagram.com/p/Be1goLTlLmS/?taken-by=acer,"See how @chinomakes, an entrepreneur and #AspireSeries user, is making his mark by developing apps that make people's lives easier. Click the link in our profile to learn more. #MakeYourMark #AppDev",2018-02-06T01:18:09.000Z
3765,536,video,8,https://www.instagram.com/p/Be6B657lL3x/?taken-by=acer,"If you're living the entrepreneur life like @chinomakes, your productivity level can make you or break you. The #AspireSeries gives him the processing power to conquer even his biggest projects. Click the link in our profile to learn more. #MakeYourMark #appdev",2018-02-07T19:10:56.000Z
3106,484,video,4,https://www.instagram.com/p/BfHpW-Pl6_n/?taken-by=acer,"When it’s with you all day, your laptop should match your style. That’s why @dreambyday_bookreviews uses the #SwiftSeries, our most stylish line of laptops. Click the link in our profile to learn more. #MakeYourMark #BookBlogger #BookBlogging",2018-02-13T02:09:13.000Z
2679,461,video,5,https://www.instagram.com/p/BfKwRxWFkgK/?taken-by=acer,Love for great tech is in the air. #ValentinesDay,2018-02-14T07:04:14.000Z
1497,425,video,3,https://www.instagram.com/p/BfM1QVeF49e/?taken-by=acer,"Happy Lunar New Year to you and your family! Here’s to a year of good health, fortune, and luck. #LunarNewYear #YearoftheDog",2018-02-15T02:27:26.000Z
2830,505,video,6,https://www.instagram.com/p/BfR_7uTllof/?taken-by=acer,"✔️ Train
✔️ Coffee shop
✔️ Office

Wherever @chinomakes works, the trusty, stable wireless connection on the #AspireSeries helps him stay productive. 
Click the link in our profile to learn more. #MakeYourMark #appdev",2018-02-17T02:35:33.000Z
1298,340,video,6,https://www.instagram.com/p/BfZljc2Fjie/?taken-by=acer,Learn how @missholldoll uses her #SwitchSeries laptop to inspire her followers to find themselves in nature. Click the link in our profile to learn more. #MakeYourMark #AdventureLife,2018-02-20T01:19:22.000Z
na,1155,image,3,https://www.instagram.com/p/Bfi2DmDlZI2/?taken-by=acer,Sometimes it’s easier to get things done outside the office. Especially when you have built-in 4G LTE connectivity on the #Swift7. #WorkRemotely,2018-02-23T15:35:59.000Z
1208,331,video,5,https://www.instagram.com/p/BdGTlW3FX_D/?taken-by=acer,"From Taipei to Berlin to New York City, we wish our followers and customers all around the world a #HappyHoliday.",2017-12-24T20:33:37.000Z
na,721,image,6,https://www.instagram.com/p/BdRAm03Faj7/?taken-by=acer,As light as your favorite furry friend. The new #Swift5 #Lightweight,2017-12-29T00:19:04.000Z
na,683,image,8,https://www.instagram.com/p/BdWF9zbl-r2/?taken-by=acer,"Work, play and everything in between. #Aspire7",2017-12-30T23:42:06.000Z
