views,likes,media,comments,url,caption
484,na,video,0,https://www.instagram.com/p/BYlKjcmj-Dr/?taken-by=alcatelmobile,Introducing the perfect combination of great performance and battery life.  #AlcatelA7 is ready to fulfill all your needs!
972,na,video,3,https://www.instagram.com/p/BYmtJ43Dzra/?taken-by=alcatelmobile,"Supersize the excitement with extra large power, extra large performance and extra large screen. Introducing the all new #AlcatelA7XL !"
na,156,image,0,https://www.instagram.com/p/BZYaW2XjTul/?taken-by=alcatelmobile,"#AlcatelA7 packs an octa-core CPU and 3GB of RAM for a powerful gaming experience anywhere, any time."
na,300,image,11,https://www.instagram.com/p/BZbVkqpD3Hd/?taken-by=alcatelmobile,
na,165,image,3,https://www.instagram.com/p/BZfvHwIjCZN/?taken-by=alcatelmobile,"Record every moment of your life, #AlcatelA7"
na,320,image,14,https://www.instagram.com/p/BZibTAwj1wT/?taken-by=alcatelmobile,"#AlcatelA7, bold design, ultimate performance, and long lasting battery"
na,234,image,4,https://www.instagram.com/p/BaBVWxTjwNO/?taken-by=alcatelmobile,
na,365,image,5,https://www.instagram.com/p/BaBVZWBD077/?taken-by=alcatelmobile,
na,276,image,6,https://www.instagram.com/p/BaOya19jvDw/?taken-by=alcatelmobile,
na,354,image,37,https://www.instagram.com/p/BaVStsHjGEa/?taken-by=alcatelmobile,Start your day with #Alcatel #IDOL5S.
na,574,image,22,https://www.instagram.com/p/BflxyVCHEr1/?taken-by=alcatelmobile,We are proud to introduce you our 3 new smartphone ranges! They all come with an innovative FullView 18:9 screen at competitive prices! #MWC18 #AlcatelMobile #mwc18 #Barcelona #innovation
na,549,image,54,https://www.instagram.com/p/BfqCHPSn64v/?taken-by=alcatelmobile,"Live without limits with the bezel-less design of the NEW Alcatel 5.

#AlcatelMobile #mwc #MWC2018 #MWC18 #Barcelona #Innovation #Photography #Design #NewDimension #Selfie #Groupfie"
na,359,image,26,https://www.instagram.com/p/BVHNVP1j3l1/?taken-by=alcatelmobile,"With refreshing textures and a slim, curved design, U5 looks great and feels even better."
na,196,image,10,https://www.instagram.com/p/BVoi73Cjqy9/?taken-by=alcatelmobile,Bring big screen entertainment to go with U5 and the vibrant 5” display.
na,236,image,8,https://www.instagram.com/p/BWJ7hvcjGpT/?taken-by=alcatelmobile,"Show off your screen in glorious HD with A3’s outstanding display. Pictures, videos, games and more all look incredible."
na,134,image,2,https://www.instagram.com/p/BWMOLAQjvrv/?taken-by=alcatelmobile,"No matter how long the ride, time flies with A3 and 4G LTE internet."
na,159,image,14,https://www.instagram.com/p/BWOrhxhDba7/?taken-by=alcatelmobile,Keep things hidden from prying eyes with the ultra secure private mode. Your secret’s safe with us :)
na,92,image,2,https://www.instagram.com/p/BXS67fYDdoo/?taken-by=alcatelmobile,We 💚 nature photography. What's your favorite subject to photograph?
na,109,image,10,https://www.instagram.com/p/BXS6_6dDk72/?taken-by=alcatelmobile,"The floor isn't made of lava, they're just reaching for the IDOL 5S on the top shelf😜"
na,251,image,11,https://www.instagram.com/p/BYNwKvDjzwF/?taken-by=alcatelmobile,"Be a dorm room DJ! Create playlists, scratch and sync tracks, and add effects with Onetouch Music on the IDOL 4."
na,101,image,3,https://www.instagram.com/p/BYa70_ZD4GK/?taken-by=alcatelmobile,"We're off to IFA in Berlin! We're excited to introduce some awesome new devices for the coming year, so stay tuned!"
na,278,image,7,https://www.instagram.com/p/BYhgNXwjSRw/?taken-by=alcatelmobile,"Proudly presenting the latest and greatest devices from Alcatel — IDOL5, IDOL5S, A7 & A7XL! 
Check the site to learn more:
http://alcatel-mobile.com/ifa2017/"
"3,489",na,video,2,https://www.instagram.com/p/BYiNVr5jJrv/?taken-by=alcatelmobile,"A sleek look, incredible camera & powerful audio — the Alcatel #idol5 series is one eye-catching entertainment powerhouse!"
na,210,image,3,https://www.instagram.com/p/BYkMqy_jvT8/?taken-by=alcatelmobile,#Alcatel showcasing its latest mobile devices at #ifa2017! Visit http://www.alcatel-mobile.com/ifa2017/ for more detail!
538,na,video,0,https://www.instagram.com/p/BQ8CYN5jNgO/?taken-by=alcatelmobile,"The world is full of color and excitement, so get out there and Light it Up! Tag a friend who makes your life a little more colorful #lightupnow #Alcatelenjoynow"
na,110,image,4,https://www.instagram.com/p/BQ8JmNEDqvs/?taken-by=alcatelmobile,Colorful lights follow us throughout our day. We put them to work for you. Stay tuned to find out how. #MWC2017 #Alcatelenjoynow
"1,244",na,video,1,https://www.instagram.com/p/BQ-314vD5JO/?taken-by=alcatelmobile,Transform your world and light up the moment with us at #MWC2017. It’s time to enjoy the NOW #Alcatelenjoynow
na,153,image,6,https://www.instagram.com/p/BRDihd6D8QB/?taken-by=alcatelmobile,"#AgbarTower vs. Alcatel A5. Who wore it better? 😎  #MWC2017 #Alcatelenjoynow #LightUpNow

#Barcelona #Light #Lights #LightUp #LightArt #Colors #Color"
na,206,image,4,https://www.instagram.com/p/BREGYAgDvvJ/?taken-by=alcatelmobile,"Light up the night with the new Alcatel A5 LED. #MWC2017 #Alcatelenjoynow

#lightup #light #color #colors #smartphone #android #Barcelona #maremagnum"
na,166,image,7,https://www.instagram.com/p/BRF6CDpDBR_/?taken-by=alcatelmobile,"Create anywhere. Plus12 is #YourOfficeOnTheMove. #Alcatelenjoynow #MWC2017 
#Barcelona #creativeminds #creative #creativepreneur #creativelife #create #creativity #styleoftheday #styleinspiration #trendy #styleinspiration"
na,227,image,14,https://www.instagram.com/p/BRIihqBDcHV/?taken-by=alcatelmobile,"Bring your creativity to go with Plus 12.  #MWC2017 #Alcatelenjoynow #YourOfficeOnTheMove

#Barcelona #creativeminds #creative #creativepreneur #creativelife #create #creativity #styleoftheday #styleinspiration #trendy #styleinspiration"
na,207,image,3,https://www.instagram.com/p/BSfmLCHDSfm/?taken-by=alcatelmobile,"Are you ready to light it up? Discover the new A5 LED, the world's first interactive #LED covered phone. #Alcatelenjoynow

#lightup #light #color #colors #smartphone #android #Barcelona #maremagnum #lights #lightart #inspiration"
na,345,image,20,https://www.instagram.com/p/BS0YZkZD-Xi/?taken-by=alcatelmobile,"Shine brighter with the new A5 LED. #Alcatelenjoynow

#lightup #light #color #colors #smartphone #android #Barcelona #maremagnum #lights #lightart #inspiration"
na,254,image,8,https://www.instagram.com/p/BTnf4xWjLwJ/?taken-by=alcatelmobile,"Work outside the box, with Plus 12. #YourOfficeOnTheMove #Alcatelenjoynow

#Barcelona #creativeminds #creative #creativepreneur #creativelife #create #creativity #styleoftheday #styleinspiration #trendy #styleinspiration"
na,186,image,7,https://www.instagram.com/p/BUGx7T6DT8W/?taken-by=alcatelmobile,"Who says your phone’s display should get all the fun? Get 360° of excitement with A5 and the LED rear cover.

#Alcatelenjoynow #colors #light #android #smartphone"
na,172,image,3,https://www.instagram.com/p/BUIuaFxjLnB/?taken-by=alcatelmobile,"Action shots, selfies, landscapes and more. No matter how you record your world, capture it all in stunning HD with the feature packed A5.

#Alcatelenjoynow #colors #light #smartphone #Android"
na,200,image,8,https://www.instagram.com/p/BNEO_AZB0YY/?taken-by=alcatelmobile,"As an architect, taking 3D #photos with the #IDOL4S makes it easy for Raul to capture every angle of his inspiration… as well as his #cat."
na,137,image,2,https://www.instagram.com/p/BN57QkGBJNS/?taken-by=alcatelmobile,Indulge your inner #audiophile with incredible #sound. Powerful front and rear directional stereo speakers ensure that #IDOL4S is fit to satisfy your cravings for quality. What are you listening to now?
na,98,image,4,https://www.instagram.com/p/BOO6EGshFTt/?taken-by=alcatelmobile,What good is a #workout without the perfect tunes? Get your #fitness on right with incredible sound thanks to advanced audio enhancement technology from Arkamys. What’s your favorite workout #song? #IDOL4S #IDOL4
na,118,image,14,https://www.instagram.com/p/BOfMixbh_KF/?taken-by=alcatelmobile,"Everyone needs socks, right? Sure! Does anyone dream of unwrapping a box of socks on Christmas morning? No. Get what you REALLY wanted and enter for a chance to WIN AN IDOL 4S.

Steps:
1. Upload a picture of yourself holding up this year's most disappointing Christmas gift to Instagram and tag it with the hashtag #BoomMyXmas
2. Follow @Alcatelmobile on Instagram to know the winner.
3. Tag a friend to let them get in on the contest!

#contest #giveaway #contestalert #contestentry #sweepstakes #competition"
na,130,image,16,https://www.instagram.com/p/BOjvkpFBi0-/?taken-by=alcatelmobile,"WIN AN #IDOL4S! Some gifts are destined to remain a mystery. Did they think you liked pink? Did they put the wrong name on that box? What happened here?? Get what you REALLY wanted and enter for a chance to win an IDOL 4S. 
Steps:
1. Upload a picture of yourself holding up this year's most disappointing Christmas gift to Instagram and tag it with the hashtag #BoomMyXmas 
2. Follow @Alcatelmobile on Instagram to know the winner. 
3. Tag a friend to let them get in on the contest!

#contest #giveaway #contestalert #contestentry #sweepstakes #competition"
