views,likes,media,comments,url,caption,post_datetime
na,250635,image,"1,005",https://www.instagram.com/p/Bfv5GjAj2OP/?taken-by=apple,“Saltwater Rodeo.” #ShotoniPhone by Beau J. @beaujohnstonimagery,2018-02-28T17:12:44.000Z
na,183768,image,663,https://www.instagram.com/p/Bf1BUsOjItm/?taken-by=apple,"""Berlin from under the wing.” #ShotoniPhone by Magda L. @mgdpics",2018-03-02T17:00:46.000Z
na,201125,image,759,https://www.instagram.com/p/Bf6DmHsjCyD/?taken-by=apple,“And nature always wins.” #ShotoniPhone by Alisa G. @el_cuento,2018-03-04T15:56:50.000Z
na,125343,image,531,https://www.instagram.com/p/Bf_UYEfD7m5/?taken-by=apple,“Candy cane umbrellas to a soft Italian soundtrack.” #ShotoniPhone by Behnaz K. @behnazk,2018-03-06T16:59:40.000Z
172987,36564,video,274,https://www.instagram.com/p/BgB41yCDBAr/?taken-by=apple,"Community Brief 11: Volume Up
Capture your imagination, soundtrack provided. 
Tag #TheVolumeUpSeries + #ShotoniPhone
Photos & videos accepted.
Music: “WOMAN'S WORLD” by @_OKENYO_
Lyrics: Wear my suit
Wear my hat on frontways
The back professes some slogan sayin' companies that really own me
Wear my tie right up to the neck
Exhaling excellence
Peace out, I'm la-de-da, blah blah to the executives
I'm a very busy woman with a lot on my plate
So you better eat it up before I take it away
It's a woman's world",2018-03-07T16:57:20.000Z
na,94953,image,293,https://www.instagram.com/p/BgDSeSfDHWW/?taken-by=apple,"#ShotoniPhone with support by Apple.
-
1. Alina V. @alinavalitova ""Why, sometimes I've believed as many as six impossible things before breakfast."" - Lewis Carroll
-
2. Semmi D. @_semmi_djabrail_ ""I don’t feel different or limited in my abilities, and that’s how I want everyone in a similar situation to feel. This is my goal.""
-
3. Masha V. @editor_vorslav ""Look at makeup as an accessory, not a necessity.""
-
4. Igor G. @gavarigor ""Beauty is beyond looking ""young"" or ""old"", it is not defined by the number of wrinkles you have.""
-
5. Sergei S. @sarakhanov ""Children are not the key to unraveling the universe, but they inspire you to be a better person because they repeat your every move and action.""",2018-03-08T06:00:00.000Z
na,113109,image,435,https://www.instagram.com/p/BgEr_TVj_e9/?taken-by=apple,"“International Women’s Day provides us a platform to express ourselves, cheer each other on, and honor our ancestors who paved the way.” #ShotoniPhone by Jesse C.M. @jessechamberlinmarble",2018-03-08T19:02:12.000Z
na,139472,image,443,https://www.instagram.com/p/BgJmRyxDOpv/?taken-by=apple,"“Yes, Chicago.” #ShotoniPhone by Ingrid N. @ingridnohlsson",2018-03-10T16:48:30.000Z
na,167757,image,"1,059",https://www.instagram.com/p/BgMMQQ-DP1F/?taken-by=apple,“Just another day in Morocco.” #ShotoniPhone by Maly M. @maly.mann,2018-03-11T16:58:49.000Z
na,148718,image,927,https://www.instagram.com/p/BgRIAMXjnUo/?taken-by=apple,“Traveling by train is a photographer’s paradise. Absolutely no shortage of new subjects and situations.” #ShotoniPhone by Dina A. @dinalf,2018-03-13T14:57:53.000Z
na,92343,image,466,https://www.instagram.com/p/BgRxTqMjIpV/?taken-by=apple,"“I also take photos without my son in them, they’re just never as good.” #ShotoniPhone by Katie K. @katiekronbauer",2018-03-13T20:58:48.000Z
na,128135,image,348,https://www.instagram.com/p/BgY80IjjO7Q/?taken-by=apple,“I’ve dreamed my entire life of seeing icebergs in Antarctica. It was worth it.” #ShotoniPhone by Esther H. @estherhavens,2018-03-16T15:54:02.000Z
na,130774,image,464,https://www.instagram.com/p/BfD-UVYDx1j/?taken-by=apple,"“At first, I barely noticed these horses standing there in the fog. We ended up talking for hours.” #ShotoniPhone by Javier M. @javiermillan_bw",2018-02-11T15:51:44.000Z
188933,42077,video,328,https://www.instagram.com/p/BfG3n8vj1KX/?taken-by=apple,"Community Brief 10: Self
So good to see you.
Tag #TheSelfSeries + #ShotoniPhone
We’ll post favorites next week.
Photos & videos accepted.
Music: “Say U Won’t” by @brasstracks",2018-02-12T18:51:25.000Z
na,97392,image,624,https://www.instagram.com/p/BfJiBPbj6Sf/?taken-by=apple,"Commissioned by Apple. “There is no bigger stage for color, texture, and movement than Carnaval in Brazil. As a visuals addict, this is my playground.” #ShotoniPhone by Camila C. @camilacornelsen
Music: “Profane [@CRTRCKS remix] “ by @blocotaradonivoce",2018-02-13T19:39:54.000Z
275595,73923,video,399,https://www.instagram.com/p/BfL1IoVAGIE/?taken-by=apple,"Collection: Together
Things go better with you. 👥 #ShotoniPhone by…
Savadmon A. @aasavad, Misty L. @bear_and_pony, Kirsten M. @neverforgetthosedays, Andrés C. @_andrescedillo, Facundo M. @donmarqvez, Fabricio G. @capsulauy, Gianni A. @gianniaugello, Rieko M. @reekaba, Febi H. @cumajepret, Sandro P. @ora_and_me, Carlos V. @carfevi, Shephali S. @stumbledacross, Manuel C. @ngtv.space, Erin B. @erinrbrooks, Katharina N. @099_augenblicke, Brittany D. @beextraphotogenic, Noel B. @imoments, Sanket R. @isanketreddy, Liz G. @liz.gregg, Hashim N. @hashimnauman, Adriana C. @pingoeninadalmatians, Sesh S. @luminousdiary, Nicholl G. @nicholleylon, Benjamin L. @ohitsbenji, Ryosuke S @izu_p, Kobi R. @kobi_refaeli, and Daniele F. @link_3
Music: “Birds of a Feather, We Rock Together” by @vulfpeck",2018-02-14T17:05:57.000Z
na,139528,image,904,https://www.instagram.com/p/BfNy9wzAgSa/?taken-by=apple,"A color of celebration, #ShotoniPhone by…
(in order of appearance) Yangyi V.L. @vivian_fabulous, Jirasak P. @milo_b2015, Mary Joy G. @mjganitano, Jirasak P. @joez19, Yafiq Y. @_yafiqyusman_, Jeremy V. @jeremyveach, Shazrina S. @moksva, Özgür B. @ozgurbilge, Athipan W. @awnoom, Daniel D. @danindub, Tomás L. @tomles, Qian L. @imclumsypanda, Anmol B. @elusiveanmol, Mayank M. @defiiantt, Joselito G. @green.surfer, Jeryl T. @j9ryl, Eric C. @ericube23, Deep B. @deep.j.bhuyan
Music: “Flame Fighters” by @howieleeofficial
-
2. Mayank M. @defiiantt
-
3. Yangyi V.L. @vivian_fabulous
-
4. Jirasak P. @joez19
-
5. Joselito G. @green.surfer
-
6. Athipan W. @awnoom
-
7. Yafiq Y. @_yafiqyusman_
-
8. Shazrina S. @moksva
-
9. Matt K. @mattkeil",2018-02-15T11:24:56.000Z
409860,120984,video,"2,020",https://www.instagram.com/p/BfTW27Ijy1n/?taken-by=apple,"The street cats of Istanbul. Owned by no one, yet loved by everyone. 🇹🇷❤️😸#ShotoniPhone by... (in order of appearance) Takae S. @tapistanbul, Çağan I. @caganirmak1, Giuseppe P. @pinuz_87, Mehmet K. @civilking, Uğur Ç. @celik.uqur, Güneş Ö. @gunesozgec, Roman L. @menefren, Jekaterina I. @goldmanni, Tuse T. @yerlerkaymiyor, Adhisa G. @wildberrychild, Hilal G. @hilalgin, Örgüt Ç. @orgutcayli, Uğur A. @iamuguraslan. 
Music: ""Rest in Space"" by @islandman_",2018-02-17T15:16:44.000Z
na,144788,image,919,https://www.instagram.com/p/BfYlItYjId1/?taken-by=apple,"""I recently moved to Kenya, where an office encounter such as this is not so unusual anymore.” #ShotoniPhone by Joost B. @joostbastmeijer",2018-02-19T15:55:44.000Z
270558,71192,video,363,https://www.instagram.com/p/BfcnisVjI0v/?taken-by=apple,“Catching Corners.” #ShotoniPhone by Yevgeny I. @aerohockey,2018-02-21T05:34:27.000Z
na,93704,image,"1,018",https://www.instagram.com/p/Bfd3pm0jMln/?taken-by=apple,"Showcase 10: #TheSelfSeries 
Swipe for favorites from last week’s Community Brief. #ShotoniPhone
-
1. Jardel F. @jardelfontenelle
-
2. Fernando G. @felicioangelx
-
3. Romaric L. @romdilon
-
4. Chris B. @chris_iphone
-
5. Ziaul H.O. @ziaulhaqueoisharjh
-
6. Raj S.A. @rajsingharora
-
7. Nikita S. @lanqon
-
8. Nasser A.N. @nasser01
-
9. Laura Z. @laurazazanis",2018-02-21T17:13:43.000Z
na,196521,image,804,https://www.instagram.com/p/BfghE9oDqRQ/?taken-by=apple,"“The L and its elevated tracks through downtown Chicago, an iconic part of the city.” #ShotoniPhone by Andres M. @_amphoto",2018-02-22T17:54:12.000Z
na,142963,image,799,https://www.instagram.com/p/BfkfkZYjlrY/?taken-by=apple,“Photographing the countryside takes me back to my roots. Each shot recreates a memory from my childhood.” 🐮 🌱👩‍🌾 #ShotoniPhone by Laurent D. @loxilaux,2018-02-24T06:57:58.000Z
na,171959,image,615,https://www.instagram.com/p/BfrDgfLjDBd/?taken-by=apple,"“Surrounded by ice, this man kept us safe.” #ShotoniPhone by Stefanie N. @regentanz.s",2018-02-26T20:07:27.000Z
na,170889,image,968,https://www.instagram.com/p/BeMlqKnj8MY/?taken-by=apple,“So do I.” #ShotoniPhone by Ayanna L.G. @yanster3,2018-01-21T03:38:01.000Z
na,210897,image,971,https://www.instagram.com/p/BeQzlqoDXo-/?taken-by=apple,“Blending in.” #ShotoniPhone by Yelitza R. @whatwordsmiss,2018-01-22T18:56:42.000Z
232383,53670,video,473,https://www.instagram.com/p/BeVwKwfD2rP/?taken-by=apple,"Community Brief 09: Black and White 
See beyond color.
Tag #TheBlackandWhiteSeries + #ShotoniPhone
We’ll post favorites next week.
Photos & videos accepted.
Music: “Reset Yourself” by @b3naqua",2018-01-24T17:04:02.000Z
na,193461,image,820,https://www.instagram.com/p/BebAKVxjSGY/?taken-by=apple,“But then came the calm.” #ShotoniPhone by Douglas L. @lopesdoug,2018-01-26T17:58:59.000Z
na,191496,image,988,https://www.instagram.com/p/BegSKo3Anqf/?taken-by=apple,“I will never forget this moment.” #ShotoniPhone by Brock S. @mrbrock21,2018-01-28T19:12:30.000Z
na,175797,image,877,https://www.instagram.com/p/BenqHm6Dz-N/?taken-by=apple,"Commissioned by Apple. “It was incredible to watch my iPhone paint the landscape like a roller brush from 20,000 feet.” #ShotoniPhone by Vincent L. @vincentlaforet 
See our Story for more.",2018-01-31T15:56:29.000Z
na,105619,image,675,https://www.instagram.com/p/Bes6C0jj2O2/?taken-by=apple,"Showcase 09: #TheBlackandWhiteSeries 
Swipe for favorites from last week’s Community Brief. #ShotoniPhone
-
1. Pierre V. @pierrevuillermin
-
2. Huan Z. @huanzheng1119
-
3. Harry E. @harrywedmonds
-
4. Paolo T. @paolotarray
-
5. Omkar G. @omkaar_giri
-
6. Christian M. @chrmorfeus
-
7. Riccardo F. @riccardo049
-
8. Jenny R. @jenannro
-
9. Scott P. @scottpattullo
-
10. Sait D.E. + Galip S. @sdetiler + @galipsalt",2018-02-02T16:51:51.000Z
na,139149,image,351,https://www.instagram.com/p/BeylohIjNQn/?taken-by=apple,"“You could maybe call this one, ‘Look Down’? I don’t know… I’m so bad at this.” #ShotoniPhone by Kingsley W. @mrkingsley.w",2018-02-04T21:48:56.000Z
na,127758,image,822,https://www.instagram.com/p/Be0cf9Xjl6-/?taken-by=apple,“Desert ships.” #ShotoniPhone by Rashed A. @irashedc,2018-02-05T15:07:36.000Z
na,185299,image,627,https://www.instagram.com/p/Be3WcJDjP7M/?taken-by=apple,"“It’s pretty funny to see a Zamboni out on the road, heading to an outdoor rink. Just be sure to yield.” #ShotoniPhone by Carrie S. @carrieservos",2018-02-06T18:12:23.000Z
