views,likes,media,comments,url,caption
na,"2,140",image,11,https://www.instagram.com/p/BgDZ08QhD2I/?taken-by=asus,"With the #ASUS #VivoBook Pro, you can create, nurture, and transform the world. Happy #InternationalWomensDay!"
na,"3,601",image,13,https://www.instagram.com/p/BgGVuT2BHNM/?taken-by=asus,"The #ZenBook Flip Series equip with versatile 360° ErgoLift hinge, which provides you the silky-smooth flipping action for any occations."
na,"4,801",image,21,https://www.instagram.com/p/BgI7t_5h4rH/?taken-by=asus,Enjoy supercharged data transfers with the #ASUS #VivoBook S15's dual-storage design that gives you the power to use SSDs for fast data speeds and HDDs for large capacities. #laptops #PC
na,"4,419",image,13,https://www.instagram.com/p/BgL4ChAB3wO/?taken-by=asus,The #ASUS #VivoBook Flip 12 has been re-engineered to create a compact solution for ultimate #flexibility and #functionality. #laptops
na,"4,103",image,15,https://www.instagram.com/p/BgOdEOUBnAt/?taken-by=asus,"Whether you prefer a laptop or tablet, #ZenBook Flip 14 has you covered."
na,"8,576",image,60,https://www.instagram.com/p/BgRCBo5BV_R/?taken-by=asus,#ZenFone Max Plus is built in premium metal body design in every detail with the fingerprint cleverly located at the back for more intuitive access.
na,"3,581",image,10,https://www.instagram.com/p/BgTSAYSBh83/?taken-by=asus,Tinker Board: brilliant computer for projects according to Expert Reviews UK.  #ASUS #Tinkerboard #SBC
na,"5,816",image,40,https://www.instagram.com/p/BgTmZ38hKiD/?taken-by=asus,#VivoBook Pro's 4K UHD panel and #ASUS Splendid display #technology combines optimized #hardware and #software to provide best-in-class visuals.
na,"3,891",image,9,https://www.instagram.com/p/BgWLQ5xh_n1/?taken-by=asus,"With more than 20,000 open-close cycle ErgoLift hinge torture tests under its belt, the #ZenBook Flip Series leaves you worry-free to make your big ideas happen!"
na,"4,571",image,11,https://www.instagram.com/p/BgZCzUshG-W/?taken-by=asus,The dual-storage #design of the #ASUS #VivoBook 14 provides the blistering data speeds of a 512GB SSD and large storage capacities of a 2TB HDD. #laptops
na,"5,068",image,31,https://www.instagram.com/p/BgbVvsehydC/?taken-by=asus,#ZenFone Max Plus's 4130mAH battery keeps up with your active lifestyle and is always at the ready to capture every extraordinary moment.
"4,254",na,video,44,https://www.instagram.com/p/Bggv82fBqKq/?taken-by=asus,"The new #ZenFone5 Series exclusive ASUS #ZeniMoji feature lets you animate loveable avatars using your voice, facial expressions, and head movements for video entertaining chats, and live streaming."
