views,likes,media,comments,url,caption,post_datetime
na,2140,image,11,https://www.instagram.com/p/BgDZ08QhD2I/?taken-by=asus,"With the #ASUS #VivoBook Pro, you can create, nurture, and transform the world. Happy #InternationalWomensDay!",2018-03-08T07:04:16.000Z
na,3601,image,13,https://www.instagram.com/p/BgGVuT2BHNM/?taken-by=asus,"The #ZenBook Flip Series equip with versatile 360° ErgoLift hinge, which provides you the silky-smooth flipping action for any occations.",2018-03-09T10:26:07.000Z
na,4801,image,21,https://www.instagram.com/p/BgI7t_5h4rH/?taken-by=asus,Enjoy supercharged data transfers with the #ASUS #VivoBook S15's dual-storage design that gives you the power to use SSDs for fast data speeds and HDDs for large capacities. #laptops #PC,2018-03-10T10:36:37.000Z
na,4419,image,13,https://www.instagram.com/p/BgL4ChAB3wO/?taken-by=asus,The #ASUS #VivoBook Flip 12 has been re-engineered to create a compact solution for ultimate #flexibility and #functionality. #laptops,2018-03-11T14:02:11.000Z
na,4103,image,15,https://www.instagram.com/p/BgOdEOUBnAt/?taken-by=asus,"Whether you prefer a laptop or tablet, #ZenBook Flip 14 has you covered.",2018-03-12T14:04:12.000Z
na,8576,image,60,https://www.instagram.com/p/BgRCBo5BV_R/?taken-by=asus,#ZenFone Max Plus is built in premium metal body design in every detail with the fingerprint cleverly located at the back for more intuitive access.,2018-03-13T14:05:39.000Z
na,3581,image,10,https://www.instagram.com/p/BgTSAYSBh83/?taken-by=asus,Tinker Board: brilliant computer for projects according to Expert Reviews UK.  #ASUS #Tinkerboard #SBC,2018-03-14T11:03:46.000Z
na,5816,image,40,https://www.instagram.com/p/BgTmZ38hKiD/?taken-by=asus,#VivoBook Pro's 4K UHD panel and #ASUS Splendid display #technology combines optimized #hardware and #software to provide best-in-class visuals.,2018-03-14T14:02:01.000Z
na,3891,image,9,https://www.instagram.com/p/BgWLQ5xh_n1/?taken-by=asus,"With more than 20,000 open-close cycle ErgoLift hinge torture tests under its belt, the #ZenBook Flip Series leaves you worry-free to make your big ideas happen!",2018-03-15T14:02:35.000Z
na,4571,image,11,https://www.instagram.com/p/BgZCzUshG-W/?taken-by=asus,The dual-storage #design of the #ASUS #VivoBook 14 provides the blistering data speeds of a 512GB SSD and large storage capacities of a 2TB HDD. #laptops,2018-03-16T16:46:21.000Z
na,5068,image,31,https://www.instagram.com/p/BgbVvsehydC/?taken-by=asus,#ZenFone Max Plus's 4130mAH battery keeps up with your active lifestyle and is always at the ready to capture every extraordinary moment.,2018-03-17T14:10:22.000Z
4308,1112,video,44,https://www.instagram.com/p/Bggv82fBqKq/?taken-by=asus,"The new #ZenFone5 Series exclusive ASUS #ZeniMoji feature lets you animate loveable avatars using your voice, facial expressions, and head movements for video entertaining chats, and live streaming.",2018-03-19T16:38:59.000Z
