views,likes,media,comments,url,caption,post_datetime
484,84,video,0,https://www.instagram.com/p/BYlKjcmj-Dr/?taken-by=alcatelmobile,Introducing the perfect combination of great performance and battery life.  #AlcatelA7 is ready to fulfill all your needs!,2017-09-03T13:33:49.000Z
972,131,video,3,https://www.instagram.com/p/BYmtJ43Dzra/?taken-by=alcatelmobile,"Supersize the excitement with extra large power, extra large performance and extra large screen. Introducing the all new #AlcatelA7XL !",2017-09-04T03:55:25.000Z
na,156,image,0,https://www.instagram.com/p/BZYaW2XjTul/?taken-by=alcatelmobile,"#AlcatelA7 packs an octa-core CPU and 3GB of RAM for a powerful gaming experience anywhere, any time.",2017-09-23T11:13:11.000Z
na,300,image,11,https://www.instagram.com/p/BZbVkqpD3Hd/?taken-by=alcatelmobile,,2017-09-24T14:29:06.000Z
na,165,image,3,https://www.instagram.com/p/BZfvHwIjCZN/?taken-by=alcatelmobile,"Record every moment of your life, #AlcatelA7",2017-09-26T07:29:18.000Z
na,320,image,14,https://www.instagram.com/p/BZibTAwj1wT/?taken-by=alcatelmobile,"#AlcatelA7, bold design, ultimate performance, and long lasting battery",2017-09-27T08:33:48.000Z
na,234,image,4,https://www.instagram.com/p/BaBVWxTjwNO/?taken-by=alcatelmobile,,2017-10-09T08:38:21.000Z
na,365,image,5,https://www.instagram.com/p/BaBVZWBD077/?taken-by=alcatelmobile,,2017-10-09T08:38:42.000Z
na,276,image,6,https://www.instagram.com/p/BaOya19jvDw/?taken-by=alcatelmobile,,2017-10-14T14:02:26.000Z
na,354,image,37,https://www.instagram.com/p/BaVStsHjGEa/?taken-by=alcatelmobile,Start your day with #Alcatel #IDOL5S.,2017-10-17T02:40:04.000Z
na,574,image,22,https://www.instagram.com/p/BflxyVCHEr1/?taken-by=alcatelmobile,We are proud to introduce you our 3 new smartphone ranges! They all come with an innovative FullView 18:9 screen at competitive prices! #MWC18 #AlcatelMobile #mwc18 #Barcelona #innovation,2018-02-24T18:56:24.000Z
na,549,image,54,https://www.instagram.com/p/BfqCHPSn64v/?taken-by=alcatelmobile,"Live without limits with the bezel-less design of the NEW Alcatel 5.

#AlcatelMobile #mwc #MWC2018 #MWC18 #Barcelona #Innovation #Photography #Design #NewDimension #Selfie #Groupfie",2018-02-26T10:36:02.000Z
