views,likes,media,comments,url,caption
na,"5,487",image,52,https://www.instagram.com/p/Bfnu5D9HsVq/?taken-by=nokia,"Suri: “In 2018, we have already announced over 10 customer engagements on #5G, bringing us to a total of more than 50 trials and launches. And we are just getting started."" #MWC18"
na,"4,703",image,43,https://www.instagram.com/p/Bfn7ip5HW-c/?taken-by=nokia,"Our CMO Barry French didn't shy away from a bet of making this the best #MWC18 ever. Now #teamNokia is boldly working towards making him go bald, branded Nokia blue. #teamnokiaCMOchallenge"
na,"4,216",image,26,https://www.instagram.com/p/Bfp9jV6nVQf/?taken-by=nokia,Swipe your way through some fun highlights of our Nokia City at #MWC18 and head over to our Facebook to take a live tour!
"8,671",na,video,15,https://www.instagram.com/p/BfqJ7siH0Um/?taken-by=nokia,#geek alert: This robot showcases how we use #5G for automation to power the 4th Industrial Revolution. The tactile internet allows us to feel materials in real time on one location and actually sense and touch a material even if we are not in the factory. #industry40 #robotics #MWC18
na,"3,080",image,8,https://www.instagram.com/p/Bfq3EqwnljA/?taken-by=nokia,Our @metykotb demonstrates the Ultra Compact Network at #MWC18 while wearing the Connected Jacket which picks up vital signs and has built-in #gps monitoring. #publicsafety #firstresponders
"7,453",na,video,2,https://www.instagram.com/p/BfsZsCfnpgT/?taken-by=nokia,Check out our #5G #innovation partner @latvijasmobilaistelefons's unique booth at #MWC18 featuring a piece of contemporary Latvian art - how cool!
na,"4,085",image,35,https://www.instagram.com/p/BftER-LH2IR/?taken-by=nokia,"One giant step for networking. Today, we have been selected by @VodafoneGroup to be its technology partner for #missiontothemoon"
na,"3,974",image,18,https://www.instagram.com/p/Bfu4yumHl3O/?taken-by=nokia,It's day 3 at #MWC18 and our stand is buzzing. Explore the Nokia City and follow us on your favorite social media channel for live updates from the show floor.
"8,463",na,video,13,https://www.instagram.com/p/BfvnerUngTP/?taken-by=nokia,The future of #digitalcity and the future of machine augmented intelligence demonstrated by Nokia Bell Labs at #MWC18. #AI #drones
na,"3,420",image,39,https://www.instagram.com/p/BfxoWTyHA7b/?taken-by=nokia,#teamnokia is having a wonderful time at #MWC18 in Barcelona! Swipe for a selection of fun photos  from our crew party yesterday.
na,"4,262",image,67,https://www.instagram.com/p/BgBtAKxnM5Y/?taken-by=nokia,"Nokia is lighting the way to a new approach, taking optical networking to the limit of physics with our new Photonic Service Engine 3 (PSE-3) chipset. nokia.ly/PSE-3"
na,"4,255",image,31,https://www.instagram.com/p/BgTmQcoFbRR/?taken-by=nokia,Artificial intelligence enhances everyday life in many ways. Have you already noticed how useful it can be? #OurFansRock #artificialintelligence
na,"3,631",image,25,https://www.instagram.com/p/Bea1kQfHKHY/?taken-by=nokia,Earlier today our #NokiaHackathon event featured 2 of these micro #FPV quads flown around by specialists while the teams of #hackers were working around the topic of #5G
na,10.1k,image,115,https://www.instagram.com/p/BehsY6pndbh/?taken-by=nokia,"Today we launch our Nokia ReefShark chipsets that deliver massive performance gain in #5G networks. Our chipsets leverage in-house silicon expertise to dramatically reduce the size, cost and power consumption of operators’ networks and meet the massive compute and radio requirements of 5G."
na,"6,105",image,46,https://www.instagram.com/p/BetGPsyn5Ex/?taken-by=nokia,"Today we launched an industrial #5G trial with @deutschetelekom and @hamburgerhafen, testing network slicing, traffic management, data processing, virtual reality applications and more. Check out how our Nokia #5G ready antenna, a key component of the 5G test network is being installed on top of the Hamburg TV tower #iiot"
10.8k,na,video,33,https://www.instagram.com/p/BexA2_-niM7/?taken-by=nokia,"Our newly launched ReefShark chipsets leveraging in-house #silicon expertise combine power, intelligence and efficiency to make them ideally suited to be at the heart of fast arriving #5G networks. http://nokia.ly/ReefShark #AI"
na,"4,938",image,52,https://www.instagram.com/p/Be0HHc5Hbz9/?taken-by=nokia,"With 5G, the world will be closer. #OurFansRock #5G"
na,"2,734",image,16,https://www.instagram.com/p/Be76W7TngKv/?taken-by=nokia,"At Nokia, we create the technology to connect the world. Meet us at #MWC18 in Barcelona to find out how! nokia.com/mwc #5G"
na,"4,200",image,37,https://www.instagram.com/p/Be-PLbfHxA8/?taken-by=nokia,#Gaming just got faster! We have tested the #5G gaming experience with @teliafinland over a test 5G network at our Nokia 5G Innovation Lab. #esports
na,"4,547",image,28,https://www.instagram.com/p/BfBqYLgnOng/?taken-by=nokia,Happy #weekend from our Hangzhou site with this #timelapse photo taken by one of our talented employees. #teamnokia
na,"4,083",image,23,https://www.instagram.com/p/BfQtKXTHu-k/?taken-by=nokia,"Happy #chinesenewyear! As the #yearofthedog begins, we’re wishing everyone health and happiness."
na,"4,222",image,30,https://www.instagram.com/p/BfbJ5lKnvIl/?taken-by=nokia,"Her Excellency Päivi Luostarinen, Finland’s Ambassador to the UK, cuts the ribbon at our new office and #Cloud #Collaboration Hub in Reading."
na,"4,481",image,34,https://www.instagram.com/p/BflmeMcHSnq/?taken-by=nokia,Are you ready? #MWC18 here we come! Follow us on social media for live updates from the show floor or join us in Barcelona starting tomorrow and experience our vision for the future first hand. #innovation #5G
na,"3,132",image,20,https://www.instagram.com/p/BfnawLnHxSy/?taken-by=nokia,Some #fastfacts about our #MWC18 presence. #teamnokia is ready to rock! Join our Press & Analyst update today at 1PM CET.
na,"7,529",image,48,https://www.instagram.com/p/Bdc-IYxHaTh/?taken-by=nokia,Enjoying the beauty of the #northernlights at our Oulu site. Photo credit: Kenichi Komatsu.
"8,117",na,video,17,https://www.instagram.com/p/BdikOQplRSY/?taken-by=nokia,There’s more to you than just weight. #KnowYourself with the Nokia Body+ #smartscale. Follow @NokiaHealth to learn more. #NewYearNewYou #scale #health
na,"5,096",image,43,https://www.instagram.com/p/BdkqGcVlCnw/?taken-by=nokia,"Snow geese at Mount Baker in Washington State, U.S., captured in flight by one of our employees Huiyu who enjoys nature photography. Wishing our fans and followers a happy and relaxing weekend! Photo credit: Huiyu Tao"
na,"4,770",image,36,https://www.instagram.com/p/Bdz_FhOnscm/?taken-by=nokia,#teamnokia Hangzhou held its annual party for all employees to celebrate the old year's achievements and get ready for the new year's challenges.
