views,likes,media,comments,url,caption,post_datetime
na,5487,image,52,https://www.instagram.com/p/Bfnu5D9HsVq/?taken-by=nokia,"Suri: “In 2018, we have already announced over 10 customer engagements on #5G, bringing us to a total of more than 50 trials and launches. And we are just getting started."" #MWC18",2018-02-25T13:09:35.000Z
na,4703,image,43,https://www.instagram.com/p/Bfn7ip5HW-c/?taken-by=nokia,"Our CMO Barry French didn't shy away from a bet of making this the best #MWC18 ever. Now #teamNokia is boldly working towards making him go bald, branded Nokia blue. #teamnokiaCMOchallenge",2018-02-25T15:00:08.000Z
na,4216,image,26,https://www.instagram.com/p/Bfp9jV6nVQf/?taken-by=nokia,Swipe your way through some fun highlights of our Nokia City at #MWC18 and head over to our Facebook to take a live tour!,2018-02-26T09:56:11.000Z
8672,1577,video,15,https://www.instagram.com/p/BfqJ7siH0Um/?taken-by=nokia,#geek alert: This robot showcases how we use #5G for automation to power the 4th Industrial Revolution. The tactile internet allows us to feel materials in real time on one location and actually sense and touch a material even if we are not in the factory. #industry40 #robotics #MWC18,2018-02-26T11:46:16.000Z
na,3080,image,8,https://www.instagram.com/p/Bfq3EqwnljA/?taken-by=nokia,Our @metykotb demonstrates the Ultra Compact Network at #MWC18 while wearing the Connected Jacket which picks up vital signs and has built-in #gps monitoring. #publicsafety #firstresponders,2018-02-26T18:18:48.000Z
7453,1477,video,2,https://www.instagram.com/p/BfsZsCfnpgT/?taken-by=nokia,Check out our #5G #innovation partner @latvijasmobilaistelefons's unique booth at #MWC18 featuring a piece of contemporary Latvian art - how cool!,2018-02-27T08:43:56.000Z
na,4085,image,35,https://www.instagram.com/p/BftER-LH2IR/?taken-by=nokia,"One giant step for networking. Today, we have been selected by @VodafoneGroup to be its technology partner for #missiontothemoon",2018-02-27T14:52:42.000Z
na,3974,image,18,https://www.instagram.com/p/Bfu4yumHl3O/?taken-by=nokia,It's day 3 at #MWC18 and our stand is buzzing. Explore the Nokia City and follow us on your favorite social media channel for live updates from the show floor.,2018-02-28T07:50:47.000Z
8463,1705,video,13,https://www.instagram.com/p/BfvnerUngTP/?taken-by=nokia,The future of #digitalcity and the future of machine augmented intelligence demonstrated by Nokia Bell Labs at #MWC18. #AI #drones,2018-02-28T15:07:02.000Z
na,3420,image,39,https://www.instagram.com/p/BfxoWTyHA7b/?taken-by=nokia,#teamnokia is having a wonderful time at #MWC18 in Barcelona! Swipe for a selection of fun photos  from our crew party yesterday.,2018-03-01T09:24:49.000Z
na,4262,image,67,https://www.instagram.com/p/BgBtAKxnM5Y/?taken-by=nokia,"Nokia is lighting the way to a new approach, taking optical networking to the limit of physics with our new Photonic Service Engine 3 (PSE-3) chipset. nokia.ly/PSE-3",2018-03-07T15:13:20.000Z
