views,likes,media,comments,url,caption,post_datetime
na,33893,image,240,https://www.instagram.com/p/BeIbe5ehQJo/?taken-by=samsungmobile,May the year ahead run in parallel with your dreams. #GalaxyNote4 #ShotFromTheGalaxy 📷: @artist_dax,2018-01-19T12:52:08.000Z
na,44561,image,389,https://www.instagram.com/p/BeQKCUUBhiX/?taken-by=samsungmobile,Never lose track of the little moments in life. #GalaxyNote8 #ShotFromTheGalaxy 📷: @enkaspass,2018-01-22T12:53:37.000Z
na,66522,image,541,https://www.instagram.com/p/BeSur9mhhqQ/?taken-by=samsungmobile,Great moments are often framed by the little ones. #GalaxyNote8 #ShotFromTheGalaxy 📷: @elhamhoxhalli,2018-01-23T12:52:21.000Z
na,57054,image,645,https://www.instagram.com/p/BeVUHj_B_d0/?taken-by=samsungmobile,"No story too large, no memory too small. #GalaxyNote8 #ShotFromTheGalaxy 📷: @s.apch",2018-01-24T12:57:55.000Z
na,48789,image,"1,031",https://www.instagram.com/p/BeXjt2YhnJS/?taken-by=samsungmobile,"Your brand new baby is coming on 02.25.2018, and it's going to be leaps and bounds ahead. #Unpacked",2018-01-25T09:52:42.000Z
na,46694,image,739,https://www.instagram.com/p/BeiNayshH89/?taken-by=samsungmobile,This 02.25.2018. You’re going to be exposed to a whole new world. #Unpacked,2018-01-29T13:09:30.000Z
na,58751,image,"1,324",https://www.instagram.com/p/BenW_EdhAXh/?taken-by=samsungmobile,From 02.25.18. You won't see your beloved the same way again. Neither will the world. #Unpacked,2018-01-31T13:09:18.000Z
na,38029,image,971,https://www.instagram.com/p/Be2yoNwhX4b/?taken-by=samsungmobile,You must first walk through darkness to reach the light. #GalaxyS7 #ShotFromTheGalaxy 📷: @lolokch,2018-02-06T12:59:27.000Z
na,57287,image,11.5k,https://www.instagram.com/p/Be5Ws4Ohw5Y/?taken-by=samsungmobile,"Find beauty, even on the rockiest of roads. #GalaxyA5 #ShotFromTheGalaxy 📷: @the_keni",2018-02-07T12:53:09.000Z
na,53279,image,"1,504",https://www.instagram.com/p/Be-g0diBSVq/?taken-by=samsungmobile,Only when you step out of the grid can you get a good look at it. #GalaxyS7 #ShotFromTheGalaxy 📷: @qadrat,2018-02-09T12:57:46.000Z
na,26946,image,157,https://www.instagram.com/p/BfGP0qcBiCI/?taken-by=samsungmobile,Moments like this are meant to be preserved. That’s why they’re bathed in amber. #GalaxyS8 #ShotFromTheGalaxy 📷: @davidlarssonphoto,2018-02-12T13:03:10.000Z
na,39298,image,194,https://www.instagram.com/p/BfIzlVcBF-v/?taken-by=samsungmobile,Every sunset is another day to celebrate. #GalaxyS7 #ShotFromTheGalaxy 📷: @avisodhi,2018-02-13T12:54:08.000Z
na,40807,image,291,https://www.instagram.com/p/BfLYGqZBEdD/?taken-by=samsungmobile,Let the promise of the horizon guide your journey. #GalaxyNote8 #ShotFromTheGalaxy 📷: @next_pisa,2018-02-14T12:51:44.000Z
126504,19939,video,228,https://www.instagram.com/p/BfdZ6u6h31Z/?taken-by=samsungmobile,"You haven’t seen anything yet. At #Unpacked, we’re shining a new light on the world as you know it.",2018-02-21T12:54:04.000Z
110357,18073,video,191,https://www.instagram.com/p/Bff-odsBNGU/?taken-by=samsungmobile,"What if every time was playtime? On 02.25.2018, we’re ramping up the game. #Unpacked",2018-02-22T12:54:05.000Z
128537,20138,video,421,https://www.instagram.com/p/BfikVa5BZkq/?taken-by=samsungmobile,"No one does you like you do. On 02.25.2018, we’re launching a brand new experience to celebrate your iconic style. #Unpacked",2018-02-23T13:01:25.000Z
166595,28589,video,393,https://www.instagram.com/p/BfvcTGrhkWG/?taken-by=samsungmobile,"Your pet’s got new tricks, but so does the new #GalaxyS9. Introducing the Super Slow-mo camera. For epic shooting and endless replay.",2018-02-28T13:01:13.000Z
121843,15530,video,111,https://www.instagram.com/p/BfyAoeQBpp5/?taken-by=samsungmobile,"The smallest moments make the biggest memories. Now make them even more epic. #GalaxyS9
Captured by @thedodo",2018-03-01T12:58:14.000Z
151269,20213,video,270,https://www.instagram.com/p/Bf0k8vjBYp-/?taken-by=samsungmobile,"Shooting in Super Slow-mo is about to become your new pet hobby. #GalaxyS9
Captured by @thedodo",2018-03-02T12:59:44.000Z
na,34518,image,205,https://www.instagram.com/p/Bf-47fMBONn/?taken-by=samsungmobile,"Don’t just take a picture. Capture the mood, with the new #GalaxyS9’s Dual Aperture camera that helps you find your light, no matter the lighting conditions.",2018-03-06T12:59:50.000Z
na,41386,image,382,https://www.instagram.com/p/BgBdWjiBp1K/?taken-by=samsungmobile,"With the #GalaxyS9, take beautiful photos in different kinds of light.",2018-03-07T12:56:35.000Z
na,34603,image,158,https://www.instagram.com/p/BgGnoJQh_Wk/?taken-by=samsungmobile,The night is always young with the new #GalaxyS9. Capture all of the action with none of the blur on a Dual Aperture camera that adjusts to the light.,2018-03-09T13:02:34.000Z
147964,22169,video,202,https://www.instagram.com/p/BgQ6mUhhlnP/?taken-by=samsungmobile,Had an epic moment? It’s playback time with the 960FPS Super Slow-mo camera on the #GalaxyS9.,2018-03-13T13:00:52.000Z
111350,17978,video,178,https://www.instagram.com/p/BgTY2t-hPb3/?taken-by=samsungmobile,Make every scene a showstopper with Super Slow-mo videos captured on the #GalaxyS9.,2018-03-14T12:03:51.000Z
na,30358,image,271,https://www.instagram.com/p/BdPv9mPB-bm/?taken-by=samsungmobile,Lights. Camera. #GalaxyNote8. #ShotFromTheGalaxy 📸: @memohzo,2017-12-28T12:34:23.000Z
na,30387,image,183,https://www.instagram.com/p/Bdcp1KyBISA/?taken-by=samsungmobile,Don't let the past reflect your future. Here's to 2018. #GalaxyS8 #ShotFromTheGalaxy 📷: @owesii,2018-01-02T12:50:56.000Z
na,38979,image,171,https://www.instagram.com/p/Bdhz9x7Ba9a/?taken-by=samsungmobile,We're rockin' into the rest of 2018. Are you? #GalaxyS7edge #ShotFromTheGalaxy 📷: @hannes_vaneeden,2018-01-04T12:55:42.000Z
na,38165,image,189,https://www.instagram.com/p/BdkZcgmhSWk/?taken-by=samsungmobile,"Where you're heading, you don't need roads. So what is your goal in the new year? #GalaxyS6 #ShotFromTheGalaxy 📷: @from_thegalaxy",2018-01-05T13:01:41.000Z
na,29458,image,167,https://www.instagram.com/p/BdsIxQZByao/?taken-by=samsungmobile,Here's to starting with a clean slate. #GalaxyNote8 #ShotFromTheGalaxy 📷: @syncio,2018-01-08T13:09:53.000Z
na,29889,image,172,https://www.instagram.com/p/BdxQa7zhbWF/?taken-by=samsungmobile,Explore a new perspective with the #GalaxyS6 #ShotFromTheGalaxy 📷: @juggernaut1,2018-01-10T12:52:57.000Z
na,33324,image,198,https://www.instagram.com/p/Bd2aSiXheWp/?taken-by=samsungmobile,"Look ahead, never back. Far better things await. #GalaxyNote8 #ShotFromTheGalaxy 📷: @leno.huang",2018-01-12T12:55:23.000Z
na,31444,image,164,https://www.instagram.com/p/BeAttYTBGiE/?taken-by=samsungmobile,Great opportunities shine. But the best ones reflect. #GalaxyNote8 #ShotFromTheGalaxy 📷: @cheesecakesandvinyl,2018-01-16T12:57:29.000Z
