views,likes,media,comments,url,caption
"1,380",na,video,1,https://www.instagram.com/p/BcCDWScHjBW/?taken-by=gioneeindia,Expert speaks - what Ishleen Sethi from The Curvy Princess has to say about all new Gionee M7 power. #Gionee #mobile
"2,896",na,video,7,https://www.instagram.com/p/BcCDmNqHR1n/?taken-by=gioneeindia,Expert speak - What Sandeep Budki from The Mobile Indian has to say about all new Gionee M7. #Gionee #Mobile
"2,513",na,video,10,https://www.instagram.com/p/BcE2Hb5n43c/?taken-by=gioneeindia,“Expert Speak - What @rohitkhuranaid from Intellect Digest India has to say about all new Gionee M7 power. #Gionee #Mobile
"2,300",na,video,6,https://www.instagram.com/p/BcRO3brn0B6/?taken-by=gioneeindia,“Experts Speak” - What Shobhit Varma from India Today Tech has to say about all new Gionee M7 Power. #Gionee #MobilePhones
na,"1,468",image,11,https://www.instagram.com/p/BcWXJ04niPG/?taken-by=gioneeindia,Empower yourself with the all new #GioneeM7power #mpowerwithgionee
na,850,image,4,https://www.instagram.com/p/BcbZOsAHy4j/?taken-by=gioneeindia,Expert speaks - What tech expert at Business Standard have to say about #GioneeM7Power. Read the full review here to know more http://bit.ly/2BJRRqA  #Gionee #Mobilephone #Mobile #M7
na,"1,835",image,11,https://www.instagram.com/p/Bcb5O6uHl2B/?taken-by=gioneeindia,Smile squad is BACK..stay tuned #GioneeSmileSquad Powering More Smiles…
"1,383",na,video,5,https://www.instagram.com/p/Bcg06oXniRZ/?taken-by=gioneeindia,Time to ‘SPIN’…Be a part of #GioneeSmileSquad. https://gionee.co.in/smilesquad/
na,"1,156",image,4,https://www.instagram.com/p/Bcjql5fnRzl/?taken-by=gioneeindia,"Never get powered out with #GioneeM7power.
5,000mAh battery that lasts for 2 days enables you to enjoy the best moments in life to the fullest without worrying about low battery."
na,742,image,3,https://www.instagram.com/p/BcmA44ZnI2o/?taken-by=gioneeindia,"Team up with Gionee ‘Smile Squad’ and stand a chance to win exciting gifts. #GioneeSmileSquad 
Click here for more details. https://gionee.co.in/smilesquad/  #Gionee #mobile #phones"
na,"1,516",image,16,https://www.instagram.com/p/BcolGtOnvB9/?taken-by=gioneeindia,India Today Tech commends the never ending power of #GioneeM7power #Mobile
na,"1,032",image,17,https://www.instagram.com/p/BcuNQLCH-Ps/?taken-by=gioneeindia,Take the perfect group selfie with #GioneeM7power
na,795,image,5,https://www.instagram.com/p/BXrvcYvDEEA/?taken-by=gioneeindia,"Capture every detail in the artistic black and white photo mode, just like the Pros! #A1Plus
#Repost @ro5h4n ・・・
Hope! 
Shot on #GioneeA1Plus @gioneeindia

#a1plus #mya1plus #bea1

#_soidelhi  #streetleaks  #myindiacnn #100kDiscovery #yourshot_india #inspiroindia #topstreetphoto  #streetphotographydelhi #people_infinity #humanity_shots_ #ig_respect #turkobjektif_people  #ig_global_people  #phoneographic #maibhisadakchap #theuncommonbox #indiainblack"
na,954,image,13,https://www.instagram.com/p/BXw8TBoDcGR/?taken-by=gioneeindia,"Notice a special moment? Capture & store it forever with the #A1Plus’s 64GB memory that can be extended up to 256GB! #A1Plus

#Repost @ro5h4n ・・・
Last mile connectivity? Yeh nahi pata par yahan 2 buildings zaroor connect kar diye hai is Auto ne 😄

Shot on #GioneeA1Plus @gioneeindia

#a1plus #mya1plus #bea1 . . . . . . . . . . . 
#phoneographic #auto #_pbp #connaughtplace #_soidelhi #dpeg #sodelhi #delhigram #dfordelhi #delhi_igers #saadidilli #heydelhi #dd_delhi  #delhiwale #omgdelhi #things2doindelhi #trellingdelhi #dildilli #hellodelhi #streetphotographydelhi #indiatravelgram"
na,790,image,1,https://www.instagram.com/p/BX2g-eYnZcE/?taken-by=gioneeindia,"Capture every moment in all its glory, with the 13MP + 5MP dual rear camera that delivers top-notch shots every time! #A1Plus

#Repost @pallabhazarika ・・・
Most photographed place in IGI T3... #gioneea1plus #bae1 #edited #editedwithsnapseed #unnecessaryphoto #photography"
na,"1,280",image,9,https://www.instagram.com/p/BX5LFaBnECd/?taken-by=gioneeindia,"Exploring the different hues of Mumbai... Shot on #A1Plus

#Repost @wanderers.of.india with @repostapp
・・・
Iconic Building of Mumbai!!!
.
.
Clicked using #Gioneea1plus. The dual camera gives some very good results.
.
.
#a1plus #mya1plus #bea1
.
.
Picture Credits - Team @wanderers.of.india
.
.
#mumbai #architecture #heritage #mumbai #myMumbai  #mumbai_uncensored #itz_mumbai #everydaymumbai #_soi #IndiaPictures #desi_diaries #streetphotographyindia #natgeoyourshot #mypixeldiary #photographers_of_india #bnw #blackandwhite #bnwsouls #monochrome #maibhisadakchap #maharashtra_ig #insta_maharashtra #indianphotography #agameoftones"
na,"1,039",image,12,https://www.instagram.com/p/BYFp58jnEGO/?taken-by=gioneeindia,"Allow the #A1Plus to transport you into the lap of mother nature.

#Repost @himalayan_girl
・・・
Hello Manali ❤️
-
-
-
-
-
Shot on Gionee A1 Plus. Captures good nature pictures. -
-
-
#gioneea1plus #a1plus #mya1plus #bea1"
