views,likes,media,comments,url,caption
na,23.5k,image,106,https://www.instagram.com/p/BgACu2XnOFq/?taken-by=google,"Who doesn’t love a good mystery? When a former investigative journalist and mystery novelist found old letters written in German inside a thrift shop suitcase, she used Google Translate to figure out just how they got there–and then some. See our story today to see how this mystery unfolded."
79.5k,na,video,377,https://www.instagram.com/p/BgBxyPHHoos/?taken-by=google,"On #IWD2018, let’s celebrate the people who are advocating for a more equal world, and the inspiring moments they create. Explore top searched trends around women at g.co/womensday."
na,28.3k,image,216,https://www.instagram.com/p/BgEDuViHvRr/?taken-by=google,"Our International Women's Day #GoogleDoodle features stories from a dozen female artists around the world–each sharing a visual narrative of moments, people and events that have impacted their lives as women. Explore them at google.com today. #IWD2018"
na,32.4k,image,130,https://www.instagram.com/p/BgHS8GMnMqv/?taken-by=google,"It was an International Women’s Day for the books. We started the day with a special #TalksAtGoogle event with wisdom from the warriors of Disney’s #WrinkleInTime, and followed up with a @madewithcode GIF-coding party with the amazing young women of @girlsincnyc. #IWD2018"
na,96.7k,image,331,https://www.instagram.com/p/BgHmEKHHeFF/?taken-by=google,#teampixel photographer @tomberrigan stumbled upon these Boston buildings that fit together like puzzle pieces.
na,125k,image,527,https://www.instagram.com/p/BgJ8EXvHLYs/?taken-by=google,"👋 from #SXSW, where there’s no place like the Google Assistant Fun House. Step right up and see what you can do with #HeyGoogle."
na,89k,image,521,https://www.instagram.com/p/BgO3yyyHfFV/?taken-by=google,All about the swirls in this quilled paper #MySuperG by @firose_art.
na,80.4k,image,595,https://www.instagram.com/p/BgRT-oYnXUU/?taken-by=google,"Let’s make some music...with machine learning. Our latest experiment from Google AI is NSynth Super, an open source instrument that can make over 100,000 new sounds generated by ML. 🎶 g.co/nsynthsuper"
na,27.4k,image,155,https://www.instagram.com/p/BgT6NfkA4gI/?taken-by=google,"Oh, pi there! A little math, a little dessert – strong yes from us. Get a slice of today's sweet #PiDay #GoogleDoodle, fresh out of legendary baker @dominiqueansel's oven. 🥧"
na,41.8k,image,227,https://www.instagram.com/p/BgWY_6_HhCq/?taken-by=google,"New name, same way to keep you connected to the things and people you love–right from your wrist. Say hello to #WearOSbyGoogle."
na,89.5k,image,390,https://www.instagram.com/p/BgXAhgWHt-6/?taken-by=google,Wander through light and shadows in this dreamy scene of Singapore’s Cloud Forest captured by #teampixel photographer @juicegee.
