views,likes,media,comments,url,caption
na,"3,348",image,26,https://www.instagram.com/p/Be9A9nVFkkf/?taken-by=hp,"Don't let your favorite memories come and go. Instantly print photos from your phone with the HP Sprocket, like @britandco. ✨"
23.7k,na,video,45,https://www.instagram.com/p/BfLz9LOFVMh/?taken-by=hp,Put a new spin 💞 on Valentine fun with colorful augmented reality from HP Sprocket Magic Frames.
na,"2,953",image,17,https://www.instagram.com/p/Bfq-_xMlIAr/?taken-by=hp,"Congrats, future tech leaders!! We’re proud to empower female programmers with the @wrinkleintime #WarriorsWhoCode Challenge"
14.4k,na,video,30,https://www.instagram.com/p/BfwkykAl7Za/?taken-by=hp,"For instant fun anytime, anywhere, get the HP Sprocket photo printer! 😀😜😎"
19.8k,na,video,44,https://www.instagram.com/p/Bf_9s41lSsd/?taken-by=hp,Wish you were there…again? Scan your Sprocket photo with the Relive Memories feature to take you back instantly.
na,"6,727",image,32,https://www.instagram.com/p/BgEeAq0lBPS/?taken-by=hp,"“Now is the perfect time to be a woman in tech. You’re paving the way for other girls to step into your shoes, that’s exciting.” @geekgirlweb. Coder for a cause. #InternationalWomensDay"
"9,557",na,video,19,https://www.instagram.com/p/BgPMXC8lGc1/?taken-by=hp,Girls everywhere are unstoppable warriors. Be the hero of your journey with the HP ENVY x2. ✨ #WrinkleInTime
na,11.4k,image,45,https://www.instagram.com/p/BgRV_K5Ffwy/?taken-by=hp,"What happens when @elleusa and @ninagarcia use HP Indigo printers to personalize their magazine covers? 50,000 of their subscribers receive an exclusive cover with messages from @kimkardashian! 😍 #KKWxELLE
Photographed by @boo_george_studio, styled by @annatrevelyan"
12.4k,na,video,45,https://www.instagram.com/p/BgUdAsRlGHo/?taken-by=hp,"#ReinventMemories with instant augmented reality! Celebrate birthdays, BFFs and more with HP Sprocket prints and Magic Frames. 🤩"
20.1k,na,video,42,https://www.instagram.com/p/BghVComFFQ1/?taken-by=hp,Mix daring designs with daring moments using your HP Sprocket photo printer.
11.7k,na,video,11,https://www.instagram.com/p/BgpCBmflKf3/?taken-by=hp,"“Seeing kids being creative and grow by learning through technology is really amazing.” @geekgirlweb, co-founder of @coderdojo NYC, inspires curiosity, creativity and collaboration by helping kids explore web, game and app development. The nonprofit reaches over 1,400 families and encourages more kids to enter the tech world."
18.8k,na,video,45,https://www.instagram.com/p/Bgrn6czF_UL/?taken-by=hp,There's more room to customize with the HP Sprocket Plus. More space equals more creativity and fun! 🎉
40.4k,na,video,124,https://www.instagram.com/p/BdNpcZXlet1/?taken-by=hp,"Print your favorite photos instantly with the HP Sprocket, just like @brecbassinger. ❤"
na,10k,image,158,https://www.instagram.com/p/BdX81hTlItp/?taken-by=hp,"Ring in 🔔 2018 with the HP Sprocket and print instant 2x3"" photos from your 📱 anytime, anywhere. Start the #NewYear off right and buy now."
na,10k,image,317,https://www.instagram.com/p/Bddv2hrFBfj/?taken-by=hp,Put your personality into every print. Pick the portable HP Sprocket smartphone printer that’s right for you. 😜
27.6k,na,video,50,https://www.instagram.com/p/BdgUBy8FNV-/?taken-by=hp,Transform family birthdays 🎂 into stunning moments you can hold on to with the mighty HP ENVY Photo printer. #ReinventMemories
21.7k,na,video,17,https://www.instagram.com/p/BeByvOVFcOX/?taken-by=hp,Turn craft projects into family moments with the HP Smart App and all-in-one ENVY Photo printer. #ReinventMemories
na,"6,230",image,51,https://www.instagram.com/p/BeEXhDkFbKd/?taken-by=hp,Beat those January blues and brighten up your workspace using the HP Sprocket.
11.5k,na,video,8,https://www.instagram.com/p/BeG89LRlV8F/?taken-by=hp,@amandajanejones makes any place feel like home with prints from her HP ENVY Photo printer. #ReinventMemories
na,"6,474",image,53,https://www.instagram.com/p/BeRQVimFgcz/?taken-by=hp,"Make fun a bigger deal. Customize 30% bigger prints from your 📱 with the new slim-design HP Sprocket Plus — anytime, anywhere."
