views,likes,media,comments,url,caption,post_datetime
na,3348,image,26,https://www.instagram.com/p/Be9A9nVFkkf/?taken-by=hp,"Don't let your favorite memories come and go. Instantly print photos from your phone with the HP Sprocket, like @britandco. ✨",2018-02-08T23:00:09.000Z
23733,2269,video,45,https://www.instagram.com/p/BfLz9LOFVMh/?taken-by=hp,Put a new spin 💞 on Valentine fun with colorful augmented reality from HP Sprocket Magic Frames.,2018-02-14T17:00:03.000Z
na,2953,image,17,https://www.instagram.com/p/Bfq-_xMlIAr/?taken-by=hp,"Congrats, future tech leaders!! We’re proud to empower female programmers with the @wrinkleintime #WarriorsWhoCode Challenge",2018-02-26T19:28:02.000Z
14415,1950,video,30,https://www.instagram.com/p/BfwkykAl7Za/?taken-by=hp,"For instant fun anytime, anywhere, get the HP Sprocket photo printer! 😀😜😎",2018-02-28T23:35:00.000Z
19894,2753,video,44,https://www.instagram.com/p/Bf_9s41lSsd/?taken-by=hp,Wish you were there…again? Scan your Sprocket photo with the Relive Memories feature to take you back instantly.,2018-03-06T23:01:20.000Z
na,6727,image,32,https://www.instagram.com/p/BgEeAq0lBPS/?taken-by=hp,"“Now is the perfect time to be a woman in tech. You’re paving the way for other girls to step into your shoes, that’s exciting.” @geekgirlweb. Coder for a cause. #InternationalWomensDay",2018-03-08T17:00:03.000Z
9560,2314,video,19,https://www.instagram.com/p/BgPMXC8lGc1/?taken-by=hp,Girls everywhere are unstoppable warriors. Be the hero of your journey with the HP ENVY x2. ✨ #WrinkleInTime,2018-03-12T21:00:10.000Z
na,11436,image,45,https://www.instagram.com/p/BgRV_K5Ffwy/?taken-by=hp,"What happens when @elleusa and @ninagarcia use HP Indigo printers to personalize their magazine covers? 50,000 of their subscribers receive an exclusive cover with messages from @kimkardashian! 😍 #KKWxELLE
Photographed by @boo_george_studio, styled by @annatrevelyan",2018-03-13T17:00:04.000Z
12441,2415,video,45,https://www.instagram.com/p/BgUdAsRlGHo/?taken-by=hp,"#ReinventMemories with instant augmented reality! Celebrate birthdays, BFFs and more with HP Sprocket prints and Magic Frames. 🤩",2018-03-14T22:00:02.000Z
20127,3278,video,42,https://www.instagram.com/p/BghVComFFQ1/?taken-by=hp,Mix daring designs with daring moments using your HP Sprocket photo printer.,2018-03-19T22:00:11.000Z
11755,2395,video,11,https://www.instagram.com/p/BgpCBmflKf3/?taken-by=hp,"“Seeing kids being creative and grow by learning through technology is really amazing.” @geekgirlweb, co-founder of @coderdojo NYC, inspires curiosity, creativity and collaboration by helping kids explore web, game and app development. The nonprofit reaches over 1,400 families and encourages more kids to enter the tech world.",2018-03-22T21:48:36.000Z
18867,3261,video,45,https://www.instagram.com/p/Bgrn6czF_UL/?taken-by=hp,There's more room to customize with the HP Sprocket Plus. More space equals more creativity and fun! 🎉,2018-03-23T22:00:04.000Z
40469,4479,video,124,https://www.instagram.com/p/BdNpcZXlet1/?taken-by=hp,"Print your favorite photos instantly with the HP Sprocket, just like @brecbassinger. ❤",2017-12-27T17:00:49.000Z
na,10056,image,158,https://www.instagram.com/p/BdX81hTlItp/?taken-by=hp,"Ring in 🔔 2018 with the HP Sprocket and print instant 2x3"" photos from your 📱 anytime, anywhere. Start the #NewYear off right and buy now.",2017-12-31T17:00:48.000Z
na,10014,image,317,https://www.instagram.com/p/Bddv2hrFBfj/?taken-by=hp,Put your personality into every print. Pick the portable HP Sprocket smartphone printer that’s right for you. 😜,2018-01-02T23:02:47.000Z
27612,2839,video,50,https://www.instagram.com/p/BdgUBy8FNV-/?taken-by=hp,Transform family birthdays 🎂 into stunning moments you can hold on to with the mighty HP ENVY Photo printer. #ReinventMemories,2018-01-03T23:00:24.000Z
21754,2845,video,17,https://www.instagram.com/p/BeByvOVFcOX/?taken-by=hp,Turn craft projects into family moments with the HP Smart App and all-in-one ENVY Photo printer. #ReinventMemories,2018-01-16T23:01:04.000Z
na,6230,image,51,https://www.instagram.com/p/BeEXhDkFbKd/?taken-by=hp,Beat those January blues and brighten up your workspace using the HP Sprocket.,2018-01-17T23:00:31.000Z
11515,1947,video,8,https://www.instagram.com/p/BeG89LRlV8F/?taken-by=hp,@amandajanejones makes any place feel like home with prints from her HP ENVY Photo printer. #ReinventMemories,2018-01-18T23:06:54.000Z
na,6474,image,53,https://www.instagram.com/p/BeRQVimFgcz/?taken-by=hp,"Make fun a bigger deal. Customize 30% bigger prints from your 📱 with the new slim-design HP Sprocket Plus — anytime, anywhere.",2018-01-22T23:07:55.000Z
na,4071,image,25,https://www.instagram.com/p/BeT0PQPFhZ9/?taken-by=hp,Trying to keep your 2018 New Year's goals alive? The HP Spectre x360 is here to help - @gypsytan used her device to pay it forward and #ReinventGiving!,2018-01-23T23:00:06.000Z
