views,likes,media,comments,url,caption
na,"4,308",image,23,https://www.instagram.com/p/BgW6xmQHoG7/?taken-by=htc,"Push the boundaries and never say impossible. With @HTCVIVE, there are no limits."
na,"9,669",image,46,https://www.instagram.com/p/BgY3JVOnEvO/?taken-by=htc,"Wallpapers give your HTC it's own unique character, making it truly yours. Let's see how you've personalized yours."
na,"6,136",image,22,https://www.instagram.com/p/BgbdD6Qnvtk/?taken-by=htc,@hartisan takes us from ingredients to meal in 3 steps. #ShotOnHTC
na,29.4k,image,460,https://www.instagram.com/p/BgihLnkH4_8/?taken-by=htc,Introducing the new Desire 12 & Desire 12+. Two 18:9 phones that are big to see and small to hold.
na,16.5k,image,127,https://www.instagram.com/p/Bgoam74nLXf/?taken-by=htc,Happy Throwback Thursday to the 5.5'' HTC Desire 826.
na,16.5k,image,90,https://www.instagram.com/p/BgrvZLNH2Gc/?taken-by=htc,"Feels smaller in your hand, but it has even more squeezed in. The HTC U11+ takes style and substance to the next level."
na,"6,538",image,14,https://www.instagram.com/p/BguUQYTHNWI/?taken-by=htc,When you're looking up down under. This photo of Coop's Shot Tower in Melbourne was taken by @lahamkooh on his HTC U11. #ShotonHTC
na,15.4k,image,79,https://www.instagram.com/p/Bgy0ufyHEzH/?taken-by=htc,"With the Translucent Black HTC U11+, we pushed the limits of design to give you a phone that looks good inside and out. #HTCU11Plus"
na,10.7k,image,66,https://www.instagram.com/p/Bg1MdNjnlHd/?taken-by=htc,"Since we packed in a MicroSD card slot on the HTC U11, it's easy to upgrade your space if your apps get a little crazy."
na,"7,747",image,45,https://www.instagram.com/p/Bg3u9D8nwx1/?taken-by=htc,"With a bigger screen on a smaller device, watching movies and playing epic games is better on the HTC U11+. #HTCU11Plus"
na,20.1k,image,205,https://www.instagram.com/p/Bg6_PcmH0PV/?taken-by=htc,The HTC Desire 12+ dressed in Royal Gold? Eye candy. 👀🍭 #HTCDesire12Plus
na,"9,546",image,56,https://www.instagram.com/p/Bg_eOoYHrYH/?taken-by=htc,"The HTC Desire 12+ is big to see but small hold. You'll love the way it feels in your hand.

#HTCDesire12Plus"
10.2k,na,video,13,https://www.instagram.com/p/Bf010_enN8N/?taken-by=htc,Are you ready? @readyplayerone is heading to SXSW! Explore the #ReadyPlayerOne Experience with @htcvive VR and step into the OASIS March 9-11.
na,10k,image,33,https://www.instagram.com/p/Bf1NjLoHqCG/?taken-by=htc,All it takes is one squeeze to fall in love with the #HTCU11life.
na,"6,998",image,17,https://www.instagram.com/p/Bf3W-7jn5gy/?taken-by=htc,Always a take a second to look up and see the world from a different perspective. #ShotonHTC
na,11k,image,101,https://www.instagram.com/p/Bf82mWrnqeV/?taken-by=htc,A simpler way to get to your favorite apps & features. Just squeeze to get started with Edge Launcher on the HTC U11+. #HTCU11Plus
na,16.1k,image,121,https://www.instagram.com/p/Bf_KLraHmrT/?taken-by=htc,"With the Solar Red #HTCU11, you'll always have the beauty and the beast."
na,"8,944",image,63,https://www.instagram.com/p/BgCDIVIntAC/?taken-by=htc,"With noise-cancellation and audio-tuned to you, you'll love what you hear from HTC USonic earbuds."
na,"4,186",image,29,https://www.instagram.com/p/BgE5d5hHBJc/?taken-by=htc,"Happy International Women's Day to all the strong, brave, caring, sassy inspirational ladies in your life past, present and future💃 And a shout out to our very own HTC leader Cher Wang today ✊

#boss #IWD2018"
na,10.8k,image,57,https://www.instagram.com/p/BgHBZWdH3fQ/?taken-by=htc,"Continuing our liquid surface design philosophy, the #HTCU11life was designed to look good in every room you go."
na,"8,313",image,97,https://www.instagram.com/p/BgHeX1yHpXA/?taken-by=htc,"With much faster data speeds and lower latency, 5G will transform what you know about your smartphone, says HTC Chairwoman Cher Wang."
na,"7,997",image,61,https://www.instagram.com/p/BgOkVNdnN5G/?taken-by=htc,"More power. More immersion. More truly incredible experiences.

Yes, VR fans—you should be very excited about the next generation of wireless technology."
na,15.2k,image,108,https://www.instagram.com/p/BgTxy1bBR8-/?taken-by=htc,Get a stunning look into soul of the Translucent Black HTC U11+. #HTCU11Plus
na,18.8k,image,173,https://www.instagram.com/p/BgWR7p8H2LS/?taken-by=htc,"Always looking good, always feeling good with the Camellia Red HTC 10. #ThrowbackThursday"
na,12.7k,image,72,https://www.instagram.com/p/BfGnAtSH7yt/?taken-by=htc,A style like no other out there. The Translucent Black HTC U11+ stands out everywhere you go. #HTCU11Plus
na,14.1k,image,138,https://www.instagram.com/p/BfLvJtWHVNO/?taken-by=htc,"True love can be between a person and a phone, right?"
na,"4,619",image,30,https://www.instagram.com/p/BfO1Ug7nSny/?taken-by=htc,Happy Chinese New Year! Wishing all of you (and your furry friends) a very prosperous year! 🐶#YearOfTheDog
na,"6,396",image,38,https://www.instagram.com/p/BfTaoG4nvJn/?taken-by=htc,Sapphire Blue for you. #HTCU11life
na,"6,495",image,21,https://www.instagram.com/p/BfWhs4cnx58/?taken-by=htc,Symmetry can help make a good photo great. Another awesome shot from Massimiliano A. #ShotOnHTC
na,16.6k,image,93,https://www.instagram.com/p/BfbEKw-HAeY/?taken-by=htc,"For those who always want an inside look, there is the Translucent Black HTC U11+. #HTCU11Plus"
na,22.4k,image,613,https://www.instagram.com/p/BfdyuOyn7Ga/?taken-by=htc,The #HTCU11 in 5 stunning colors. Which is your favorite?
na,11.7k,image,96,https://www.instagram.com/p/BfgT7ZgHK8Z/?taken-by=htc,Always stunning—the Amazing Silver HTC U11+. #HTCU11Plus
na,"6,086",image,32,https://www.instagram.com/p/Bfi_sT8H9IC/?taken-by=htc,Premium style doesn't have to put a squeeze on your wallet. #HTCU11life
