views,likes,media,comments,url,caption
106k,na,video,518,https://www.instagram.com/p/Bg1AMiSBSfu/?taken-by=huaweimobile,Meet the new #HuaweiP20. Fusing art and design with advanced mobile technology to offer a revolutionary professional photography experience. What will you shoot first? #SeeMooore #OOO
54.3k,na,video,124,https://www.instagram.com/p/Bg1BeDlB62X/?taken-by=huaweimobile,"Pick a colour palette for next season. No matter your style tribe, we have a #HuaweiP20 to match. #SeeMooore #OOO"
90.1k,na,video,352,https://www.instagram.com/p/Bg1CcXiBMfl/?taken-by=huaweimobile,"3,2,1… Snap! The NEW #HuaweiP20Pro with revolutionary Leica Triple Camera turns quick pics into highly defined works of art. Put a professional camera into your back pocket. #SeeMooore #OOO"
32.4k,na,video,46,https://www.instagram.com/p/Bg1P3j9hTEY/?taken-by=huaweimobile,"Unrivalled technical expertise combines with premium materials, and the choice between 256 or 512 GB of internal storage. With the #PorscheDesign #HuaweiMateRS there’s room for both business and pleasure. #DiscoverExceptional"
38.5k,na,video,47,https://www.instagram.com/p/Bg1QB6fhf9j/?taken-by=huaweimobile,Life in the fast lane. Wake up your #PorscheDesign #HuaweiMateRS by hovering your finger over the display. Unlock with lightning speed using the World’s First Dual fingerprint scanner. #DiscoverExceptional
19.2k,na,video,29,https://www.instagram.com/p/Bg1Qjq_BWFq/?taken-by=huaweimobile,"A personal assistant in your pocket. With an advanced AI processor, the #PorscheDesign #HuaweiMateRS is able to tailor performance and intuitively predict tasks. #DiscoverExceptional"
17.9k,na,video,26,https://www.instagram.com/p/Bg1Q0iKBmij/?taken-by=huaweimobile,Sublime and symmetrical. The #PorscheDesign #HuaweiMateRS comes equipped with a Leica Triple Camera for extraordinary photographs.  #DiscoverExceptional and experience the difference.
na,"6,434",image,13,https://www.instagram.com/p/Bg1Q-geBLiB/?taken-by=huaweimobile,"Precision and perfection, we’ve partnered with #PorscheDesign for the #HuaweiMateRS. It’s time to #DiscoverExceptional"
14.2k,na,video,13,https://www.instagram.com/p/Bg1Rhr3hVBd/?taken-by=huaweimobile,"A new level in luxury. Designed for our most discerning customer, the  #PorscheDesign #HuaweiMateRS merges breakthrough technology and expert craftmanship. #DiscoverExceptional"
21.7k,na,video,22,https://www.instagram.com/p/Bg1Ro-nBoSP/?taken-by=huaweimobile,Exceptional performance. An industry-leading all day battery and wireless quick-charging mean the #PorscheDesign #HuaweiMateRS can power through the busiest of days. #DiscoverExceptional
31.4k,na,video,21,https://www.instagram.com/p/Bg1RyhjhR3A/?taken-by=huaweimobile,"Inspired by the iconic Porsche 911 GT3 RS, the #PorscheDesign #HuaweiMateRS is a study in minimalist, linear design. #DiscoverExceptional"
73.2k,na,video,181,https://www.instagram.com/p/Bg1R2qkBzQr/?taken-by=huaweimobile,Elevate the everyday with the #PorscheDesign #HuaweiMateRS. A seamless transition from glass body to frame with an 8 edge 3D curved design. #DiscoverExceptional
24.9k,na,video,91,https://www.instagram.com/p/BgRJizIBfKB/?taken-by=huaweimobile,Getting the big and clear picture has never been easier. #SeeMooore with #HuaweiP20.
19.8k,na,video,88,https://www.instagram.com/p/BgRSEPgBxn8/?taken-by=huaweimobile,A light studio in the palm of your hand… for a portrait that radiates. #SeeMooore with #HuaweiP20.
17.5k,na,video,38,https://www.instagram.com/p/BgV-VoWhzo_/?taken-by=huaweimobile,Work it without working. Be a master of photography without restrictions. #SeeMooore with #HuaweiP20
14.4k,na,video,42,https://www.instagram.com/p/BgWXDz2hlDg/?taken-by=huaweimobile,The fastest way to snap the perfect pic. Nothing required but your reflexes. #SeeMooore with #HuaweiP20.
28.6k,na,video,70,https://www.instagram.com/p/Bgd-uvQBg-S/?taken-by=huaweimobile,Illuminate your creativity. Are you seeing triple? #SeeMooore of life with the new #LeicaCamera. Coming soon… #HuaweiP20
26k,na,video,36,https://www.instagram.com/p/BgjMIu_B44U/?taken-by=huaweimobile,Step into the frame. Ready to light up your life? Join us LIVE from Paris at 15:00 CEST 27.03.18. Follow the link in our bio to #SeeMooore. #HuaweiP20
19.5k,na,video,77,https://www.instagram.com/p/BgoSxApBnJz/?taken-by=huaweimobile,Slow down and embrace the moment. We're five days away from the big reveal. #SeeMooore with #HuaweiP20.
20.5k,na,video,68,https://www.instagram.com/p/Bgq3EQtFm1c/?taken-by=huaweimobile,"Me, myself and AI. Only four days until you can show your best self. #SeeMooore #HuaweiP20 27.03.18"
