views,likes,media,comments,url,caption,post_datetime
na,2144,image,25,https://www.instagram.com/p/BPEsRl5g78D/?taken-by=leecoindia,"Stay entertained, whenever, wherever. The Le 2 64GB, enough space to store all your favourite games, movies & music! Buy it today <link in bio>

#Le2 #ecophone #Le2OnSnapdeal #android #instagood",2017-01-10T06:11:00.000Z
na,1998,image,14,https://www.instagram.com/p/BPJzqk7gyZV/?taken-by=leecoindia,"Point. Shoot. Store. Repeat. With the Le 2 64GB, you'll never have to delete the best moments in your life. Get yours today <link in bio> #le2 #le2onsnapdeal #ecophone",2017-01-12T05:51:47.000Z
na,1482,image,7,https://www.instagram.com/p/BPO-Xi8gz3T/?taken-by=leecoindia,"Pongal, Sankranthi, Uttarayana, Maghi, Bihu - whatever you choose to call it, we wish you, your friends and family a wonderful day!",2017-01-14T06:01:30.000Z
na,2393,image,24,https://www.instagram.com/p/BPWq8XcAgUy/?taken-by=leecoindia,"Music, apps, games, selfies and more. With the Le 2 64GB, store, download, click as much as you please. Get it today <link in bio> #Le2 #le2onsnapdeal #ecophone",2017-01-17T05:45:42.000Z
na,3081,image,59,https://www.instagram.com/p/BPxBz_HAgn_/?taken-by=leecoindia,"16MP rear camera, Type-C fast charge, CDLA, Qualcomm® Snapdragon™ 652 processor - a perfect combination of unparalleled performance, aesthetic design and future-ready technology. Get your Le 2 today on Snapdeal!
<link in bio>
#Le2 #Le2onSnapdeal #ecophone #snapdeal #android #instagood",2017-01-27T11:25:47.000Z
na,2586,image,78,https://www.instagram.com/p/BQkv49AA5QF/?taken-by=leecoindia,"It's 2017, time you moved up to an #ecophone! Avail of exciting exchange offers on the Le 2 32GB & the Le Max2. Buy yours today <link in bio> #SnapdealExchangeFest",2017-02-16T13:29:41.000Z
na,1576,image,12,https://www.instagram.com/p/BRX24WYjuFS/?taken-by=leecoindia,Happy Women's Day!,2017-03-08T09:52:02.000Z
na,1560,image,14,https://www.instagram.com/p/BRkf5FdDH_0/?taken-by=leecoindia,"Celebrate love, frolic and colours! #HappyHoli",2017-03-13T07:41:17.000Z
na,1963,image,17,https://www.instagram.com/p/BRpnn8lD72F/?taken-by=leecoindia,Best-in-class sound quality coming soon to #PowerYourWorld!,2017-03-15T07:25:03.000Z
na,1546,image,16,https://www.instagram.com/p/BR2OG-Wjeyb/?taken-by=leecoindia,Redefining luxury entertainment #Super4X50Pro #3D,2017-03-20T04:52:13.000Z
