views,likes,media,comments,url,caption
na,"3,931",image,37,https://www.instagram.com/p/BfuN8BZnw5S/?taken-by=lenovo,The new Yoga 730. So artful. #LenovoMWC #MWC18 #MWC
na,"3,511",image,21,https://www.instagram.com/p/BfwAYjeHSSf/?taken-by=lenovo,"More scenes from the Lenovo booth at Mobile World Congress. We're here showing off Moto phones, Yoga laptops, Mirage Solo VR headsets and tons more. #LenovoMWC #MWC18 #MWC"
na,"2,816",image,13,https://www.instagram.com/p/Bfw_-H0nNf-/?taken-by=lenovo,Barcelona does this to everyone. Heading into our final day at #MWC18 and still having a blast. #LenovoMWC #Barcelona #Catalonia #architecture
na,"3,943",image,30,https://www.instagram.com/p/BfykaAun9L0/?taken-by=lenovo,It's true. (Pictured: Moto Z2 smartphone with projector Moto Mod.) #LenovoMWC #MWC18 #MWC #hellomoto
na,"3,456",image,20,https://www.instagram.com/p/BfzoE8_HX_r/?taken-by=lenovo,"Barcelona, it's been great. See you next year. #LenovoMWC over and out."
28.3k,na,video,38,https://www.instagram.com/p/BgD-rZqH85K/?taken-by=lenovo,We believe in the importance of finding your own voice--@Sophie_Roach does it every day with her art. How will you leave your mark on the world and who has inspired you along the way? #IWD2018
na,"4,974",image,31,https://www.instagram.com/p/BgM2RzUHH13/?taken-by=lenovo,What our designers do in their spare time. Pretty crafty.
na,"4,882",image,27,https://www.instagram.com/p/BgWGfcZn4h0/?taken-by=lenovo,"When the ideas start to flow, great things happen."
na,"6,066",image,49,https://www.instagram.com/p/BgjN--FHm0g/?taken-by=lenovo,"ThinkPad: lovingly abused since 1992. (We figure if it can handle our lab tests, it can handle whatever you throw at it.)"
na,"3,486",image,31,https://www.instagram.com/p/Bgq9CEbnL5H/?taken-by=lenovo,Bonding over a shared love of excellence in design & performance. We just kicked off a global multi-year #F1 partnership with @scuderiaferrari.
na,"6,020",image,58,https://www.instagram.com/p/BgypkIWnizj/?taken-by=lenovo,Office floor geometry. #lego #math #stem #art #uglycarpetsofinstagram
na,"4,775",image,20,https://www.instagram.com/p/Bg_Oz6SnoOU/?taken-by=lenovo,Say what you will about us—we take our egg-crafting veeeery seriously. #HappyEaster #Easter #Eggs #Art #GeneralChicanery
na,"3,349",image,17,https://www.instagram.com/p/BenPxiUnf5X/?taken-by=lenovo,En garde! #miragesolo #VR
na,13.6k,image,118,https://www.instagram.com/p/BesZ0r9HQsk/?taken-by=lenovo,Qwerty for life. #MotoMods @motorolaus
na,"3,021",image,17,https://www.instagram.com/p/BevPhW_nz3P/?taken-by=lenovo,Weekend vibes. (📷: moto z2 force) @_finley_doodle
na,"2,551",image,17,https://www.instagram.com/p/Be0JaadH_nv/?taken-by=lenovo,Charging in style.
