views,likes,media,comments,url,caption
na,15.8k,image,74,https://www.instagram.com/p/Bfc_KLkBmGY/?taken-by=lgmobileglobal,The 2018 version of the #LGV30's AI feature will turn beautiful nature into breathtaking photography - stay tuned for MWC 2018 for details!
na,24.4k,image,66,https://www.instagram.com/p/BffkFixBLUr/?taken-by=lgmobileglobal,Wonder how the 2018 version of the #LGV30 helps to take appetizing shot? Find the answers from the AI feature unveiling on February 26th.
na,"2,503",image,8,https://www.instagram.com/p/BfpmxFcBt7-/?taken-by=lgmobileglobal,The 2018 version of the #LGV30 #AI knows the cutest angle for your pet. Wait for the magic on February 26th.
na,21.7k,image,80,https://www.instagram.com/p/BfuzAMUBUaF/?taken-by=lgmobileglobal,The smartphone just got smarter. Discover the #LGV30SThinQ at Mobile World Congress 2018!
270k,na,video,119,https://www.instagram.com/p/Bfz8kdnBfDh/?taken-by=lgmobileglobal,"The #AICAM understands your world, making photos into artworks. Discover it with the #LGV30SThinQ, the smartphone with #AI technology."
na,30.9k,image,240,https://www.instagram.com/p/Bf7q9uKBiRX/?taken-by=lgmobileglobal,The ideal color to carry the refined beauty of the #LGV30SThinQ. #NewPlatinumGray #NewMoroccanBlue
na,14.6k,image,51,https://www.instagram.com/p/BgA0X7NBPLS/?taken-by=lgmobileglobal,"Never miss a beat with the crisp, clear sound of the #HiFiQuadDAC of the #LGV30SThinQ."
na,17.6k,image,95,https://www.instagram.com/p/BgF-JKShGrR/?taken-by=lgmobileglobal,"Take perfect photos, even in the dark. #LGV30SThinQ #BrightMode"
na,32.6k,image,133,https://www.instagram.com/p/BgNshX6gTD0/?taken-by=lgmobileglobal,Open the new world of #AI. The #QLens of the #LGV30SThinQ is out to change your life.
195k,na,video,94,https://www.instagram.com/p/BgS33dMBdJL/?taken-by=lgmobileglobal,"With #LGV30SThinQ’s #QLens, capturing means searching – it provides similar product information utilizing smart image recognition."
165k,na,video,84,https://www.instagram.com/p/BgX_kNjhSS0/?taken-by=lgmobileglobal,Find the exact one at first sight. #LGV30SThinQ #QLens
"9,563",na,video,50,https://www.instagram.com/p/BgfuAN4hqzW/?taken-by=lgmobileglobal,"A wider, fuller screen is what you need to show everything you’ve got. #LGG6 #FullVisionDisplay #WideAngleCamera"
na,"6,109",image,56,https://www.instagram.com/p/BeUr41pBvcf/?taken-by=lgmobileglobal,"With the #LGV30 #FloatingBar, your favorite apps are now even easier to access.
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
na,21.1k,image,67,https://www.instagram.com/p/BeZ1SuBB7tk/?taken-by=lgmobileglobal,"Experience the unforgettable sound quality. #LGV30
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
na,"8,638",image,31,https://www.instagram.com/p/BehjZdRhUgQ/?taken-by=lgmobileglobal,"Get up close for special moments with #LGV30’s #PointZoom.
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
na,28.4k,image,49,https://www.instagram.com/p/Bems0vihpG8/?taken-by=lgmobileglobal,"#LGV30 helps capture the greatest moments.
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
162k,na,video,71,https://www.instagram.com/p/Ber2s5ahRS_/?taken-by=lgmobileglobal,"Much easier access to your joy made with #FloatingBar of the #LGV30.
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
301k,na,video,70,https://www.instagram.com/p/BexANgJhe2_/?taken-by=lgmobileglobal,"Dance to a whole new rhythm with the #LGV30 #QuickVideoEditor.
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
na,19.6k,image,122,https://www.instagram.com/p/Bezk-8TBNyp/?taken-by=lgmobileglobal,"A special gift from us to you this Valentine’s Day – the #LGV30 in #RaspberryRose!
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
na,15k,image,165,https://www.instagram.com/p/Be4uqdABTUK/?taken-by=lgmobileglobal,"V is for Valentine. #LGV30 #RaspberryRose
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
na,16.3k,image,89,https://www.instagram.com/p/Be94DqlhB0_/?taken-by=lgmobileglobal,"All you need for the perfect Valentine’s Day: chocolate, flowers, and the #LGV30 #RaspberryRose.
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
na,20k,image,141,https://www.instagram.com/p/BfFmbalhIC7/?taken-by=lgmobileglobal,"Would you V my Valentine? #LGV30 #RaspberryRose
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
141k,na,video,104,https://www.instagram.com/p/BfKwGRUBzfY/?taken-by=lgmobileglobal,"Celebrate every beautiful moment of Valentine’s Day with the #LGV30 #RaspberryRose.
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
na,17.4k,image,51,https://www.instagram.com/p/BfKwrcJhVuW/?taken-by=lgmobileglobal,"Life is rosy with the #LGV30 #RaspberryRose.
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
na,"6,911",image,56,https://www.instagram.com/p/BdMk6MthHwI/?taken-by=lgmobileglobal,"A colorful selection to suit your taste. #LGV30.
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
na,"3,518",image,27,https://www.instagram.com/p/BdRunYVBNrC/?taken-by=lgmobileglobal,"Make it a December to remember with the #LGV30.
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
na,"6,412",image,32,https://www.instagram.com/p/BdZc6GjBXz3/?taken-by=lgmobileglobal,"Capture your new year in full with the #LGV30 #OLEDFullVision.
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
na,"4,497",image,23,https://www.instagram.com/p/BdemmwJB8Rr/?taken-by=lgmobileglobal,"Keep the best moments of your life as they happen with the #LGV30 #HiFiVideoRecording.
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
162k,na,video,171,https://www.instagram.com/p/Bdjw3R9hatx/?taken-by=lgmobileglobal,"Taking selfie is easier than ever thanks to the #LGV30 #FrontWideAngleCamera.
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
na,"3,953",image,31,https://www.instagram.com/p/Bdrh-j4BmeJ/?taken-by=lgmobileglobal,"#LGV30 - the smartphone you can unlock by being yourself.
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
21k,na,video,23,https://www.instagram.com/p/BdwoSbPBBGR/?taken-by=lgmobileglobal,"Here’s to the #LGV30!
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
12.1k,na,video,38,https://www.instagram.com/p/Bd1yPRvh_PR/?taken-by=lgmobileglobal,"Literally, can't take my eyes off you. #LGV30 #PointZoom
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
na,"4,030",image,17,https://www.instagram.com/p/Bd9gpZoBZqa/?taken-by=lgmobileglobal,"Make your daily life into a movie with the #LGV30’s Cine Video Mode.
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
na,"6,129",image,26,https://www.instagram.com/p/BeCpwyzhPNC/?taken-by=lgmobileglobal,"You already know that it is delicious! #LGV30
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
"9,233",na,video,28,https://www.instagram.com/p/BeHzCZdhXxH/?taken-by=lgmobileglobal,"So good it’s unreal – #LGV30 #OLEDdisplay.
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
na,"4,695",image,27,https://www.instagram.com/p/BePh6WWBvzt/?taken-by=lgmobileglobal,"Wide enough to fully capture your happiest moments. #LGV30 #WideAngleCamera
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
na,11.4k,image,78,https://www.instagram.com/p/BcEewIShyq9/?taken-by=lgmobileglobal,"Hole up it’s December already? #LGV30
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
na,"2,462",image,18,https://www.instagram.com/p/BcJoibHhUDq/?taken-by=lgmobileglobal,"Travel to the stars and beyond with the #LGV30.
@graphy.official
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
"8,527",na,video,8,https://www.instagram.com/p/BcRW1QfBu8v/?taken-by=lgmobileglobal,"I promise to share my success, but especially my failures.
Be real, be YOU. #LGV30.
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
na,"6,540",image,35,https://www.instagram.com/p/BcWgZK-hI9e/?taken-by=lgmobileglobal,"Knock your socks off. #LGV30.
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
na,"2,330",image,20,https://www.instagram.com/p/BcbqD8uBJ5v/?taken-by=lgmobileglobal,"Glimpses of New York captured by the #LGV30. See more @graphy.official
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
na,"7,373",image,50,https://www.instagram.com/p/BcjYQISh15E/?taken-by=lgmobileglobal,"The #LGV30 and B&O PLAY – for all true music lovers.
*Release date, specs, and back cover logo of the LG V30 may vary by country.
*OLED FullVision by LG Display"
