views,likes,media,comments,url,caption
862,na,video,5,https://www.instagram.com/p/BZTL-8el5jt/?taken-by=micromax_mobile,Elevate your movie-watching experience with the Micromax 42” Full HD LED TV! #OnlyOnTheBigBillionDays on @flipkart at a throwaway price.
na,389,image,5,https://www.instagram.com/p/BaWEJuQFKfP/?taken-by=micromax_mobile,"Be the light and capture the lights. #DiwaliIdeas
Low light photography made easy with Dual 5."
802,na,video,0,https://www.instagram.com/p/BawFIqnDe4n/?taken-by=micromax_mobile,"#MTVDropout- every Saturday at 8pm!

#Repost @mtvindia ・・・
Books chhodiye, startup ke funde sikhayenge yeh professors! Today’s lesson is ‘First Mover Advantage.’ Learn more of this only on #MTVDropout every Saturday at 8 PM! @micromax_mobile
@letsdroom @gilletteinida"
na,366,image,9,https://www.instagram.com/p/Ba6JBcxjavT/?taken-by=micromax_mobile,"Cupcakes for the entire Micromax family, because why not, we have a little new member to celebrate. Congratulations @simply.asin and Rahul Sharma."
"2,560",na,video,27,https://www.instagram.com/p/BbbSmoLDHca/?taken-by=micromax_mobile,Dual Power. Dual Fun. Re-imagine your selfies like never before. #ComingSoon
na,"1,286",image,26,https://www.instagram.com/p/BcKbDDWDTNC/?taken-by=micromax_mobile,Presenting Bharat 5 - #BharatKaSmartphone
na,957,image,28,https://www.instagram.com/p/BcSNWp9jkSd/?taken-by=micromax_mobile,"Say hello to infinitely better selfies, with the all-new #CanvasInfinityPro. It's time to give your selfie the power of infinity! Know more : http://bit.ly/2jdJ8q9"
"2,190",na,video,7,https://www.instagram.com/p/BcZIFZ6DFxi/?taken-by=micromax_mobile,"It is time to slay at selfies, with the 20+8 MP Dual Front Camera on the #CanvasInfinityPro. The power of infinity, now for the perfect selfie!
Buy now: http://bit.ly/2Ai9u4Q"
"1,106",na,video,3,https://www.instagram.com/p/BdG0v5SD5EO/?taken-by=micromax_mobile,"The festive season is family time! So #Switchoff, and stay connected with the ones you love. #MerryChristmas"
"2,847",na,video,13,https://www.instagram.com/p/BdZQEvIDWhv/?taken-by=micromax_mobile,"This year, #SwitchOff from the virtual, and #SwitchIn to what matters. Micromax wishes you a very #HappyNewYear 2018."
na,"1,097",image,12,https://www.instagram.com/p/Bd66fknDgAN/?taken-by=micromax_mobile,"Micromax T5 Racing Team qualifys for F1 in Schools program! 
Samarth and his team are participating in the F1 in schools National finals and have made it to the knock-outs! 
Please support the team ""Micromax T5 Racing Team"" by following their instagram- @micromax_t5_racingteam and Facebook pages and visit their website. 
#F1 #MicromaxT5Racing #f1racing #racingteam"
"1,094",na,video,8,https://www.instagram.com/p/BeZjjAIjTg7/?taken-by=micromax_mobile,To a nation that is nothing like anything! #HappyRepublicDay
na,325,image,3,https://www.instagram.com/p/BYz45VPlbck/?taken-by=micromax_mobile,"Upgrade how you see the world with the #CanvasInfinity. #ExpandYourView. Next sale coming soon, only on @amazondotin 
Register now: http://amzn.to/2vU2KpH"
na,219,image,1,https://www.instagram.com/p/BY0wwR2lcdg/?taken-by=micromax_mobile,Stay fresh with turbo cooling on your #MicromaxAC! https://goo.gl/Vb59no
na,345,image,9,https://www.instagram.com/p/BY5RrRGl5jh/?taken-by=micromax_mobile,"Widen your horizon with the 18:9 aspect ratio and Full Vision Display on the #CanvasInfinity. #ExpandYourView
Next sale on September 15, only on Amazon India. 
Register now: http://amzn.to/2vU2KpHT"
559,na,video,2,https://www.instagram.com/p/BY8XA_jFIkg/?taken-by=micromax_mobile,Upgrade your viewing experience with the wide range of LED TVs from #Micromax
na,296,image,6,https://www.instagram.com/p/BY-fVQYlcty/?taken-by=micromax_mobile,"Seeing is believing, and nothing sees better than the dual cameras on the #EvokeDualNote! #PixelPerfectLife 
Buy now on @flipkart : http://bit.ly/2wZBrZM"
na,389,image,4,https://www.instagram.com/p/BY_ASnmFcIT/?taken-by=micromax_mobile,"It's time to #ExpandYourView with Full Vision Display on the #CanvasInfinity.
Next sale on September 15, only on @amazondotin 
Register now: http://amzn.to/2vU2KpH"
na,242,image,6,https://www.instagram.com/p/BZBap8XlPOn/?taken-by=micromax_mobile,"अपना स्मार्टफ़ोन, अपनी भाषा में-माइक्रोमैक्स फ़ोन, 22 भाषाओं के सपोर्ट के साथ। #HindiDay"
na,437,image,22,https://www.instagram.com/p/BZDPcZolMFv/?taken-by=micromax_mobile,"It's time! The #CanvasInfinity goes on sale today, exclusively on @amazondotin 
http://amzn.to/2vU2KpH"
na,359,image,1,https://www.instagram.com/p/BZEKkI0Fi05/?taken-by=micromax_mobile,"13MP +5MP dual rear camera, 5.5” Full HD screen. It doesn’t get much better than the #EvokDualNote.
Buy now on @flipkart : 
bit.ly/2wZBrZM"
na,653,image,16,https://www.instagram.com/p/BZFxOvtlBuc/?taken-by=micromax_mobile,The showstopper is here! Are you in love with black? #Canvas1. goo.gl/sFKNNn
na,255,image,1,https://www.instagram.com/p/BZGfTFylH_e/?taken-by=micromax_mobile,Turbo-cooling and energy savings – a breath of fresh air! #MicromaxAC. https://goo.gl/Vb59no
na,391,image,6,https://www.instagram.com/p/BZIaKsxlu5h/?taken-by=micromax_mobile,No more washed out selfies! Start the soft-flash revolution with your #Selfie2! http://bit.ly/2yeLkmY
