views,likes,media,comments,url,caption
32.9k,na,video,100,https://www.instagram.com/p/BeQaayxHdYQ/?taken-by=microsoft,Tomorrow’s leaders are sitting in today’s classrooms. We're taking big steps to help prepare them for the digital future as we roll out six new augmented reality and virtual reality applications developed in partnership with Pearson.
na,13.8k,image,83,https://www.instagram.com/p/BelkO3rngeh/?taken-by=microsoft,"After winning the 15th annual #ImagineCup last summer, Team X.Glu participated in a mentoring session with Microsoft CEO Satya Nadella to discuss their project: a device that makes diabetes management easier and more accessible."
na,17.6k,image,93,https://www.instagram.com/p/Betuf7ZH1EY/?taken-by=microsoft,"We partnered with six NFL superstars, including @LarryFitzgerald, to share powerful stories of how they are working to make an impact in their local communities. The Larry Fitzgerald First Down Fund was established to help kids and their families by funding positive activities for kids during the summer and throughout the year, supporting kids and families in crisis, and supporting health-related organizations that work with families.

Learn more by clicking the link in our bio."
na,46.9k,image,414,https://www.instagram.com/p/Be6P9cYn43L/?taken-by=microsoft,"The future of artificial intelligence is huge. To make sure we can grasp it, Microsoft researchers are developing a new class of machine learning tools to embed #AI onto breadcrumb-sized computer processors. 📷: Dan DeLong"
29k,na,video,65,https://www.instagram.com/p/Bfbdm6dnaMA/?taken-by=microsoft,"When Hurricane Maria struck Puerto Rico, Microsoft employees stepped in to map the island to aid recovery efforts. 
Learn more about our philanthropic work by clicking the link in our bio."
na,14.4k,image,52,https://www.instagram.com/p/BfjIEiYnMR6/?taken-by=microsoft,"Behind the scenes at Bloom: Open Space, a new mixed reality art installation from Brian Eno and Peter Chilvers that blurs the lines between physical and virtual worlds."
na,11.7k,image,77,https://www.instagram.com/p/Bfje5LAnxg7/?taken-by=microsoft,"""Technology sees no race. It sees no religion. It sees no socio-economic background. It's there for everyone, and I think that's a staple of inclusion."" As part of our Create Change Program, we teamed up with NFL superstar @LarryFitzgerald in his efforts to bridge the digital divide and give more students access to opportunity-boosting technology. Learn more about the cause by clicking the link in our bio."
na,12.7k,image,41,https://www.instagram.com/p/Bftb7J_nMD-/?taken-by=microsoft,"Toni Townes-Whitley, our CVP of Industry, spoke at last week’s “Meet Our Leaders” event with Microsoft employees. She encouraged employees to be curious—to stop and reflect on where we are; to be aware of our own views and biases."
na,23.1k,image,129,https://www.instagram.com/p/Bfylbu8HahP/?taken-by=microsoft,Project Premonition aims to detect pathogens before they cause outbreaks. Microsoft researchers created this robotic mosquito trap which consists of 64 smart cells and captures interesting mosquitoes in milliseconds.
42.5k,na,video,136,https://www.instagram.com/p/Bf_bYkNnB6z/?taken-by=microsoft,"It’s not about what technology can do. It’s about what you can do with it. 
We’re celebrating those who use AI to drive innovation."
na,14.6k,image,75,https://www.instagram.com/p/BgPavVUn14h/?taken-by=microsoft,"In just one year, Microsoft Teams has become the go-to collaboration tool for Macy's, NASCAR, General Motors and more. Today, we’re saying congrats to the team behind Teams with a cupcake (or two)."
na,23.2k,image,107,https://www.instagram.com/p/BgWk-XDn82l/?taken-by=microsoft,We collaborated with UW's Molecular Information Systems Lab to break the world record for the amount of digital data successfully stored and retrieved in DNA molecules. Here's our digital microfluidics automated DNA data-storage prototype. (Say that five times fast 😉🤓)
24.2k,na,video,54,https://www.instagram.com/p/BbkQOjzniyy/?taken-by=microsoft,@YuwaIndia is using soccer and education to help girls in India become voices of change in their communities and beyond. Learn how Microsoft Edge helped bring a 360° story the girls created themselves to life by clicking the link in our bio.
na,10k,image,68,https://www.instagram.com/p/Bbuw5wsnJ-7/?taken-by=microsoft,"At Deschutes Brewery in Oregon, craft beer is brewed with data and has distinct notes of cloud. 🍺 Pony up to the link in our bio to watch the latest episode of Work Reworked and learn more."
na,11.4k,image,81,https://www.instagram.com/p/BcBGdiGnaDt/?taken-by=microsoft,"Yuwa School was founded in 2009 as a way to empower girls in rural India through sport and education. Since then, students have gone on to tell their stories all around India and the world, speaking at TEDx, universities, professional conferences, awards events and the FIFA Women’s World Cup. Learn more about Yuwa School by clicking the link in our bio."
na,27.6k,image,249,https://www.instagram.com/p/BcEZRmHn6vr/?taken-by=microsoft,18 new buildings. 6.7 million square feet of workspace. A transportation infrastructure overhaul. New sports fields and more. Learn all about the future of our Redmond campus by clicking the link in our bio. #MicrosoftLife
na,"8,895",image,58,https://www.instagram.com/p/BcI-q1Kn2zY/?taken-by=microsoft,"“For them to be part of a community where they feel like they have worth is extremely powerful—it’s life-changing.” - Franz Gastler on the impact of his nonprofit, #Yuwa. Learn about our partnership with Franz and Yuwa by clicking the link in our bio."
na,15.7k,image,114,https://www.instagram.com/p/BcUvzalnjRc/?taken-by=microsoft,"The new Microsoft Silicon Valley campus will be the first tech campus with Net-Zero Water certification. Learn more about Microsoft's smartest, greenest office yet by clicking the link in our bio."
32.9k,na,video,122,https://www.instagram.com/p/Bchw87wHqzS/?taken-by=microsoft,Create a better world.
na,"7,223",image,61,https://www.instagram.com/p/BcmyxzbnPtU/?taken-by=microsoft,The Seattle @Seahawks' DeShawn Shead loves a challenge. Data and sports science helped him face recovery rehab head on. Learn more by clicking the link in our bio.
na,10.4k,image,99,https://www.instagram.com/p/BcsiKFlHCMH/?taken-by=microsoft,Microsoft Stores are selecting and granting wishes that make an impact. Learn how you can submit a holiday wish to the #MicrosoftWishMachine by clicking the link in our bio.
na,13.2k,image,182,https://www.instagram.com/p/BdBJsFIHIwU/?taken-by=microsoft,"Around the world, Microsoft is committed to creating technology that empowers people to achieve more. Swipe to see some of our most popular feature stories from 2017, including:
• @detroitwallpaper co-founders Andi Kubacki and Josh Young,
• The launch of CEO Satya Nadella’s #HitRefresh book,
• A partnership with L V Prasad Eye Institute to create Connected Eyes,
• Non-profit @yuwaindia's partnership with Microsoft Edge to help young girls in rural India,
• Our vision for what's next in education, illustrated by @heyheysu, and
• The launch of the world's most powerful console, #XboxOneX."
