views,likes,media,comments,url,caption
22.1k,na,video,66,https://www.instagram.com/p/BYyUPysBB_b/?taken-by=motorolaus,Cracked phone screens should no longer be a thing. Get a phone with a shatterproof screen. #motoz2 force edition #HelloMoto
na,759,image,15,https://www.instagram.com/p/BZEygWph5iq/?taken-by=motorolaus,Get professional-looking shots for the big game when you use dual cameras in the new moto z2. #hellomoto #motofoto
12.9k,na,video,42,https://www.instagram.com/p/BZPIa_iBD4B/?taken-by=motorolaus,A normal phone screen would shatter. But why would you want a normal phone. Get a #motoz2 with ShatterShield.
"6,421",na,video,3,https://www.instagram.com/p/BZkSCiRhesR/?taken-by=motorolaus,You know what this means: #ItsWSeason & the Chicago @Cubs are off to the playoffs. Boom. #FlyTheW #HelloCubs
"7,006",na,video,4,https://www.instagram.com/p/BZ4JOcGh8GR/?taken-by=motorolaus,"#ItsWSeason, so get ready for the playoffs by holding off on the ketchup. Chicago style is always in style. #FlyTheW #HelloCubs"
"6,578",na,video,7,https://www.instagram.com/p/BaLOXAWBBvj/?taken-by=motorolaus,"A win for the @cubs is a win for Chicago, and we’re all for that. #ItsWSeason #HelloCubs #FlyTheW"
"5,398",na,video,5,https://www.instagram.com/p/BaXOCYWBjuR/?taken-by=motorolaus,Lights are back on at Wrigley tonight – good luck Cubs! #ItsWSeason #HelloCubs #FlyTheW
"5,310",na,video,27,https://www.instagram.com/p/Baee1O7h4Gq/?taken-by=motorolaus,"Hats off to the Cubs. We might not have won, but they’re still first as far as we’re concerned. #HelloCubs #HelloMoto"
10.8k,na,video,51,https://www.instagram.com/p/BawSRHEg3iy/?taken-by=motorolaus,"Watch #StrangerThings on a 70” projection, all from your projector mod and #motoz2. Might be strange, but so are other things we love."
13.4k,na,video,161,https://www.instagram.com/p/Bbz29ejhVds/?taken-by=motorolaus,"Their better just got bested. Why settle for edge-to-edge, when you could project your screen up to 70”? #motoz #motomods"
12.4k,na,video,92,https://www.instagram.com/p/BcU0Spch7L2/?taken-by=motorolaus,All phones take pictures. But can your phone print a picture? Ours can.
12.2k,na,video,104,https://www.instagram.com/p/BckkD0pBJav/?taken-by=motorolaus,Having trouble getting your phone to connect to your speakers? Try connecting your speaker to your phone.
19.3k,na,video,44,https://www.instagram.com/p/BVA2H7QBVEz/?taken-by=motorolaus,It’s more of a camera on your phone with 10x optical zoom than a camera phone if we’re being honest.
"5,400",na,video,6,https://www.instagram.com/p/BVc4vExBoL6/?taken-by=motorolaus,Check out how @codymcentire says #hellomoto at the #dewtour.
14.5k,na,video,19,https://www.instagram.com/p/BV7SQNOhK4O/?taken-by=motorolaus,"What comes after a smartphone? Introducing the Moto Z² Play, the newest smarterphone."
"6,320",na,video,5,https://www.instagram.com/p/BWAfgOKB2qS/?taken-by=motorolaus,"This long weekend, turn up the sound of life on your #MotoZ with the JBL SoundBoost 2."
"7,321",na,video,8,https://www.instagram.com/p/BWf5D7ihHcb/?taken-by=motorolaus,"Chop, chop and light it up in style with Moto Experiences on the new Moto Z² Play."
"9,605",na,video,7,https://www.instagram.com/p/BWpogBLBL1C/?taken-by=motorolaus,Turn up the sound of life with Moto Z² Play and the JBL SoundBoost 2 Mod.
"6,859",na,video,6,https://www.instagram.com/p/BWu8e5qBSpl/?taken-by=motorolaus,Your selfie game just got better with this game-changing front-facing flash. Thank you Moto Z² Play.
