views,likes,media,comments,url,caption
na,"2,136",image,9,https://www.instagram.com/p/BU87gNkgkft/?taken-by=oppo_mobile,"So jealous of @daphnetely enjoying Kalanggaman Island!
Thanks for brining your #SelfieExpert #OPPOF3 with you!

Show us your best shots by adding #oppofanview and mentioning your OPPO model!"
na,"2,007",image,3,https://www.instagram.com/p/BVEtGw9AlH9/?taken-by=oppo_mobile,"We're in love with cozy interiors of cafes! ☕️ Go check out @theamateurbeing page to see other amazing snaps filled with colour and style! By #OPPOF1s 
Add @oppo_mobile to your future posts and mention your device to get a chance to be featured ✌✌✌"
na,"2,492",image,11,https://www.instagram.com/p/BVQ1w03A-jc/?taken-by=oppo_mobile,"@marischkaprue and her Sunset Squad enjoying the views of Jailolo 🇲🇨 Can't do it without #OPPOF3 and it's #DualSelfieCamera 
Check out her feed to see more breath-taking shots of Indonesia with it's underwater world and many other places!"
na,"1,995",image,32,https://www.instagram.com/p/BVqq2oRHTmb/?taken-by=oppo_mobile,"#OPPOR11 has arrived to Taiwan and Singapore! ✨✨✨
#Dual20MPCameras, VOOC Flash Charge, Splendid Design! In Gold and Black!

Get free gifts or personalise your phone with laser engraving? Why not!
Click @oppo_taiwan or @opposingapore for more details!"
na,"7,682",image,244,https://www.instagram.com/p/BV4KLVMnW0e/?taken-by=oppo_mobile,"The brand new #OPPOR11 is available in Singapore and Taiwan now! #BeautyMadeClearer 
Check out your local OPPO website for more information and exciting news!"
na,"1,673",image,15,https://www.instagram.com/p/BW7GyUvnidV/?taken-by=oppo_mobile,"Angels, shades, lights, reflections... ➡️ @tayebohyun for more shots of architecture in Taiwan!

Want to get a chance to be featured? Tag your photos with #oppofanview and let us know which device you used! ✌🏼"
na,"5,300",image,125,https://www.instagram.com/p/BXkc8D4nqI9/?taken-by=oppo_mobile,"🌼🌸🌼 #BeautyMadeClearer with the new #OPPOR11 and it's #Dual20MPCameras 🌸🌼🌸
#CapturedbyOPPOR11

Want to challenge your imagination? Check out @oppo_taiwan 🦋"
na,"3,018",image,32,https://www.instagram.com/p/BX2gE8AnQqE/?taken-by=oppo_mobile,"Sunrise in New York City #capturedbyOPPOR9s and @raskalov 
Show us your favourite shots by adding #oppofanview or @oppo_mobile and tell us which device you used ✌"
na,"6,315",image,183,https://www.instagram.com/p/BZeGBKlHc9A/?taken-by=oppo_mobile,"#OPPOR11 FC Barcelona limited version available in Singapore and Taiwan. ⚽⚽⚽
Let us know what you think about it 😉✌"
na,"3,215",image,26,https://www.instagram.com/p/BbieS7hHa2_/?taken-by=oppo_mobile,OPPO is the official smartphone partner for the Victoria's Secret Fashion Show 2017. Snap a selfie with your OPPO and share the moment with the Victoria's Secret Angels in Shanghai. #OPPOxVSFashionShow #OPPO #VSFashionShow @victoriassecret
23.5k,na,video,46,https://www.instagram.com/p/BbtZ_Vbn6CR/?taken-by=oppo_mobile,"The latest addition to OPPO #SelfieExpert family has arrived! Welcome #OPPOF5!
Find out more about it on our official website in our page feed and click the ""Global"" button to check availability in your country. #CaptureTheRealYou"
na,"8,517",image,239,https://www.instagram.com/p/Bc1gCdhHRXk/?taken-by=oppo_mobile,"We're preparing for a holiday season! 🎄 Are you?

#OPPOF5 in black and gold or #OPPOF5 6GB in red colour.
Which one would make the best gift? #BeautyAI"
na,"2,345",image,15,https://www.instagram.com/p/BTnKKCagS68/?taken-by=oppo_mobile,Only two days left till the next #SelfieExpert is out there! Follow your local OPPO Instagram to make sure you don't miss any news! #OPPOF3
na,"8,155",image,102,https://www.instagram.com/p/BTtP_kcgtrc/?taken-by=oppo_mobile,"One for selfie, one for group selfie! Feel the great moments of OPPO F3 launch events in INDIA, INDONESIA, MYANMAR, VIETNAM, the PHILIPPINES and PAKISTAN! #GroupSelfie #OPPOF3 #SelfieExpert"
na,"3,439",image,18,https://www.instagram.com/p/BT0vTr_g07-/?taken-by=oppo_mobile,"#OPPOF3 is already here!
Follow your local OPPO to know more about the best pre-order deals! 
@oppomobileindia
@oppophilippines
@oppoindonesia
@oppo_vietnam
and visit oppo.com/en/ to check the new #SelfieExpert specs!"
na,"5,158",image,88,https://www.instagram.com/p/BT87YpuAg8f/?taken-by=oppo_mobile,"#OPPOF3 supports a 13MP rear camera with an industry-leading imaging chip. A1/3-inch sensor allows the F3 to maximise lights sensitivity, making for wonderful nighttime performance. 
Go to www.oppo.com/en to learn more about the new #SelfieExpert cameras."
na,"2,491",image,35,https://www.instagram.com/p/BULrHvHAGMH/?taken-by=oppo_mobile,"One for Selfie, One for Group Selfie #DualSelfieCamera

To provide the best selfie experience to users, #OPPOF3 supports dual selfie cameras - one 16MP camera and one double view group selfie camera. Click amazing group selfies with your friends or family! #SelfieExpert"
na,"3,925",image,53,https://www.instagram.com/p/BUQd516gUTr/?taken-by=oppo_mobile,"#OPPOF3 and #OPPOF3Plus will truly amaze you with their 16MP and Dual Selfie Cameras.
Beautify 4.0, Screen Flash, Palm Shutter and Wide-angle features.

Discover the world of stunning Selfies with #SelfieExpert visit www.oppo.com/en"
na,"2,919",image,40,https://www.instagram.com/p/BUYJYXpA7mn/?taken-by=oppo_mobile,"@dubaistreetstyle getting the best out of #OPPOF3 Dual Selfie Camera! 
Follow @oppouae to see more updates on the new #SelfieExpert in UAE!

BTW, tag your best Group Selfie with #OPPOF3 or #OPPOF3Plus to get a chance to be featured next time!"
na,"5,845",image,115,https://www.instagram.com/p/BUgeO5RA1Zt/?taken-by=oppo_mobile,#OPPOF3 or #OPPOF3Plus? #SelfieExpert #DualSelfieCamera
na,"2,435",image,8,https://www.instagram.com/p/BUlfKwygpvA/?taken-by=oppo_mobile,"Enjoying your weekend with friends?
Try the new #OPPOF3 series and their #DualSelfieCamera for the most amazing group selfies! 
One for Selfie, One for Group Selfie!

Remember to add #OPPOF3 or #OPPOF3Plus to your best Group Selfie to get a chance to be featured next time! 😘"
na,"5,633",image,93,https://www.instagram.com/p/BUqcw1Eg7_b/?taken-by=oppo_mobile,"The Beauty in Black! Special Edition of the #OPPOF3Plus! #DualSelfieCamera 
Golden or Black? Which #SelfieExpert do you like better?"
na,"2,490",image,4,https://www.instagram.com/p/BUvujM8g-yy/?taken-by=oppo_mobile,"@katdj travelling to Taiwan with her #OPPOF3
What's the next destination? Can't wait to see more shots!
#SelfieExpert @oppophilippines"
na,"5,199",image,68,https://www.instagram.com/p/BU3jhbFA4MS/?taken-by=oppo_mobile,"16MP + 8MP #DualSelfieCamera 
16MP Back Camera
A true #SelfieExpert #OPPOF3Plus in Black or Gold."
na,"3,059",image,13,https://www.instagram.com/p/BSPwRfSA0Jg/?taken-by=oppo_mobile,"OPPO designed a customised 120° wide-angle Front Camera, able to capture a twice larger broader view than the standard 80° cameras. #OPPOF3Plus #SelfieExpert #DualSelfieCamera"
na,"3,833",image,21,https://www.instagram.com/p/BSfQItGgR_E/?taken-by=oppo_mobile,"#OPPOF3Plus sports a 4,000 mAh battery backed with OPPO’s industry-leading VOOC Flash Charge. The new #SelfieExpert uses cutting-edge power-saving optimizations, intelligently managing a your favorite applications to make sure they’re ready when you are."
na,"1,610",image,11,https://www.instagram.com/p/BSiI61TgRt-/?taken-by=oppo_mobile,"#OPPOF3Plus’ camera uses Dual PDAF (phase detection autofocus) technology, a next-generation upgrade to standard PDAF solutions. Dual PDAF doubles the area of the sensor’s pixel array that’s equipped with the special photodiodes necessary for phase-detection autofocus, making for 40% faster focus speeds even in low light and producing crystal-clear images. #SelfieExpert #DualSelfieCamera"
na,"4,000",image,44,https://www.instagram.com/p/BSlBflYg0z3/?taken-by=oppo_mobile,"#OPPOF3Plus uses an advanced solid-state fingerprint reader, so that only a slight touch is enough to unlock the device. Equipped with a hyrdrophobic membrane that uses the same principle as a naturally water-resistant lotus leaf, the fingerprint reader has an enhanced success rate even when a user’s fingers are moist."
na,"1,882",image,8,https://www.instagram.com/p/BSr8n_ogpbk/?taken-by=oppo_mobile,"Beautify 4.0 allows users to capture their very best looks. Blemish reduction has been refined to ensure beautiful, natural-looking shots that are eye-catching for all the right reasons. #OPPOF3Plus #SelfieExpert #DualSelfieCamera"
na,"1,685",image,11,https://www.instagram.com/p/BSsrHlTgD5B/?taken-by=oppo_mobile,"At the center of #OPPOF3Plus’ rear camera prowess is the all-new Sony IMX398 sensor, a customized 1/2.8 inch sensor that Sony developed exclusively for OPPO. With this sensor and an extra-wide F1.7 aperture, the F3 Plus’ rear camera offers phenomenal focusing speed, noise reduction and low-light performance, allowing users to snap breathtakingly clear and beautiful images at a moment’s notice. #SelfieExpert #DualSelfieCamera"
na,"2,384",image,13,https://www.instagram.com/p/BSxU5vMgTAZ/?taken-by=oppo_mobile,#OPPOF3Plus #DualSelfieCamera lets you take 120° wide angle photoe so everyone can fit in! Easily! #SelfieExpert
na,"5,422",image,31,https://www.instagram.com/p/BS0I-OzAEO4/?taken-by=oppo_mobile,"Inspired by musical notation, OPPO designers have innovated an exceptionally thin and stylish new antenna line design. The thick white bands have been replaced with two sets of three ultra-fine lines, each measuring only 0.3 mm. #OPPOF3Plus #SelfieExpert #DualSelfieCamera"
