views,likes,media,comments,url,caption,post_datetime
na,41,image,0,https://www.instagram.com/p/BfQfslQHkJ9/?taken-by=panasonic_india,"Presenting Panasonic Irons with titanium, non- stick coated curved soleplate with an even steam distribution that softens the fabrics and irons out the wrinkles.  https://goo.gl/s1qCN6",2018-02-16T12:34:17.000Z
na,79,image,0,https://www.instagram.com/p/BfTEYt5H1UB/?taken-by=panasonic_india,Panasonic Headphones- Compliment your choice of music and your style. http://bit.ly/2Bz7rZj,2018-02-17T12:33:22.000Z
na,88,image,1,https://www.instagram.com/p/Bfay39AH24f/?taken-by=panasonic_india,"Don’t just reheat, explore your love for cooking with Panasonic Microwaves and repeat. 
http://bit.ly/2ob9v1u",2018-02-20T12:34:16.000Z
na,88,image,1,https://www.instagram.com/p/BfdXRtJn9gh/?taken-by=panasonic_india,Panasonic Vacuum Cleaners- Lightweight but powerful enough to swipe away the dust from your home. http://bit.ly/2ET8q8W,2018-02-21T12:30:50.000Z
na,80,image,1,https://www.instagram.com/p/BfnqjnhngyX/?taken-by=panasonic_india,"If you like your sandwiches grilled, you’d love this. http://amzn.to/2ETvK2W",2018-02-25T12:31:43.000Z
255,40,video,0,https://www.instagram.com/p/Bfs0T9On1G4/?taken-by=panasonic_india,"Even the toughest stains will bow down to this Panasonic wonder. 
#ItsFoamtastic 
http://bit.ly/2GPL6q3",2018-02-27T12:34:08.000Z
270,45,video,2,https://www.instagram.com/p/Bf0jW_xHRRS/?taken-by=panasonic_india,Let nothing stop your Holi celebrations. Wish you a #Foamtastic Holi,2018-03-02T12:45:46.000Z
na,119,image,0,https://www.instagram.com/p/Bf-2EU6nB44/?taken-by=panasonic_india,Pump up your workouts with Panasonic's Bluetooth Sport Headphones. http://bit.ly/2I57AET,2018-03-06T12:34:50.000Z
na,72,image,3,https://www.instagram.com/p/BgDZW9ElIV9/?taken-by=panasonic_india,"Make this #WomensDay special and #BeHerChef. Cook a special dish for the special woman in your life and share the picture with the recipe. Best entry takes home a Panasonic Microwave.
For T&C, link in bio",2018-03-08T07:00:10.000Z
na,57,image,0,https://www.instagram.com/p/BgOL-DnlBOG/?taken-by=panasonic_india,Thank you for your participation. #BeHerChef contest stands closed now.,2018-03-12T11:34:49.000Z
na,63,image,0,https://www.instagram.com/p/BgQ3S7lleMf/?taken-by=panasonic_india,"When it gets difficult to concentrate, plug in your Panasonic Headphones and plug out the noise.",2018-03-13T12:31:53.000Z
122,31,video,0,https://www.instagram.com/p/BgYmMToFqFF/?taken-by=panasonic_india,"When your mind says music, put on your Panasonic Headphones.
http://bit.ly/2FGPyHh",2018-03-16T12:36:37.000Z
149,29,video,1,https://www.instagram.com/p/Bec64N5nxN8/?taken-by=panasonic_india,"Take your TV viewing experience to the next level with Panasonic Shinobi Ultra 4K.
goo.gl/iPKoGc",2018-01-27T11:52:28.000Z
117,28,video,1,https://www.instagram.com/p/Bef-YTbHLf3/?taken-by=panasonic_india,"If you still don’t know, hear from her. #ItsFoamtastic",2018-01-28T16:19:43.000Z
na,45,image,0,https://www.instagram.com/p/BenfasXH0eX/?taken-by=panasonic_india,"When in stress, you know what to do.
https://goo.gl/sz6w5B",2018-01-31T14:22:59.000Z
144,27,video,0,https://www.instagram.com/p/BesXSt-nWAR/?taken-by=panasonic_india,"This Panasonic 3-Blade Shaver comes with a sensor that determines your beard density and reduces the burden on your skin for a gentle shave.

https://goo.gl/9BYCer",2018-02-02T11:50:43.000Z
124,19,video,0,https://www.instagram.com/p/Beu_EwynCst/?taken-by=panasonic_india,"This beard style is a must try for all the cool dudes out there.
 https://goo.gl/UzPgsy",2018-02-03T12:14:36.000Z
112,19,video,0,https://www.instagram.com/p/Be23zXOnM7q/?taken-by=panasonic_india,"Now, a bouncy hairstyle is no more a big deal.
http://bit.ly/2BIngOq",2018-02-06T13:47:51.000Z
141,27,video,0,https://www.instagram.com/p/Be5Tg5Yn0Nb/?taken-by=panasonic_india,"Panasonic’s range of Super Mixer Grinders, everything your kitchen needs. 
http://bit.ly/2BJupOy",2018-02-07T12:29:26.000Z
na,52,image,0,https://www.instagram.com/p/Be-d2KrHgQJ/?taken-by=panasonic_india,Here’s a unique breed of Panasonic Vacuum Cleaners that can sense dust. Click to know: https://goo.gl/gSjJyx,2018-02-09T12:31:47.000Z
na,40,image,0,https://www.instagram.com/p/BfBCvs3nFVS/?taken-by=panasonic_india,"Here’s the story behind the birth of Panasonic high resolution headphones.
https://goo.gl/GfW3vd",2018-02-10T12:32:42.000Z
na,57,image,1,https://www.instagram.com/p/BfDo4u7nSKB/?taken-by=panasonic_india,"The Panasonic Slow Juicer ensures nutrients aren’t destroyed by friction heat, so you can enjoy more flavour and nutrients.  https://goo.gl/BfbrjK",2018-02-11T12:44:27.000Z
na,54,image,3,https://www.instagram.com/p/BfIxPLYnuSP/?taken-by=panasonic_india,Ultimate Cooker from Panasonic makes mouthwatering food with ease and keeps it warm for 5 hours. Get it now: https://goo.gl/Q2BRKm,2018-02-13T12:33:38.000Z
na,67,image,5,https://www.instagram.com/p/BfLWIwbHtXp/?taken-by=panasonic_india,Spacious enough to keep all your things fresh & healthy.  https://goo.gl/RMz33C,2018-02-14T12:34:33.000Z
208,41,video,0,https://www.instagram.com/p/Bd0AzswH1Cl/?taken-by=panasonic_india,"15 technologies of the future, straight from the #CES2018.",2018-01-11T14:56:44.000Z
114,27,video,0,https://www.instagram.com/p/Bd4PO86n-GC/?taken-by=panasonic_india,"As we head towards the last day of #CES2018, it’s time to take a trip to the not-so-distant future. #PanasonicCES",2018-01-13T06:02:04.000Z
na,46,image,0,https://www.instagram.com/p/Bd4_EJjHG8-/?taken-by=panasonic_india,"Steam up your winters with scrumptious momos. 
Click to know more: https://goo.gl/ix7Cp5",2018-01-13T12:55:13.000Z
na,37,image,0,https://www.instagram.com/p/Bd7sPyOnaZ8/?taken-by=panasonic_india,"Panasonic Thermopot- keeps water warm, even in winters.
Know more: https://goo.gl/RF85Eb",2018-01-14T14:08:30.000Z
95,15,video,0,https://www.instagram.com/p/BeAr46uH1zl/?taken-by=panasonic_india,"Panasonic Headphones, to keep you the way you are.
https://goo.gl/mpEBdP",2018-01-16T12:41:52.000Z
258,38,video,1,https://www.instagram.com/p/BeDR1x4Hiwb/?taken-by=panasonic_india,"Still wondering how we make your clothes foamtastic? Here it is.
#ItsFoamtastic",2018-01-17T12:53:20.000Z
155,23,video,0,https://www.instagram.com/p/BeIbMt3HL7S/?taken-by=panasonic_india,Statutory Warning: This video is intended to make you look cool. Watch it at your own risk,2018-01-19T12:52:40.000Z
na,26,image,0,https://www.instagram.com/p/BeLAS7zn_v6/?taken-by=panasonic_india,"Planning for a picnic? This Panasonic Jar Cooker is all you need.
https://goo.gl/94vezz",2018-01-20T12:52:18.000Z
na,37,image,0,https://www.instagram.com/p/BeNubmYHmlD/?taken-by=panasonic_india,Music is the sound of your feeling. Hear it with Panasonic Headphones https://goo.gl/krioLc,2018-01-21T14:13:55.000Z
125,24,video,0,https://www.instagram.com/p/BeSp3HMnW9P/?taken-by=panasonic_india,It’s time to go beyond. It’s time to experience entertainment like never before. Click to get the greatest ever experience: https://goo.gl/iPKoGc,2018-01-23T12:16:16.000Z
114,15,video,0,https://www.instagram.com/p/BeVPLmMnStp/?taken-by=panasonic_india,"All the gentlemen out there, it’s time to look classy.",2018-01-24T12:20:14.000Z
105,24,video,1,https://www.instagram.com/p/BeZf1ZlHEVb/?taken-by=panasonic_india,"Today, we promise to make your lives simple and better. Happy #RepublicDay! #BetterLifeBetterWorld",2018-01-26T03:57:27.000Z
na,24,image,0,https://www.instagram.com/p/BdHpRmBHnI_/?taken-by=panasonic_india,"Panasonic Oven Toaster Grill - To warm your taste-buds in winters.
https://goo.gl/2sQ1AN",2017-12-25T09:02:01.000Z
110,26,video,1,https://www.instagram.com/p/BdHpUcWHnUZ/?taken-by=panasonic_india,Experience the beauties of the world with Panasonic Shinobi Ultra 4k.,2017-12-25T09:03:01.000Z
141,26,video,0,https://www.instagram.com/p/BdKoWdTHgtM/?taken-by=panasonic_india,"Don’t just watch superheroes save the world, be a part of their mission with
Panasonic Shinobi ultra 4K",2017-12-26T12:51:50.000Z
82,16,video,0,https://www.instagram.com/p/BdNOIukHWrB/?taken-by=panasonic_india,Weekday straights or weekend curls? Ummmmm...In case you want both: https://goo.gl/uYrsM7,2017-12-27T13:00:39.000Z
93,18,video,0,https://www.instagram.com/p/BdSXkcenE1p/?taken-by=panasonic_india,Clarity in every beat. Click to hear :  https://goo.gl/iB7Jmq .,2017-12-29T12:59:37.000Z
95,16,video,0,https://www.instagram.com/p/BdU6jGqnlSc/?taken-by=panasonic_india,"Live a dust-free life with Panasonic Vacuum Cleaners.
https://goo.gl/B5WUQW",2017-12-30T12:43:15.000Z
