views,likes,media,comments,url,caption
1,na,video,0,https://www.instagram.com/p/BRY5wOKF0Gu/?taken-by=plummobile,Bringing Simple Back. Plum STAR
na,291,image,0,https://www.instagram.com/p/BWDblrGFAs0/?taken-by=plummobile,"MIGHT PLUS 2

TAKES POWER AND SPEED TO A WHOLE NEW LEVEL

Shop: https://goo.gl/fgAJJc 
#Android #lollipop #mobile #PlumMobile #smartphone"
na,4,image,0,https://www.instagram.com/p/BWfDd50F2HY/?taken-by=plummobile,"Built to work – and keep working – in the harshest. 
It may not be the prettiest phone out there, but it's a rugged survivor. 
Get yours at - http://bit.ly/PlumGator
#Ruggedphone #Waterproof #Dustproof #Toughphone #Forthebold #Thinkrugged"
na,0,image,0,https://www.instagram.com/p/BWh9J6_lrJ5/?taken-by=plummobile,"Pick up the phone and say hello, sometimes that's all it takes to kick off something wonderful."
na,0,image,0,https://www.instagram.com/p/BWj_t2AFIxC/?taken-by=plummobile,"So what is a Phablet? Phone + Tablet – the best combo for big, high-resolution screens. 
Upgrade your phablet experience with the Plum Optimax 10. 
Get yours at - http://bit.ly/Optimax10"
na,0,image,0,https://www.instagram.com/p/BWpOjn3F3J-/?taken-by=plummobile,"Plum-Mobile provides today's best mobile phones at amazing prices. Our team has been selling, tablets, phablets, smart phones, mobile phones and we are passionate about providing excellent products along with great support.
www.plum-mobile.com"
na,12,image,0,https://www.instagram.com/p/BWr2gqWFmjA/?taken-by=plummobile,"Stunningly smart and furiously fast!
The Axe Plus offers not only functionality but also plenty of styles to go around.
Like it?
Find here – bit.ly/AxePlus2
#Smartphone #Phone #Technology #Axeplus2 #Mobilephones #Gadgets #Device #Amazon #PlumMobile"
na,2,image,0,https://www.instagram.com/p/BWwzYMIlP1Y/?taken-by=plummobile,"What is the right age for children to get their first smartphone?
#InterestingFacts #MobileFacts #FirstSmartphone"
na,0,image,0,https://www.instagram.com/p/BWwzbgjlBe1/?taken-by=plummobile,"Your perfect travel mate!!!
This phone is simple, elegant and hold a range of applications that are most useful for day to day activities you can do on.
What more do you need?
bit.ly/Heroplummobile"
na,0,image,0,https://www.instagram.com/p/BWzifEkFq70/?taken-by=plummobile,Let us know by commenting below! ⬇ 📱
1,na,video,0,https://www.instagram.com/p/BW11vY0FiGN/?taken-by=plummobile,We're glad it's Saturday - how about you?
1,na,video,0,https://www.instagram.com/p/BW7XXGEljpt/?taken-by=plummobile,Are you one of those people who get a little rough with their gadgets? Ram5 Rugged Mobile phones are built to survive the rigours of your life and won't let you down.Get yours at- bit.ly/PLUMMOBILE
1,na,video,0,https://www.instagram.com/p/BW9ce86F5-J/?taken-by=plummobile,We all have that friend who does this! Tag them :D
na,0,image,0,https://www.instagram.com/p/BXAM_7iFvfh/?taken-by=plummobile,"There's never been a better time to be on the hunt for a new smartphone! If you're looking to buy a new mobile phone outright, you have to check this splendid COMPASS PHONE perfect for every use. Get this from- www.plum-mobile.com"
1,na,video,0,https://www.instagram.com/p/BXDBia0levB/?taken-by=plummobile,"Enjoy some music and chill, sometimes that’s what Thursday is about. #Music"
na,2,image,0,https://www.instagram.com/p/BXFjW0XFne-/?taken-by=plummobile,Fact of the day📲
na,0,image,0,https://www.instagram.com/p/BXIPzDSFZ81/?taken-by=plummobile,Looking for a high-end smartphone with a large display and sleek design? It’s time to upgrade your old mobile phone to a smartphone. Check out this exquisite AXE PLUS 2 and make it forever yours >>bit.ly/AXEPLUS2
na,0,image,0,https://www.instagram.com/p/BXNPH1dF--j/?taken-by=plummobile,"it's Monday: Get up, Drink coffee☕ Be Happy, Do great things! Stay positive.😉"
1,na,video,1,https://www.instagram.com/p/BXPtvNYFVLS/?taken-by=plummobile,"Faster than before, better than ever, focus on every detail with perfection. Presenting the all new OPTIMAX 10 TABLET phone perfect for every use. Hurry up! Grab it soon<< bit.ly/OPTIMAX10"
na,0,image,0,https://www.instagram.com/p/BXSIsqOlCWg/?taken-by=plummobile,"I was going to finish my assignment, but then someone commented on my status.😂"
1,na,video,0,https://www.instagram.com/p/BXUwwWUlQGB/?taken-by=plummobile,#TBT to your favourite cricket moment. #CricketRewind
na,3,image,0,https://www.instagram.com/p/BXXekj-FB3o/?taken-by=plummobile,The all-new #GATOR3 takes you beyond the limits of any phone you've known before. #UnboxYourPhone << bit.ly/GATOR10
na,2,image,0,https://www.instagram.com/p/BXZ8eXAF3Jc/?taken-by=plummobile,"It's time for Friendship Day Celebration.
Make your Best Friend feel special by tagging a selfie with them and dedicate a song to your Friendship.
#FrienshipDay #BestFriend #Fun #Selfie #OurFrienshipSong"
na,0,image,3,https://www.instagram.com/p/BXhpHu9lCZk/?taken-by=plummobile,Remember the days when we used to go for tution classes to learn what we didn't understand in school? Everything changes with technology! Like if you think its true.
1,na,video,1,https://www.instagram.com/p/BB8QrrbyqYL/?taken-by=plummobile,The Z708 Phablet from Plum Mobile isn't just a smartphone and it isn't just a tablet... It's both! Get the best of both worlds today!
na,2,image,0,https://www.instagram.com/p/BCQf8MxyqZO/?taken-by=plummobile,Get your hands on the Might LTE from Plum Mobile today at Amazon.com!
1,na,video,0,https://www.instagram.com/p/BCYomEkSqd3/?taken-by=plummobile,The Axe Plus from Plum Mobile is the perfect 4 Inch Unlocked Android Smartphone for you! Get yours today at Amazon.com
1,na,video,0,https://www.instagram.com/p/BCqqQxkyqd3/?taken-by=plummobile,The Trigger Plus 3 from Plum Mobile is a Great Value! Get your's today at Amazon.com
1,na,video,0,https://www.instagram.com/p/BDn1brKyqTn/?taken-by=plummobile,"The Rugged Plum RAM 3G is available on Amazon.com! Water / Shock / Dust Proof! IP68 Certified! Get yours today:
http://www.amazon.com/dp/B01BJBWTXE/"
na,2,image,1,https://www.instagram.com/p/BHhuLghAtnn/?taken-by=plummobile,"The Optimax 10 from Plum Mobile!
http://www.plum-mobile.com/product/optimax-10/"
na,2,image,0,https://www.instagram.com/p/BHnAFvJgUvW/?taken-by=plummobile,The all new Axe Plus 2 is the perfect smartphone for you! http://www.plum-mobile.com/product/axe-plus-2/
1,na,video,0,https://www.instagram.com/p/BKjAk7SgW1W/?taken-by=plummobile,
na,2,image,1,https://www.instagram.com/p/BMWlFl1At6E/?taken-by=plummobile,Now available:  https://www.amazon.com/gp/aw/d/B01HF673EM/ref=mp_s_a_1_26?ie=UTF8&qid=1478186240&sr=8-26&pi=AC_SX236_SY340_QL65&keywords=optimax+8.0
1,na,video,0,https://www.instagram.com/p/0DY2oWyqbm/?taken-by=plummobile,"The Pilot Plus from Plum! 
5.5"" HD Display
8 GB Internal Memory
8.0 MP Camera
1.3 GHz Quad Core Processor

Available at Amazon.com/plum"
na,0,image,0,https://www.instagram.com/p/0lPKv7yqX2/?taken-by=plummobile,
na,0,image,0,https://www.instagram.com/p/03afOxSqSl/?taken-by=plummobile,
na,0,image,2,https://www.instagram.com/p/0-nXNBSqfA/?taken-by=plummobile,Plum Mobile! We have the Perfect Phones for You!
na,2,image,0,https://www.instagram.com/p/2Bei9ayqSy/?taken-by=plummobile,"The Rugged RAM from Plum!
Water/Shock/Dust Proof - IP67 Certified

Get Yours Today:
http://www.amazon.com/dp/B00K8HLDC4/"
na,2,image,0,https://www.instagram.com/p/2RLYQFSqUQ/?taken-by=plummobile,"The Pilot Plus from Plum Mobile!
5.5"" IPS Display | Ultra Slim 8.2mm | 8.0 MP Camera

Get Yours Today:
http://www.amazon.com/dp/B00M9AC4VM/"
na,3,image,1,https://www.instagram.com/p/3J3ZjFSqYp/?taken-by=plummobile,
1,na,video,0,https://www.instagram.com/p/BANDKpwyqdA/?taken-by=plummobile,
na,2,image,0,https://www.instagram.com/p/BAQIK2USqb0/?taken-by=plummobile,Start the New Year off right with the Might LTE from Plum Mobile!
1,na,video,0,https://www.instagram.com/p/BAacuuTyqVP/?taken-by=plummobile,Get your hands on the Check Plus from Plum Mobile and enjoy all your favorite media on one trendy smartphone! Be A Star!
na,3,image,0,https://www.instagram.com/p/BAiSohqSqQP/?taken-by=plummobile,Share YOUR world! Tell YOUR story! Get the Axe Plus from Plum Mobile and let the adventures begin!
na,2,image,0,https://www.instagram.com/p/BAsCMMnSqZ9/?taken-by=plummobile,The Ultra Slim Pilot Plus from Plum Mobile! Explore the World!
1,na,video,0,https://www.instagram.com/p/BAxPXRrSqRi/?taken-by=plummobile,Stay In Tune with Life! Get the Coach Pro from Plum Mobile!
1,na,video,1,https://www.instagram.com/p/BAzrfpUSqb0/?taken-by=plummobile,Be Faster Than the Rest with the Might LTE from Plum-Mobile!
na,2,image,0,https://www.instagram.com/p/BB5t4O4SqRn/?taken-by=plummobile,"The RAM 3G is a ROUGH, TOUGH, RUGGED phone from Plum Mobile. Built with your tough life in mind!"
na,5,image,0,https://www.instagram.com/p/w6mdvYyqc_/?taken-by=plummobile,"Not just a phone. Not just a tablet. The Z708 Phablet from @plummobile brings you the best of both worlds! Get yours today at Amazon.com
#Plum #Mobile #Z708 #Unlocked #Android #Smartphone #Tablet #Phablet #Holiday #Gifts #Amazon #ExploreTheWorld"
na,4,image,0,https://www.instagram.com/p/w9kkwaSqcM/?taken-by=plummobile,"Happy Holidays from @plummobile!
#Plum #Mobile #MightPlus #Unlocked #Android #Smartphones #Happy #Holidays #Amazon #Gifts"
na,6,image,0,https://www.instagram.com/p/xM2xsYSqcu/?taken-by=plummobile,"The Year is Almost Over! Get Your Plum Phone Today at Amazon.com
#Plum #Mobile #PilotPlus #Unlocked #Android #Smartphones #Happy #NewYears #Amazon #Gifts"
na,2,image,2,https://www.instagram.com/p/xe1pJuSqVI/?taken-by=plummobile,"Start the New Year off right with the Might LTE from Plum!
#Plum #Mobile #MightLTE #Unlocked #Android #Smartphones #4G #LTE #NewYear #2015"
na,4,image,0,https://www.instagram.com/p/x2F-aRSqVB/?taken-by=plummobile,"Plum Makes Technology For Everyone with the Sync 3.5! Get yours today on Amazon.com
#Plum #Mobile #Sync3.5 #Unlocked #Android #Smartphone #Amazon #TechnologyForEveryone"
na,6,image,1,https://www.instagram.com/p/x4bOE-yqbE/?taken-by=plummobile,"Share Your World. Tell Your Story. With the Trigger Pro from Plum you can stay connected with everyone!
#Plum #Mobile #TriggerPro #Unlocked #Android #Smartphone #Amazon #ShowAndTell #ShareYourWorld #TellYourStory"
na,2,image,1,https://www.instagram.com/p/yu5nIkyqW7/?taken-by=plummobile,"Unleash the Speed of LTE with the Might LTE from Plum! Available on Amazon.com
#Plum #Mobile #MightLTE #LTE #Unlocked #Android #Smartphone #Amazon"
na,6,image,1,https://www.instagram.com/p/yxVtFbyqVf/?taken-by=plummobile,"Not just a phone. Not just a tablet. The Z708 Phablet from Plum brings you the best of both worlds! Get yours today on Amazon.com!
#Plum #Mobile #Z708 #Phablet #Unlocked #Android #Smartphone #Tablet #Amazon #ExploreTheWorld"
na,7,image,2,https://www.instagram.com/p/y42s5OSqaE/?taken-by=plummobile,"Capture life in HD with the all new Coach Pro from Plum! Available now at Amazon.com!
#Plum #Mobile  #CoachPro #Unlocked #Android #Smartphone #Amazon #Capture #LifeInHD"
na,6,image,2,https://www.instagram.com/p/zDOIWoyqZ9/?taken-by=plummobile,"Surprise Your Valentine with a Sync 5.0 from Plum! Available now at Amazon.com!
#Plum #Mobile #Sync5.0 #Unlocked #Android #Smartphone #Pink #ValentinesDay #VDay #Valentine #Love #Hearts #Share #SpecialMoments #ExploreTheWorld"
na,0,image,1,https://www.instagram.com/p/zfiKFmyqSq/?taken-by=plummobile,"Coach Pro from Plum! 6"" HD Display 16GB Internal Memory 8.0 MP Camera"
na,0,image,0,https://www.instagram.com/p/zk7Jf-yqW0/?taken-by=plummobile,Unleash the speed of LTE with the Might LTE from Plum!
na,5,image,0,https://www.instagram.com/p/vrDasuyqSQ/?taken-by=plummobile,Share All Your Favorite Moments with the Pilot Plus from @plummobile #Plum #PlumMobile #PilotPlus #Unlocked #Android #Smartphone
na,5,image,0,https://www.instagram.com/p/vyiZWBSqUU/?taken-by=plummobile,"Get Your Hands on a @plummobile Phone Today!
#Plum #PlumMobile #Unlocked #Android #Smartphones #DualSIM"
na,6,image,0,https://www.instagram.com/p/v1LOxPyqTb/?taken-by=plummobile,"Have you seen the Check Plus from @plummobile 
#Plum #PlumMobile #CheckPlus #Unlocked #Android #Smartphones"
na,6,image,0,https://www.instagram.com/p/v6tVcBSqYe/?taken-by=plummobile,"Happy Thanksgiving from @plummobile 
#Plum #PlumMobile #CoachPlusII #Unlocked #Android #Smartphones"
na,6,image,0,https://www.instagram.com/p/wHQjtpSqTm/?taken-by=plummobile,"The Sync 5.0 is Elegant and Powerful! Get Yours Today!
#Plum #PlumMobile #Sync5.0 #Unlocked #Android #Smartphones"
na,6,image,1,https://www.instagram.com/p/wMRXFpSqbH/?taken-by=plummobile,"Capture Life in HD with the Coach Plus II from @plummobile !
#Plum #PlumMobile #CoachPlusII #Unlocked #Android #Smartphones"
1,na,video,0,https://www.instagram.com/p/wbcqlKSqa2/?taken-by=plummobile,Unleash the Speed of LTE with tha all new Might LTE from @plummobile! Coming Soon! #Plum #PlumMobile #MightLTE #LTE #Unlocked #Android #Smartphones
na,3,image,0,https://www.instagram.com/p/wbuWc4yqUk/?taken-by=plummobile,"Season's Greetings from Plum Mobile! Check out our phones on Amazon.com! 
#Plum #PlumMobile #CheckPlus #AxePlus #Bar3G #Unlocked #Android #Smartphones #Seasons #Greetings"
