views,likes,media,comments,url,caption
na,33.8k,image,240,https://www.instagram.com/p/BeIbe5ehQJo/?taken-by=samsungmobile,May the year ahead run in parallel with your dreams. #GalaxyNote4 #ShotFromTheGalaxy 📷: @artist_dax
na,44.5k,image,389,https://www.instagram.com/p/BeQKCUUBhiX/?taken-by=samsungmobile,Never lose track of the little moments in life. #GalaxyNote8 #ShotFromTheGalaxy 📷: @enkaspass
na,66.5k,image,541,https://www.instagram.com/p/BeSur9mhhqQ/?taken-by=samsungmobile,Great moments are often framed by the little ones. #GalaxyNote8 #ShotFromTheGalaxy 📷: @elhamhoxhalli
na,57k,image,645,https://www.instagram.com/p/BeVUHj_B_d0/?taken-by=samsungmobile,"No story too large, no memory too small. #GalaxyNote8 #ShotFromTheGalaxy 📷: @s.apch"
na,48.7k,image,"1,031",https://www.instagram.com/p/BeXjt2YhnJS/?taken-by=samsungmobile,"Your brand new baby is coming on 02.25.2018, and it's going to be leaps and bounds ahead. #Unpacked"
na,46.6k,image,739,https://www.instagram.com/p/BeiNayshH89/?taken-by=samsungmobile,This 02.25.2018. You’re going to be exposed to a whole new world. #Unpacked
na,58.7k,image,"1,324",https://www.instagram.com/p/BenW_EdhAXh/?taken-by=samsungmobile,From 02.25.18. You won't see your beloved the same way again. Neither will the world. #Unpacked
na,38k,image,971,https://www.instagram.com/p/Be2yoNwhX4b/?taken-by=samsungmobile,You must first walk through darkness to reach the light. #GalaxyS7 #ShotFromTheGalaxy 📷: @lolokch
na,57.2k,image,11.5k,https://www.instagram.com/p/Be5Ws4Ohw5Y/?taken-by=samsungmobile,"Find beauty, even on the rockiest of roads. #GalaxyA5 #ShotFromTheGalaxy 📷: @the_keni"
na,53.2k,image,"1,504",https://www.instagram.com/p/Be-g0diBSVq/?taken-by=samsungmobile,Only when you step out of the grid can you get a good look at it. #GalaxyS7 #ShotFromTheGalaxy 📷: @qadrat
na,26.9k,image,157,https://www.instagram.com/p/BfGP0qcBiCI/?taken-by=samsungmobile,Moments like this are meant to be preserved. That’s why they’re bathed in amber. #GalaxyS8 #ShotFromTheGalaxy 📷: @davidlarssonphoto
na,39.2k,image,194,https://www.instagram.com/p/BfIzlVcBF-v/?taken-by=samsungmobile,Every sunset is another day to celebrate. #GalaxyS7 #ShotFromTheGalaxy 📷: @avisodhi
na,40.8k,image,291,https://www.instagram.com/p/BfLYGqZBEdD/?taken-by=samsungmobile,Let the promise of the horizon guide your journey. #GalaxyNote8 #ShotFromTheGalaxy 📷: @next_pisa
126k,na,video,228,https://www.instagram.com/p/BfdZ6u6h31Z/?taken-by=samsungmobile,"You haven’t seen anything yet. At #Unpacked, we’re shining a new light on the world as you know it."
110k,na,video,191,https://www.instagram.com/p/Bff-odsBNGU/?taken-by=samsungmobile,"What if every time was playtime? On 02.25.2018, we’re ramping up the game. #Unpacked"
128k,na,video,421,https://www.instagram.com/p/BfikVa5BZkq/?taken-by=samsungmobile,"No one does you like you do. On 02.25.2018, we’re launching a brand new experience to celebrate your iconic style. #Unpacked"
166k,na,video,393,https://www.instagram.com/p/BfvcTGrhkWG/?taken-by=samsungmobile,"Your pet’s got new tricks, but so does the new #GalaxyS9. Introducing the Super Slow-mo camera. For epic shooting and endless replay."
121k,na,video,111,https://www.instagram.com/p/BfyAoeQBpp5/?taken-by=samsungmobile,"The smallest moments make the biggest memories. Now make them even more epic. #GalaxyS9
Captured by @thedodo"
151k,na,video,270,https://www.instagram.com/p/Bf0k8vjBYp-/?taken-by=samsungmobile,"Shooting in Super Slow-mo is about to become your new pet hobby. #GalaxyS9
Captured by @thedodo"
na,34.5k,image,205,https://www.instagram.com/p/Bf-47fMBONn/?taken-by=samsungmobile,"Don’t just take a picture. Capture the mood, with the new #GalaxyS9’s Dual Aperture camera that helps you find your light, no matter the lighting conditions."
na,41.3k,image,382,https://www.instagram.com/p/BgBdWjiBp1K/?taken-by=samsungmobile,"With the #GalaxyS9, take beautiful photos in different kinds of light."
na,34.6k,image,158,https://www.instagram.com/p/BgGnoJQh_Wk/?taken-by=samsungmobile,The night is always young with the new #GalaxyS9. Capture all of the action with none of the blur on a Dual Aperture camera that adjusts to the light.
147k,na,video,202,https://www.instagram.com/p/BgQ6mUhhlnP/?taken-by=samsungmobile,Had an epic moment? It’s playback time with the 960FPS Super Slow-mo camera on the #GalaxyS9.
111k,na,video,178,https://www.instagram.com/p/BgTY2t-hPb3/?taken-by=samsungmobile,Make every scene a showstopper with Super Slow-mo videos captured on the #GalaxyS9.
na,30.3k,image,271,https://www.instagram.com/p/BdPv9mPB-bm/?taken-by=samsungmobile,Lights. Camera. #GalaxyNote8. #ShotFromTheGalaxy 📸: @memohzo
na,30.3k,image,183,https://www.instagram.com/p/Bdcp1KyBISA/?taken-by=samsungmobile,Don't let the past reflect your future. Here's to 2018. #GalaxyS8 #ShotFromTheGalaxy 📷: @owesii
na,38.9k,image,171,https://www.instagram.com/p/Bdhz9x7Ba9a/?taken-by=samsungmobile,We're rockin' into the rest of 2018. Are you? #GalaxyS7edge #ShotFromTheGalaxy 📷: @hannes_vaneeden
na,38.1k,image,189,https://www.instagram.com/p/BdkZcgmhSWk/?taken-by=samsungmobile,"Where you're heading, you don't need roads. So what is your goal in the new year? #GalaxyS6 #ShotFromTheGalaxy 📷: @from_thegalaxy"
na,29.4k,image,167,https://www.instagram.com/p/BdsIxQZByao/?taken-by=samsungmobile,Here's to starting with a clean slate. #GalaxyNote8 #ShotFromTheGalaxy 📷: @syncio
na,29.8k,image,172,https://www.instagram.com/p/BdxQa7zhbWF/?taken-by=samsungmobile,Explore a new perspective with the #GalaxyS6 #ShotFromTheGalaxy 📷: @juggernaut1
na,33.3k,image,198,https://www.instagram.com/p/Bd2aSiXheWp/?taken-by=samsungmobile,"Look ahead, never back. Far better things await. #GalaxyNote8 #ShotFromTheGalaxy 📷: @leno.huang"
na,31.4k,image,164,https://www.instagram.com/p/BeAttYTBGiE/?taken-by=samsungmobile,Great opportunities shine. But the best ones reflect. #GalaxyNote8 #ShotFromTheGalaxy 📷: @cheesecakesandvinyl
na,22.3k,image,116,https://www.instagram.com/p/BeF3PKWBZv6/?taken-by=samsungmobile,Look ahead. Leave the mirage of yesterday. #GalaxyS8 #ShotFromTheGalaxy 📷: @totoschka_
164k,na,video,147,https://www.instagram.com/p/Bbf-f-dBUVO/?taken-by=samsungmobile,Reveal what’s lurking beneath each photo. Made with the #GalaxyNote8 and the S Pen.
na,43.5k,image,177,https://www.instagram.com/p/BbuDJLBhR2K/?taken-by=samsungmobile,Seasons are changing. Capture every moment with the #GalaxyS7edge. #ShotFromTheGalaxy 📸: @kim.huiskes
na,33.2k,image,120,https://www.instagram.com/p/Bbwjf6fBc_4/?taken-by=samsungmobile,For fleeting moments. #GalaxyS7edge #ShotFromTheGalaxy 📸: @sanchitb15
na,23.5k,image,198,https://www.instagram.com/p/BbzIUI4Bba4/?taken-by=samsungmobile,Taking in the changing seasons from the top of the world. #ShotFromTheGalaxy 📸: @mason.fehr
na,38.5k,image,172,https://www.instagram.com/p/BcCjFv6hgdw/?taken-by=samsungmobile,"Low light, no problem. #GalaxyNote8 #ShotFromTheGalaxy 📷: @retbuls12"
na,35.3k,image,174,https://www.instagram.com/p/BcFH3fUBjpB/?taken-by=samsungmobile,Take great shots of the great outdoors. #GalaxyNote8 #ShotFromTheGalaxy 📷: @aooatv
na,30.7k,image,249,https://www.instagram.com/p/BcHspY-ho7O/?taken-by=samsungmobile,Great photos find you. #GalaxyNote8 #ShotFromTheGalaxy 📷: @omkarsurve911
