views,likes,media,comments,url,caption
na,"2,818",image,68,https://www.instagram.com/p/BfsH7ZNA3KI/?taken-by=vivomobile,"Our new concept smartphone APEX has a lot to brag about, check it out. That’s right, mind blown.

#APEX #UnlockTheFuture"
na,"6,512",image,189,https://www.instagram.com/p/BfsKNaSg9aQ/?taken-by=vivomobile,Get a good look at our new concept smartphone: APEX. Now just wait until you hear what you can do with it… #APEX #UnlockTheFuture
na,"3,934",image,31,https://www.instagram.com/p/Bfx28BCgcJ5/?taken-by=vivomobile,"Pet lovers, now's your chance to WIN a gift by showing us how much you love your pet! Not bad, eh? Simply grab your beloved animal and take the most EXTRA selfie with them possible, and post it with #VivoWay to enter our competition. Basic selfies need not apply. Good luck and remember... #BeExtra"
"8,590",na,video,39,https://www.instagram.com/p/Bf0x0XEA_t7/?taken-by=vivomobile,"Don’t tame the extra, keep it separate. Have two of the same app with the V7+ App Clone. #BeExtra #PerfectShot"
na,"3,411",image,10,https://www.instagram.com/p/Bf8RSHBACjw/?taken-by=vivomobile,"Glammed up for a night in with the Oscars on tonight. When you have a V7+, you'll see a red carpet wherever you are. #BeExtra #PerfectShot #AcademyAwards"
na,"1,767",image,10,https://www.instagram.com/p/Bf-3KJoA0-6/?taken-by=vivomobile,Time flies when you ‘re having... yourself cryogenically frozen. 100 days till the 2018 FIFA World Cup™  kicks-off. GET EXCITED. #BeExtra
na,"4,005",image,21,https://www.instagram.com/p/BgBbhvLAeTx/?taken-by=vivomobile,Nice view. You know what’s even better? FullView™ from Vivo V7 #PerfectShot #BeExtra
"6,295",na,video,9,https://www.instagram.com/p/BgD918cgEMx/?taken-by=vivomobile,"Press for inspiration, press for unity, and press for inclusivity. We have the tools to make a difference so let’s #PressForProgress. #InternationalWomensDay"
na,"3,304",image,53,https://www.instagram.com/p/BgSOCgTAOUr/?taken-by=vivomobile,"Photography is advancing faster than you think, and with Vivo’s latest smartphone tech #SuperHDR, you’ll see how."
12.5k,na,video,48,https://www.instagram.com/p/BgV_D42A08R/?taken-by=vivomobile,V9 AI Face Access opens the door for whoever you are today. Even your #WorldCup face paint gets a pass.
"9,054",na,video,31,https://www.instagram.com/p/BgYlmmvADxE/?taken-by=vivomobile,Not feeling pretty today? Sorry to hear. Can't say we miss the days before our AI Face Beauty. #PerfectShot #BeExtra
"2,948",na,video,9,https://www.instagram.com/p/BgdtChugo6d/?taken-by=vivomobile,Step away from the daisies and into the exotic. Capture more with the V9’s AI Camera. #BeExtra #PerfectShot
na,"2,161",image,16,https://www.instagram.com/p/Be72mwSg675/?taken-by=vivomobile,"That’s too much sparkle, said no one ever. With the V7, your caffeine hit will never blend in. #BeExtra #PerfectShot"
"5,898",na,video,16,https://www.instagram.com/p/Be-i3QigQg_/?taken-by=vivomobile,"Thanks to our latest upgraded Hi-Fi chip, the V7+ is always ready to make you dance. #BeExtra #PerfectShot"
"6,326",na,video,15,https://www.instagram.com/p/BfGLyd1AeKv/?taken-by=vivomobile,No more basic beach pics. Make it a trip to remember. #BeExtra #PerfectShot
na,"1,489",image,9,https://www.instagram.com/p/BfIwlX3g5UR/?taken-by=vivomobile,"They all think they’re multi-tasking pros. That is, until they see what you can do with the Vivo V7+ Smart Split. #BeExtra #PerfectShot"
na,"1,299",image,1,https://www.instagram.com/p/BfKQPHTAff1/?taken-by=vivomobile,Breaking hearts is easy. Turn it up a notch and make them melt. #ValentinesDay #BeExtra #PerfectShot
na,"2,426",image,14,https://www.instagram.com/p/BfMvi3WAhlt/?taken-by=vivomobile,It’s the year of the dog so let’s get this party started. #ChineseNewYear #BeExtra #PerfectShot
na,"4,478",image,46,https://www.instagram.com/p/BfYMPsKgcLQ/?taken-by=vivomobile,You be you. #BeExtra #PerfectShot
na,"2,792",image,10,https://www.instagram.com/p/BfhzB9Vgvi3/?taken-by=vivomobile,Extra casual Friday. #BeExtra. #PerfectShot
na,"5,251",image,107,https://www.instagram.com/p/BfkAfvUgWcl/?taken-by=vivomobile,Unlock The Future with APEX
na,"2,669",image,20,https://www.instagram.com/p/BfnupH4gLXA/?taken-by=vivomobile,Guess who just got a new V7. #BeExtra #PerfectShot
na,"5,051",image,78,https://www.instagram.com/p/BfpPrgagVRs/?taken-by=vivomobile,"Our new concept smartphone APEX is here and it’s a world first on so many levels. We know you want it.
#APEX #UnlockTheFuture"
10.3k,na,video,63,https://www.instagram.com/p/BfpU5rAgIvR/?taken-by=vivomobile,"This is no Sci-Fi flick. The future of smartphones is here, and it's real, with the new Vivo concept smartphone APEX. 
#APEX #UnlockTheFuture"
na,"2,460",image,33,https://www.instagram.com/p/BdSDMgaH6sq/?taken-by=vivomobile,Sit back and take it all in. #VivoV7 I V7+ #Vivo #VivoMobile #FullView #PerfectShot
na,"3,102",image,61,https://www.instagram.com/p/BdXxskcHTuL/?taken-by=vivomobile,Light it up and count down to a better year with #VivoV7 I V7+! #Vivo #VivoMobile #FullView #PerfectShot #2018 #HappyNewYear
na,"2,560",image,17,https://www.instagram.com/p/BeDVbNmHa-B/?taken-by=vivomobile,"Yes, the V7+'s Qualcomm octa-core CPU sounds hardcore, but it throws a beautiful punch. #BeExtra #PerfectShot"
na,"2,154",image,19,https://www.instagram.com/p/BeFpDQinYZE/?taken-by=vivomobile,"The number 1 #Glitter shot is in, congratulations @kal0330 on your #VivoWay win! You captured us with those twinkling lights. Enjoy your V7+, you can’t help it that everyone is jealous of you."
"9,599",na,video,18,https://www.instagram.com/p/BeIimJYn6kC/?taken-by=vivomobile,Thought your ex was cold? Pray she doesn't get hold of the V7+'s 24MP front-camera. #IceQueen #BeExtra #PerfectShot
na,"2,224",image,26,https://www.instagram.com/p/BeRq1i4HtMp/?taken-by=vivomobile,"As you can imagine, our engineers don't do basic. They spent countless hours perfecting our unique FullView display. Always #BeExtra #PerfectShot"
na,"3,291",image,31,https://www.instagram.com/p/BeXvP9IH3UZ/?taken-by=vivomobile,"We don't kiss and tell, but people definitely notice something EXTRA about you. You just happen to be carrying a V7+. #BeExtra #PerfectShot"
na,"2,813",image,31,https://www.instagram.com/p/Beerd3WHd6S/?taken-by=vivomobile,FullView display has no limits #BeExtra #PerfectShot
na,"2,914",image,36,https://www.instagram.com/p/BenPRjknFVl/?taken-by=vivomobile,We heard you like to be EXTRA secure. Well the V7+’s face access ensures your V7+ is on lockdown to anyone’s mug other than yours. #BeExtra #PerfectShot
na,"2,040",image,17,https://www.instagram.com/p/BesB1zEHwQf/?taken-by=vivomobile,"Skip the queue and walk right through. You know when you belong with a V7.
#BeExtra #PerfectShot"
na,"1,308",image,3,https://www.instagram.com/p/BezuAM4HH50/?taken-by=vivomobile,"They see me floatin, they hatin. All other holiday pics are now obsolete and thanks to the V7+ Face Beauty 7.0, that holiday glow won’t fade. #BeExtra#PerfectShot"
na,"3,077",image,33,https://www.instagram.com/p/Be0M3jaHqpG/?taken-by=vivomobile,S’cuse me while I own this shot. Get the thrill of bezel-less and redefine the limits with the V7+ FullView. #BeExtra. #PerfectShot
na,"3,006",image,19,https://www.instagram.com/p/BcZZS1sHlKh/?taken-by=vivomobile,A heavenly device to capture all the earthly goods.  #VivoV7 I V7+  #Vivo #VivoMobile #FullView #PerfectShot
na,"3,543",image,26,https://www.instagram.com/p/Bcep4USHRhq/?taken-by=vivomobile,"Ding-a-ling, hear them ring. It’s Christmas time for Vivo.#Vivo #VivoMobile #FullView #PerfectShot"
na,"3,579",image,30,https://www.instagram.com/p/Bcjt5SKHSol/?taken-by=vivomobile,Hold your hands up high to see the magic. #VivoV7 I V7+ #Vivo #VivoMobile #FullView #PerfectShot
na,"2,738",image,19,https://www.instagram.com/p/Bco7xyBH5f0/?taken-by=vivomobile,Essential for this generation. #VivoV7 I V7+  #Vivo #VivoMobile #FullView #PerfectShot
na,"1,669",image,25,https://www.instagram.com/p/BcuADKfnmZG/?taken-by=vivomobile,"Glitter is all over the place at this time of year! Find all these merry little twinkles, even better if captured by a Vivo smartphone, and share it with us. Don't forget to hashtag #Vivoway to join the game!The best photo of the month will be featured on our page, and the winner will take home a #free #VivoV7+ ! #Vivo #VivoMobile #FullView #PerfectShot #giveaway"
na,"3,794",image,16,https://www.instagram.com/p/BcuA4piHSRQ/?taken-by=vivomobile,Stay cozy in the dreamiest season of the year. #VivoV7 I V7+ #Vivo #VivoMobile #FullView #PerfectShot
na,"4,176",image,53,https://www.instagram.com/p/BczZnZpHTVW/?taken-by=vivomobile,Work doesn't get easier; it only gets better. #VivoV7 I V7+ #Vivo #VivoMobile #FullView #PerfectShot
na,"4,197",image,41,https://www.instagram.com/p/Bc4WQcUn3eK/?taken-by=vivomobile,Happiness is a new box of #VivoV7 I V7+. #Vivo #VivoMobile #FullView #PerfectShot
"7,244",na,video,18,https://www.instagram.com/p/Bc9gLTQHV4R/?taken-by=vivomobile,Head out at night and admire the lights with #VivoV7 I V7+. #Vivo #VivoMobile #FullView #PerfectShot
na,"2,282",image,6,https://www.instagram.com/p/BdCmVBrns14/?taken-by=vivomobile,Pouring joy into your world. #VivoV7 I V7+ #Vivo #VivoMobile #FullView #PerfectShot
na,"3,056",image,21,https://www.instagram.com/p/BdHw4QmHIQs/?taken-by=vivomobile,Pick up the reds and greens on this merry Christmas day with #VivoV7 I V7+. #Vivo #VivoMobile #FullView #PerfectShot #Christmas
na,"4,472",image,50,https://www.instagram.com/p/BdNKIfYHN-l/?taken-by=vivomobile,An ace up your sleeve. #VivoV7 I V7+ #Vivo #VivoMobile #FullView #PerfectShot
15.3k,na,video,27,https://www.instagram.com/p/Bbg3kDundQ1/?taken-by=vivomobile,Always more for you to explore. #VivoV7 I V7+ #Vivo #VivoMobile #FullView #PerfectShot
na,"3,374",image,32,https://www.instagram.com/p/Bbl5_INH1R0/?taken-by=vivomobile,Upgrade your style with the premium design of #VivoV7 I V7+. #Vivo #VivoMobile #FullView #PerfectShot
na,"4,070",image,45,https://www.instagram.com/p/BbrbxPJHtau/?taken-by=vivomobile,A trend-setting design is what you find on #VivoV7 I V7+. #Vivo #VivoMobile #FullView #PerfectShot
na,"3,080",image,25,https://www.instagram.com/p/BbwM8SPHr1x/?taken-by=vivomobile,"It's not just a smartphone, it's your gaming device. #VivoV7 I V7+ #Vivo #VivoMobile #FullView #PerfectShot"
na,"4,135",image,53,https://www.instagram.com/p/Bb1W9n8HHAs/?taken-by=vivomobile,Bold colors for any time of the year. #VivoV7 I V7+ #Vivo #VivoMobile #FullView #PerfectShot
"8,684",na,video,20,https://www.instagram.com/p/Bb6goWyFoPy/?taken-by=vivomobile,When it comes into your own #VivoV7 I V7+. #Vivo #VivoMobile #FullView #PerfectShot
na,"2,699",image,25,https://www.instagram.com/p/Bb_zmy9lUqg/?taken-by=vivomobile,"Dance to the groove with #VivoV7 I V7+.
#Vivo #VivoMobile #FullView #PerfectShot"
na,"3,428",image,22,https://www.instagram.com/p/BcEzyWSlEV5/?taken-by=vivomobile,Imagine a type of matte that still glows in the dark. #VivoV7 I V7+ #Vivo #VivoMobile #FullView #PerfectShot
