views,likes,media,comments,url,caption,post_datetime
na,2818,image,68,https://www.instagram.com/p/BfsH7ZNA3KI/?taken-by=vivomobile,"Our new concept smartphone APEX has a lot to brag about, check it out. That’s right, mind blown.

#APEX #UnlockTheFuture",2018-02-27T06:05:19.000Z
na,6512,image,189,https://www.instagram.com/p/BfsKNaSg9aQ/?taken-by=vivomobile,Get a good look at our new concept smartphone: APEX. Now just wait until you hear what you can do with it… #APEX #UnlockTheFuture,2018-02-27T06:25:16.000Z
na,3934,image,31,https://www.instagram.com/p/Bfx28BCgcJ5/?taken-by=vivomobile,"Pet lovers, now's your chance to WIN a gift by showing us how much you love your pet! Not bad, eh? Simply grab your beloved animal and take the most EXTRA selfie with them possible, and post it with #VivoWay to enter our competition. Basic selfies need not apply. Good luck and remember... #BeExtra",2018-03-01T11:32:18.000Z
8595,1286,video,39,https://www.instagram.com/p/Bf0x0XEA_t7/?taken-by=vivomobile,"Don’t tame the extra, keep it separate. Have two of the same app with the V7+ App Clone. #BeExtra #PerfectShot",2018-03-02T14:45:45.000Z
na,3411,image,10,https://www.instagram.com/p/Bf8RSHBACjw/?taken-by=vivomobile,"Glammed up for a night in with the Oscars on tonight. When you have a V7+, you'll see a red carpet wherever you are. #BeExtra #PerfectShot #AcademyAwards",2018-03-05T12:34:55.000Z
na,1767,image,10,https://www.instagram.com/p/Bf-3KJoA0-6/?taken-by=vivomobile,Time flies when you ‘re having... yourself cryogenically frozen. 100 days till the 2018 FIFA World Cup™  kicks-off. GET EXCITED. #BeExtra,2018-03-06T12:44:22.000Z
na,4005,image,21,https://www.instagram.com/p/BgBbhvLAeTx/?taken-by=vivomobile,Nice view. You know what’s even better? FullView™ from Vivo V7 #PerfectShot #BeExtra,2018-03-07T12:40:38.000Z
6297,1197,video,9,https://www.instagram.com/p/BgD918cgEMx/?taken-by=vivomobile,"Press for inspiration, press for unity, and press for inclusivity. We have the tools to make a difference so let’s #PressForProgress. #InternationalWomensDay",2018-03-08T12:19:13.000Z
na,3305,image,53,https://www.instagram.com/p/BgSOCgTAOUr/?taken-by=vivomobile,"Photography is advancing faster than you think, and with Vivo’s latest smartphone tech #SuperHDR, you’ll see how.",2018-03-14T01:09:52.000Z
12532,2720,video,48,https://www.instagram.com/p/BgV_D42A08R/?taken-by=vivomobile,V9 AI Face Access opens the door for whoever you are today. Even your #WorldCup face paint gets a pass.,2018-03-15T12:17:34.000Z
9073,2048,video,31,https://www.instagram.com/p/BgYlmmvADxE/?taken-by=vivomobile,Not feeling pretty today? Sorry to hear. Can't say we miss the days before our AI Face Beauty. #PerfectShot #BeExtra,2018-03-16T12:31:40.000Z
3042,1133,video,9,https://www.instagram.com/p/BgdtChugo6d/?taken-by=vivomobile,Step away from the daisies and into the exotic. Capture more with the V9’s AI Camera. #BeExtra #PerfectShot,2018-03-18T12:12:38.000Z
na,2161,image,16,https://www.instagram.com/p/Be72mwSg675/?taken-by=vivomobile,"That’s too much sparkle, said no one ever. With the V7, your caffeine hit will never blend in. #BeExtra #PerfectShot",2018-02-08T12:10:25.000Z
5899,1062,video,16,https://www.instagram.com/p/Be-i3QigQg_/?taken-by=vivomobile,"Thanks to our latest upgraded Hi-Fi chip, the V7+ is always ready to make you dance. #BeExtra #PerfectShot",2018-02-09T13:16:04.000Z
6328,824,video,15,https://www.instagram.com/p/BfGLyd1AeKv/?taken-by=vivomobile,No more basic beach pics. Make it a trip to remember. #BeExtra #PerfectShot,2018-02-12T12:28:17.000Z
