views,likes,media,comments,url,caption
na,10k,image,115,https://www.instagram.com/p/BgVt5AnB59u/?taken-by=xiaomiindia,"Mi fans! Now exchange your old phone at best prices instantly for a brand new Xiaomi smartphone on mi.com! #MiExchange
More - https://goo.gl/zjkcid"
24.2k,na,video,34,https://www.instagram.com/p/BgVzFdehAzX/?taken-by=xiaomiindia,"Introducing #Redmi5
18:9, 5.7"" HD+ Full-screen display
Snapdragon 450 octa-core processor
12MP rear camera with 1.25 µm pixels
Starting ₹7,999

First sale on March 20th on mi.com & @amazondotin. #CompactPowerhouse"
na,10.4k,image,208,https://www.instagram.com/p/BgXyteWhUuF/?taken-by=xiaomiindia,We heard you! India's all-rounder Redmi Note 5 will go on sale at noon on mi.com & @flipkart. #GiveMe5
na,"5,588",image,31,https://www.instagram.com/p/BgX35RWhVys/?taken-by=xiaomiindia,Mi fans! Go big on entertainment with #MiTV4 & #MiTV4A. Sale starts at 12 noon on mi.com & @flipkart. #SwitchToSmart
14.1k,na,video,25,https://www.instagram.com/p/BgX5zNEBcgg/?taken-by=xiaomiindia,Mi fans! #MiTV4 and #MiTV4A are going on sale in less than 30 minutes! Are you going to buy one? Check out the launch highlights while your wait to get your hands on it! #SwitchToSmart
na,"5,317",image,19,https://www.instagram.com/p/BgYaTtnhLPS/?taken-by=xiaomiindia,The #MiTV4A will leave you spellbound with its powerful 20W dome stereo speakers. #SwitchToSmart
na,"8,711",image,38,https://www.instagram.com/p/Bgao4FxB3Zr/?taken-by=xiaomiindia,The slimmest #Redmi till date at just 7.7 mm. #Redmi5 packs in a punch and is truly India’s #compactpowerhouse
na,"8,256",image,46,https://www.instagram.com/p/BgbOLO3BKH0/?taken-by=xiaomiindia,"""The company has already adopted the most happening trend in the smartphone industry — 18:9 aspect ratio displays — and the #Redmi5 is definitely a great step above its predecessor."" - @ibtimes.india
More - https://goo.gl/DFTJJC"
na,"7,979",image,42,https://www.instagram.com/p/BgdaNC2hrjH/?taken-by=xiaomiindia,"A whole lot of celebrations, a whole lot of moments. Capture them and let us know your #Ugadi celebrations."
na,"8,380",image,81,https://www.instagram.com/p/Bgfrw9khvFU/?taken-by=xiaomiindia,"Mi fans! We heard you and just to meet your overwhelming love, we are bringing the largest quantity ever. Over 4 lakh #Redmi5 will go on sale on 20th March – 12 noon. How many of you are waiting to get India’s #CompactPowerhouse? Available on mi.com/in and @amazondotin"
