views,likes,media,comments,url,caption
110,na,video,0,https://www.instagram.com/p/BebNz9Gl0Pv/?taken-by=xolomobiles,"Because #XOLO is available for its customers, always! Experience the best in class smartphones starting Rs. 4999
Buy now - http://bit.ly/xeseries"
na,38,image,0,https://www.instagram.com/p/BebOKRpFNL4/?taken-by=xolomobiles,"This captivating view is captured with perfection by @vinaykumar2008 on his XOLO smartphone.

Take amazing shots with your #XOLO smartphone and tag them with #ShotOnXOLO for a chance to be featured!You can upload your entries on Facebook, Instagram or Twitter."
na,90,image,0,https://www.instagram.com/p/BebOV7ElTGq/?taken-by=xolomobiles,XOLO X060 Power Bank with 6000 mAh capacity is available on Amazon for just Rs. 899. Hurry!
112,na,video,0,https://www.instagram.com/p/BebO9dQlOwt/?taken-by=xolomobiles,"Still struggling to get that perfect selfie? Get the Selfie series phones from XOLO with 13MP front and rear camera, moonlight flash and much more!
To Buy: http://bit.ly/xeseries"
na,73,image,0,https://www.instagram.com/p/BebPTigFGiM/?taken-by=xolomobiles,"Take amazing selfies with the 13 MP Moonlight Selfie Camera, 2GB RAM, 3000 mAh battery and Fingerprint Sensor! #FlipkartExclusive #JustMe 
Available at Rs. 6499
Buy now - bit.ly/flk2v"
na,39,image,0,https://www.instagram.com/p/BebPcbilC6D/?taken-by=xolomobiles,"Thanks Mr. KR Bala for this awesome review! The XOLO Era 3X is equipped 13 MP front camera and moonlight flash, 3000 mAh battery, Gorilla Glass protection and more. #JustMe #FlipkartExclusive
Grab now - bit.ly/flk2v
Available for Rs. 7499"
na,83,image,0,https://www.instagram.com/p/BebPr5cFsea/?taken-by=xolomobiles,"XOLO wishes you all a very #happyrepublicday🇮🇳
Celebrate the spirit of 69th year of being a proud India!"
161,na,video,1,https://www.instagram.com/p/BezVqeDFAYz/?taken-by=xolomobiles,"This Winter XOLO made an effort to make winter nights a bit warmer for the homeless. We distributed 4000+ blankets across India with the help of Clothes Box Foundation.
A Big THANK YOU to everyone who engaged with the cause and thought it was important. #KuchKarteHain"
na,56,image,0,https://www.instagram.com/p/BfsRN3lFbKS/?taken-by=xolomobiles,"XOLO Era Selfie Series. Upto 13 MP Moonlight Selfie Camera, 3GB RAM, 5"" (12.7') HD Display with Gorilla Glass & 2.5D Glass and upto 3000 mAh battery!
Starts Rs. 6499
Buy now - http://bit.ly/xeseries"
74,na,video,3,https://www.instagram.com/p/BfsRTatFnXQ/?taken-by=xolomobiles,"Select ""See First"" from our Home Page to never miss any updates on the latest happening about XOLO!"
na,56,image,1,https://www.instagram.com/p/BfsRo7kFvFz/?taken-by=xolomobiles,"We love to hear such positive words from our customers. Thank you Mr. Pushpendra K. Verma for this awesome review of Era 3! #JustMe #FlipkartExclusive

Available for Rs. 4999
Grab now - http://bit.ly/3xonfk"
na,77,image,1,https://www.instagram.com/p/BfsU6dYFgIP/?taken-by=xolomobiles,"Saurabh Bhatt Photography​ (facebook) clicked this amazing picture with a XOLO smartphone.
Take amazing shots with your #XOLO smartphone and tag them with #ShotOnXOLO for a chance to be featured!
You can upload your entries on Facebook, Instagram or Twitter."
