views,likes,media,comments,url,caption
na,122,image,3,https://www.instagram.com/p/BfJWmY1hJcu/?taken-by=zteusa,When the moment is as epic as the device capturing it. 🙌💦 📷: @paulsmithlyons86
na,212,image,7,https://www.instagram.com/p/Bfhgbz_nk4G/?taken-by=zteusa,"I've failed over and over and over again in my life and that is why I succeed. - MJ

#Goat
#MJ
#Bullsnation
#chitown 
#ztelife 
#shotonaxon 
#success"
na,97,image,1,https://www.instagram.com/p/BfltzGdHXE3/?taken-by=zteusa,"You are a Champion! 🏆🏅🏀 @houstonrockets 
#runasone 
#houstonrockets 
#heartofachampion 
#blacktopbattle 
#ztelife 
#shotonaxon 
#ztebtb"
na,120,image,4,https://www.instagram.com/p/BfrvH_knU3U/?taken-by=zteusa,"Big ideas have small beginnings! 
#shotonaxon 
#ztelife
#zte
#mindovermatter 
#amazinglife 
#thatmoment 
#liveinthemoment"
na,101,image,3,https://www.instagram.com/p/BfuaL4UHLzG/?taken-by=zteusa,"You have to be able to accept failure to get better.
.
.
. 
#kingjames 
#cavsnation 
#gocavs
#team
#ztelife 
#shotonaxon 
#zte"
na,156,image,4,https://www.instagram.com/p/Bf37P6uHAT-/?taken-by=zteusa,"Sometimes you will never know the value of a moment until it becomes a memory. - DS
.
.
#memories😍 
#traveler 
#shotonaxon 
#ztelife
#simplelife 
#lifestylephotography"
na,110,image,5,https://www.instagram.com/p/Bf9EO4rBN1Z/?taken-by=zteusa,"The best part of going on an #adventure? 🚶 Having your #Axon7 on hand to capture the moment!
📷: @tonatheos"
na,115,image,1,https://www.instagram.com/p/BgByXZ6AXDW/?taken-by=zteusa,It's time for an escape to #Sedona! Don't forget your #Axon7 to capture all your #hiking adventures. 📷: @tonatheos
na,82,image,5,https://www.instagram.com/p/BgG4gN2gEXg/?taken-by=zteusa,It's all in the details. 👁️👁️ Capture all the color & textures of your surroundings with the #Axon7! 📷: @tonatheos
na,178,image,4,https://www.instagram.com/p/BgUdHRzAa26/?taken-by=zteusa,When you're on a #roadtrip and have to stop to capture the moment on your #Axon7. ✨ 📸: @ckwoklet
na,109,image,4,https://www.instagram.com/p/BgWYtyngtA0/?taken-by=zteusa,There's nothing like taking in the views of the #city on a morning walk. 🚶‍♂️ 📸: @acadillat
na,112,image,1,https://www.instagram.com/p/BgZOG2ihbvN/?taken-by=zteusa,Never stop exploring. (And always be sure to capture the moments that take your breath away on your #Axon7!) 📸: @sungfinder
na,115,image,2,https://www.instagram.com/p/BeZMHVKBotr/?taken-by=zteusa,We’re proud to be the official smartphone of the #PGATOUR! Will we #SeeYouAtTorrey for the @FarmersInsOpen? Stay tuned in through our Stories for amazing behind-the-scene shots at this exclusive event! #ZTELife #FIO #PGATOUR #Golf #ProGolf #FarmersInsOpen #SeeYouAtTorrey #TorreyPines #TorreyPinesGolf #FIO18 #TorreyBreeze
na,391,image,26,https://www.instagram.com/p/BeavXeCndYP/?taken-by=zteusa,"So much to do, so little time! Luckily, the #AxonM gives you so much to see as well. 
As the official smartphone of the PGA TOUR, the Axon M lets you reach your maximum multitaskability potential. Keep up with the leaderboard and get all the great highlights on two 5.2"" screens! #ZTELife #ZTEGolf"
na,99,image,0,https://www.instagram.com/p/BeeAjzqnON-/?taken-by=zteusa,"Congratulations, @mileswkaplan, you are day 3's winner of the #ZTELife Farmers Insurance Open photo contest! Be sure to pick up your prize from the #ZTEbooth between 7 and 18 fairways at #FIO18! Thank you to everyone else who entered. You still have one more day to win!"
na,118,image,4,https://www.instagram.com/p/BeejDzfHcRn/?taken-by=zteusa,"Enjoy every moment! 
#ztelife
#simplelife
#goodnightpost 
#pgatour
#farmersopen2018 
#fio2018"
na,118,image,4,https://www.instagram.com/p/BegKrIJH8Wi/?taken-by=zteusa,"Congrats to @mikescardshop, the first winner of day 4's #ZTELife Farmers Insurance Open. Thanks for showing the ZTE Blue Man a great time at #FIO18! Keep on entering with the #ZTELife hashtag! @mikescardshop, be sure to pick up your prize from the #ZTEbooth between 7 and 18 fairways!"
na,71,image,1,https://www.instagram.com/p/BegiC3snlSE/?taken-by=zteusa,"Congratulations to @erikamimistyle, today's second winner of the #ZTELife Farmers Open Insurance photo contest, and to our great runner ups! @erikamimistyle, be sure to claim your prize at the ZTE booth, located between 7 and 18 fairways. #FIO18 #PGATOUR #SeeYouAtTorrey"
na,108,image,7,https://www.instagram.com/p/BeglGfWnvYW/?taken-by=zteusa,"Congratulations to @ridealuxe, our final winner of day 4's #ZTELife Farmers Open Insurance photo contest.  @ridealuxe, be sure to claim your prize at the ZTE booth between 7 and 18 fairways at #FIO18. Thank you to all of our wonderful photo entries! #ZTELife #PGATOUR"
611,na,video,3,https://www.instagram.com/p/Begoe3inEXM/?taken-by=zteusa,A fight has broken out at the #ZTEBooth over our autographed @dannygolf0724 pin flag! Hurry on over to break up the madness and take the flag home for yourself. First person here to ask for it wins it! #FIO18 #PGATOUR #ZTELife
na,75,image,0,https://www.instagram.com/p/Beg2ydoHiO7/?taken-by=zteusa,Thanks for joining us at the @FarmersInsOpen this week! Congrats to all of our #ZTELife winners and runner-ups that shared their awesome photos! #FIO18 #PGATOUR
na,151,image,3,https://www.instagram.com/p/BeuEr76nru9/?taken-by=zteusa,"Sometimes the journey home trumps the journey there! 
#ztelife 
#simplethings 
#simplelife 
#cominghome 
#yourmoment 
#strengthwithin 
#everymomentcounts 
#yolo
#homewardbound"
na,71,image,2,https://www.instagram.com/p/Be-5uIEgA69/?taken-by=zteusa,When the moment is as epic as the device capturing it. 🙌💦 📷: @paulsmithlyons86
na,289,image,12,https://www.instagram.com/p/BfEGJPrAwGW/?taken-by=zteusa,"The waves are calling us, and we're capturing the moment with the #BladeSpark 🌊 📷: @kimiellie"
na,153,image,3,https://www.instagram.com/p/BasaSBWBK_i/?taken-by=zteusa,@francofinn and @rubymlopez @warriors with a little pregame fun. #dubnation #ztelife
na,237,image,15,https://www.instagram.com/p/BcaFlOentp3/?taken-by=zteusa,Reach your peak. Then keep going. 📷: timsanders0n
na,114,image,2,https://www.instagram.com/p/BcnB3lNHHpI/?taken-by=zteusa,"Who else is feelin' those fall vibes? 🍁

#ShotOnAxon by @elusivefrae"
na,191,image,6,https://www.instagram.com/p/Bc0fgu3n-o0/?taken-by=zteusa,Almost sundown in HTOWN... #ZTELIFE Thanks for being apart of our family and letting us share with you!
na,108,image,2,https://www.instagram.com/p/Bc-vo6BHPuv/?taken-by=zteusa,"Let it snow, let it snow, let it snow. 📷: @p.n.drost"
na,182,image,4,https://www.instagram.com/p/BdDo_yon21K/?taken-by=zteusa,"Really no words necessary, what a view  #ZTELife  #newyorkstateofmind"
na,149,image,1,https://www.instagram.com/p/BdPGkvWHkQf/?taken-by=zteusa,"Some could spend their entire life arriving each day in a new city, could you? •#ZTELife •#simplethings •#yourlife •#citylife"
na,124,image,4,https://www.instagram.com/p/BdUZopbnAtp/?taken-by=zteusa,"The journey of life is a lot like an escalator. It has it’s ups and downs!

#ztelife 
#lifestyle 
#lifeisbeautiful 
#oaklandlife 
#californiacoast
#doyouseeit"
na,137,image,4,https://www.instagram.com/p/BdlJhq9HHAb/?taken-by=zteusa,"Who else is ready to take on the world? 🌎 Be sure to tag us in your photos for a chance to be featured on our account! 
#ShotOnAxon by @sungfinder"
na,150,image,2,https://www.instagram.com/p/BeJo3JaHu5E/?taken-by=zteusa,"Sometimes you have to slow down and just take it all in..🌴🌤
•
•
•
•
•
•
•
#ztelife
#costarica 
#yolo 
#forevergrateful 
#puravida 
#simplelife
#goodnight"
na,245,image,1,https://www.instagram.com/p/BeSCraYHK5s/?taken-by=zteusa,"We do not remember days, we remember moments. 
#ztelife 
#yolo
#moments 
#puravida 
#simpleliving 
#simplelife
#sharethelove"
na,167,image,3,https://www.instagram.com/p/BeTmvXYHe5k/?taken-by=zteusa,Never. Stop. Exploring. (And never forget your ZTE #AxonM to capture all your explorations.) 📷: @ckwoklet
na,38,image,0,https://www.instagram.com/p/BYVyoB5hWZA/?taken-by=zteusa,Snap the perfect and clear selfie 🤳
na,47,image,0,https://www.instagram.com/p/BYVyo_ChxKk/?taken-by=zteusa,"Capture moments like never before. With lightening-fast autofocus you can frame, take and exit shots like a pro."
na,56,image,6,https://www.instagram.com/p/BYVypxdBf7v/?taken-by=zteusa,Get it now! #BladeZMax
na,28,image,0,https://www.instagram.com/p/BZ4I2o6BzHt/?taken-by=zteusa,A whole new side awaits.
na,30,image,0,https://www.instagram.com/p/BZ4I_f6h72p/?taken-by=zteusa,See more. Do more. Differently.
na,35,image,0,https://www.instagram.com/p/BZ4JKkJhO85/?taken-by=zteusa,Unlock unlimited potential.
na,36,image,1,https://www.instagram.com/p/BZ4JRmnBswR/?taken-by=zteusa,Find out how. 10.17.17
na,33,image,0,https://www.instagram.com/p/BZ4JWggBuOU/?taken-by=zteusa,#UnlimitedPotential
na,68,image,8,https://www.instagram.com/p/BZ4JZlTBJUL/?taken-by=zteusa,#ZTE #Axon
"1,592",na,video,10,https://www.instagram.com/p/BaMdvwjBFQs/?taken-by=zteusa,Are you ready for unlimited potential? See what's got everyone so surprised when we reveal the must-have device of the year. 10.17.17. #ZTE #Axon
