views,likes,media,comments,url,caption,post_datetime
na,122,image,3,https://www.instagram.com/p/BfJWmY1hJcu/?taken-by=zteusa,When the moment is as epic as the device capturing it. 🙌💦 📷: @paulsmithlyons86,2018-02-13T18:00:06.000Z
na,212,image,7,https://www.instagram.com/p/Bfhgbz_nk4G/?taken-by=zteusa,"I've failed over and over and over again in my life and that is why I succeed. - MJ

#Goat
#MJ
#Bullsnation
#chitown 
#ztelife 
#shotonaxon 
#success",2018-02-23T03:07:49.000Z
na,97,image,1,https://www.instagram.com/p/BfltzGdHXE3/?taken-by=zteusa,"You are a Champion! 🏆🏅🏀 @houstonrockets 
#runasone 
#houstonrockets 
#heartofachampion 
#blacktopbattle 
#ztelife 
#shotonaxon 
#ztebtb",2018-02-24T18:21:33.000Z
na,120,image,4,https://www.instagram.com/p/BfrvH_knU3U/?taken-by=zteusa,"Big ideas have small beginnings! 
#shotonaxon 
#ztelife
#zte
#mindovermatter 
#amazinglife 
#thatmoment 
#liveinthemoment",2018-02-27T02:28:35.000Z
na,101,image,3,https://www.instagram.com/p/BfuaL4UHLzG/?taken-by=zteusa,"You have to be able to accept failure to get better.
.
.
. 
#kingjames 
#cavsnation 
#gocavs
#team
#ztelife 
#shotonaxon 
#zte",2018-02-28T03:23:20.000Z
na,156,image,4,https://www.instagram.com/p/Bf37P6uHAT-/?taken-by=zteusa,"Sometimes you will never know the value of a moment until it becomes a memory. - DS
.
.
#memories😍 
#traveler 
#shotonaxon 
#ztelife
#simplelife 
#lifestylephotography",2018-03-03T20:05:25.000Z
na,110,image,5,https://www.instagram.com/p/Bf9EO4rBN1Z/?taken-by=zteusa,"The best part of going on an #adventure? 🚶 Having your #Axon7 on hand to capture the moment!
📷: @tonatheos",2018-03-05T20:00:07.000Z
na,115,image,1,https://www.instagram.com/p/BgByXZ6AXDW/?taken-by=zteusa,It's time for an escape to #Sedona! Don't forget your #Axon7 to capture all your #hiking adventures. 📷: @tonatheos,2018-03-07T16:00:12.000Z
na,82,image,5,https://www.instagram.com/p/BgG4gN2gEXg/?taken-by=zteusa,It's all in the details. 👁️👁️ Capture all the color & textures of your surroundings with the #Axon7! 📷: @tonatheos,2018-03-09T15:30:02.000Z
na,178,image,4,https://www.instagram.com/p/BgUdHRzAa26/?taken-by=zteusa,When you're on a #roadtrip and have to stop to capture the moment on your #Axon7. ✨ 📸: @ckwoklet,2018-03-14T22:00:04.000Z
na,109,image,4,https://www.instagram.com/p/BgWYtyngtA0/?taken-by=zteusa,There's nothing like taking in the views of the #city on a morning walk. 🚶‍♂️ 📸: @acadillat,2018-03-15T16:00:07.000Z
na,112,image,1,https://www.instagram.com/p/BgZOG2ihbvN/?taken-by=zteusa,Never stop exploring. (And always be sure to capture the moments that take your breath away on your #Axon7!) 📸: @sungfinder,2018-03-16T18:25:08.000Z
na,115,image,2,https://www.instagram.com/p/BeZMHVKBotr/?taken-by=zteusa,We’re proud to be the official smartphone of the #PGATOUR! Will we #SeeYouAtTorrey for the @FarmersInsOpen? Stay tuned in through our Stories for amazing behind-the-scene shots at this exclusive event! #ZTELife #FIO #PGATOUR #Golf #ProGolf #FarmersInsOpen #SeeYouAtTorrey #TorreyPines #TorreyPinesGolf #FIO18 #TorreyBreeze,2018-01-26T01:04:56.000Z
na,391,image,26,https://www.instagram.com/p/BeavXeCndYP/?taken-by=zteusa,"So much to do, so little time! Luckily, the #AxonM gives you so much to see as well. 
As the official smartphone of the PGA TOUR, the Axon M lets you reach your maximum multitaskability potential. Keep up with the leaderboard and get all the great highlights on two 5.2"" screens! #ZTELife #ZTEGolf",2018-01-26T15:32:13.000Z
na,99,image,0,https://www.instagram.com/p/BeeAjzqnON-/?taken-by=zteusa,"Congratulations, @mileswkaplan, you are day 3's winner of the #ZTELife Farmers Insurance Open photo contest! Be sure to pick up your prize from the #ZTEbooth between 7 and 18 fairways at #FIO18! Thank you to everyone else who entered. You still have one more day to win!",2018-01-27T22:00:10.000Z
na,118,image,4,https://www.instagram.com/p/BeejDzfHcRn/?taken-by=zteusa,"Enjoy every moment! 
#ztelife
#simplelife
#goodnightpost 
#pgatour
#farmersopen2018 
#fio2018",2018-01-28T03:01:38.000Z
na,118,image,4,https://www.instagram.com/p/BegKrIJH8Wi/?taken-by=zteusa,"Congrats to @mikescardshop, the first winner of day 4's #ZTELife Farmers Insurance Open. Thanks for showing the ZTE Blue Man a great time at #FIO18! Keep on entering with the #ZTELife hashtag! @mikescardshop, be sure to pick up your prize from the #ZTEbooth between 7 and 18 fairways!",2018-01-28T18:07:02.000Z
na,71,image,1,https://www.instagram.com/p/BegiC3snlSE/?taken-by=zteusa,"Congratulations to @erikamimistyle, today's second winner of the #ZTELife Farmers Open Insurance photo contest, and to our great runner ups! @erikamimistyle, be sure to claim your prize at the ZTE booth, located between 7 and 18 fairways. #FIO18 #PGATOUR #SeeYouAtTorrey",2018-01-28T21:31:15.000Z
na,108,image,7,https://www.instagram.com/p/BeglGfWnvYW/?taken-by=zteusa,"Congratulations to @ridealuxe, our final winner of day 4's #ZTELife Farmers Open Insurance photo contest.  @ridealuxe, be sure to claim your prize at the ZTE booth between 7 and 18 fairways at #FIO18. Thank you to all of our wonderful photo entries! #ZTELife #PGATOUR",2018-01-28T21:57:58.000Z
611,76,video,3,https://www.instagram.com/p/Begoe3inEXM/?taken-by=zteusa,A fight has broken out at the #ZTEBooth over our autographed @dannygolf0724 pin flag! Hurry on over to break up the madness and take the flag home for yourself. First person here to ask for it wins it! #FIO18 #PGATOUR #ZTELife,2018-01-28T22:28:12.000Z
na,75,image,0,https://www.instagram.com/p/Beg2ydoHiO7/?taken-by=zteusa,Thanks for joining us at the @FarmersInsOpen this week! Congrats to all of our #ZTELife winners and runner-ups that shared their awesome photos! #FIO18 #PGATOUR,2018-01-29T00:32:31.000Z
na,151,image,3,https://www.instagram.com/p/BeuEr76nru9/?taken-by=zteusa,"Sometimes the journey home trumps the journey there! 
#ztelife 
#simplethings 
#simplelife 
#cominghome 
#yourmoment 
#strengthwithin 
#everymomentcounts 
#yolo
#homewardbound",2018-02-03T03:44:05.000Z
na,71,image,2,https://www.instagram.com/p/Be-5uIEgA69/?taken-by=zteusa,When the moment is as epic as the device capturing it. 🙌💦 📷: @paulsmithlyons86,2018-02-09T16:35:21.000Z
na,289,image,12,https://www.instagram.com/p/BfEGJPrAwGW/?taken-by=zteusa,"The waves are calling us, and we're capturing the moment with the #BladeSpark 🌊 📷: @kimiellie",2018-02-11T17:00:07.000Z
na,153,image,3,https://www.instagram.com/p/BasaSBWBK_i/?taken-by=zteusa,@francofinn and @rubymlopez @warriors with a little pregame fun. #dubnation #ztelife,2017-10-26T02:08:44.000Z
na,237,image,15,https://www.instagram.com/p/BcaFlOentp3/?taken-by=zteusa,Reach your peak. Then keep going. 📷: timsanders0n,2017-12-07T16:24:18.000Z
na,114,image,2,https://www.instagram.com/p/BcnB3lNHHpI/?taken-by=zteusa,"Who else is feelin' those fall vibes? 🍁

#ShotOnAxon by @elusivefrae",2017-12-12T17:01:59.000Z
na,191,image,6,https://www.instagram.com/p/Bc0fgu3n-o0/?taken-by=zteusa,Almost sundown in HTOWN... #ZTELIFE Thanks for being apart of our family and letting us share with you!,2017-12-17T22:31:08.000Z
na,108,image,2,https://www.instagram.com/p/Bc-vo6BHPuv/?taken-by=zteusa,"Let it snow, let it snow, let it snow. 📷: @p.n.drost",2017-12-21T22:04:28.000Z
na,182,image,4,https://www.instagram.com/p/BdDo_yon21K/?taken-by=zteusa,"Really no words necessary, what a view  #ZTELife  #newyorkstateofmind",2017-12-23T19:42:38.000Z
na,149,image,1,https://www.instagram.com/p/BdPGkvWHkQf/?taken-by=zteusa,"Some could spend their entire life arriving each day in a new city, could you? •#ZTELife •#simplethings •#yourlife •#citylife",2017-12-28T06:32:44.000Z
na,124,image,4,https://www.instagram.com/p/BdUZopbnAtp/?taken-by=zteusa,"The journey of life is a lot like an escalator. It has it’s ups and downs!

#ztelife 
#lifestyle 
#lifeisbeautiful 
#oaklandlife 
#californiacoast
#doyouseeit",2017-12-30T07:55:29.000Z
na,137,image,4,https://www.instagram.com/p/BdlJhq9HHAb/?taken-by=zteusa,"Who else is ready to take on the world? 🌎 Be sure to tag us in your photos for a chance to be featured on our account! 
#ShotOnAxon by @sungfinder",2018-01-05T20:01:49.000Z
na,150,image,2,https://www.instagram.com/p/BeJo3JaHu5E/?taken-by=zteusa,"Sometimes you have to slow down and just take it all in..🌴🌤
•
•
•
•
•
•
•
#ztelife
#costarica 
#yolo 
#forevergrateful 
#puravida 
#simplelife
#goodnight",2018-01-20T00:08:17.000Z
na,245,image,1,https://www.instagram.com/p/BeSCraYHK5s/?taken-by=zteusa,"We do not remember days, we remember moments. 
#ztelife 
#yolo
#moments 
#puravida 
#simpleliving 
#simplelife
#sharethelove",2018-01-23T06:27:48.000Z
na,167,image,3,https://www.instagram.com/p/BeTmvXYHe5k/?taken-by=zteusa,Never. Stop. Exploring. (And never forget your ZTE #AxonM to capture all your explorations.) 📷: @ckwoklet,2018-01-23T21:02:09.000Z
